ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,POSTCODE,TELEPHONE_NO,DENTISTTYPE,LCG,LGD
2 THE SQUARE,STRANGFORD,DOWNPATRICK,NULL,BT30 7ND,2844881995,GDS,SOUTH EASTERN,DOWN
35 ST PATRICKS AVENUE,NULL,DOWNPATRICK,NULL,BT30 6DW,2844612231,GDS,SOUTH EASTERN,DOWN
18A RAILWAY STREET,ANTRIM,NULL,NULL,BT41 4AE,2894487864,GDS,NORTHERN,ANTRIM
24 BARRACK STREET,NULL,COALISLAND,NULL,BT71 4LS,2887740995,GDS,SOUTHERN,DUNGANNON
1003 UPPER NEWTOWNARDS RD,NULL,BELFAST,NULL,BT16 1RN,2890483240,GDS,BELFAST,CASTLEREAGH
1A STATION ROAD,NULL,HELENS BAY,NULL,BT19 1TN,2891853304,GDS,SOUTH EASTERN,NORTH DOWN
1 ST PATRICK'S TERRACE,BUNCRANA ROAD,LONDONDERRY,NULL,BT48 7QR,2871260612,GDS,WESTERN,DERRY
1 POUND STREET,NULL,IRVINESTOWN,ENNISKILLEN,BT94 1HE,286828500,GDS,WESTERN,FERMANAGH
79 ANN STREET,NULL,BALLYCASTLE,NULL,BT54 6AB,2820762088,GDS,NORTHERN,MOYLE
40 NORTHLAND ROW,NULL,DUNGANNON,NULL,BT71 6AP,2887722605,GDS,SOUTHERN,DUNGANNON
440 ANTRIM ROAD,NULL,BELFAST,NULL,BT15 5GB,2890774633,GDS,BELFAST,BELFAST
236 ANTRIM ROAD,NULL,BELFAST,NULL,BT15 2AN,2890749679,GDS,BELFAST,BELFAST
1A DRUMART SQUARE,NULL,BELFAST,NULL,BT8 7EY,2890491800,GDS,BELFAST,CASTLEREAGH
34 MAIN STREET,NULL,CASTLEDERG,NULL,BT81 7AT,2881670770,GDS,WESTERN,STRABANE
27 MAIN STREET,NULL,CAMLOUGH,NULL,BT35 7JG,2830838585,GDS,SOUTHERN,NEWRY & MOURNE
107 KINGSWAY,NULL,DUNMURRY,NULL,BT17 9NS,2890613322,GDS,SOUTH EASTERN,LISBURN
17 STREAM STREET,NULL,DOWNPATRICK,NULL,BT30 6DD,2844612217,GDS,SOUTH EASTERN,DOWN
CRUTCHLEYS DENTAL PRACTICE,116 UPPER LISBURN ROAD,BELFAST,NULL,BT10 0BD,2890603440,GDS,BELFAST,BELFAST
43 BALLYLESSON ROAD,NULL,BALLYMENA,NULL,BT42 3HW,2825654300,GDS,NORTHERN,BALLYMENA
14 RAILWAY ROAD,NULL,COLERAINE,NULL,BT52 1PD,2870343151,GDS,NORTHERN,COLERAINE
THE COURTYARD BUSINESS PARK,GALGORM CASTLE,BALLYMENA,NULL,BT42 1HL,2825631122,GDS,NORTHERN,BALLYMENA
52 LOY STREET,NULL,COOKSTOWN,NULL,BT80 8PE,2886766072,GDS,NORTHERN,COOKSTOWN
39 CHURCH STREET,NULL,WARRENPOINT,NULL,BT34 3HN,2841752220,GDS,SOUTHERN,NEWRY & MOURNE
222 KNOCK ROAD,NULL,BELFAST,NULL,BT5 6QD,2890401851,GDS,BELFAST,CASTLEREAGH
MCLAUGHLIN ORTHODONTICS,"11A WINDSOR TCE, INFIRMARY ROAD",LONDONDERRY,NULL,BT48 7HQ,2871377511,GDS,WESTERN,DERRY
230 KINGSWAY,NULL,BELFAST,NULL,BT17 9AE,2890301151,GDS,SOUTH EASTERN,LISBURN
2 CASTLE PLACE,NULL,NEWTOWNARDS,NULL,BT23 7JE,2891812708,GDS,SOUTH EASTERN,ARDS
339 CREGAGH ROAD,NULL,BELFAST,NULL,BT6 0LE,2890792729,GDS,BELFAST,CASTLEREAGH
ORTHOPLUS,12 BALLYMONEY ROAD,BALLYMENA,NULL,BT43 5BY,2825655500,GDS,NORTHERN,BALLYMENA
502 UPPER NEWTOWNARDS ROAD,NULL,BELFAST,NULL,BT4 3HB,2890653678,GDS,BELFAST,BELFAST
48 ANN STREET,NULL,BALLYCASTLE,NULL,BT54 6AD,2820762113,GDS,NORTHERN,MOYLE
16-18 MAIN STREET,NULL,SAINTFIELD,NULL,BT24 7AA,2897519055,GDS,SOUTH EASTERN,DOWN
28 MAIN STREET,NULL,NEWTOWNSTEWART,NULL,BT78 4AA,2881662808,GDS,WESTERN,STRABANE
5 SUFFOLK PARADE,NULL,BELFAST,NULL,BT11 9JR,2890611688,GDS,BELFAST,BELFAST
LIS LINN HEALTH LIVING CENTRE,"CENTRAL DRIVE, CREGGAN",LONDONDERRY,NULL,BT48 9QQ,2871378963,GDS,WESTERN,DERRY
ZEN ORTHODONTICS,2 DOWNSHIRE CLOSE,NEWRY,NULL,BT34 1FD,2830252110,GDS,SOUTHERN,NEWRY & MOURNE
CUSHENDALL DENTAL SURGERY,GLENS OF ANTRIM MEDICAL CENTRE,2 GORTACLEE ROAD CUSHENDALL,NULL,BT44 0TE,2821771242,GDS,NORTHERN,MOYLE
20 BROUGHSHANE STREET,NULL,BALLYMENA,NULL,BT43 6EB,2825656703,GDS,NORTHERN,BALLYMENA
23 DUBLIN ROAD,NULL,BELFAST,NULL,BT2 7HB,2890325345,GDS,BELFAST,BELFAST
VITA DENTAL CARE,5-7 CASTLE STREET,COMBER,NULL,BT23 5DY,2891897897,GDS,SOUTH EASTERN,ARDS
56 CASTLE STREET,NULL,COMBER,NULL,BT23 5DZ,2891872839,GDS,SOUTH EASTERN,ARDS
GLENGORMLEY DENTAL UNIT 1-3,350 ANTRIM ROAD,GLENGORMLEY,NULL,BT36 5EQ,2890833100,GDS,NORTHERN,NEWTOWNABBEY
63 SOUTH STREET,NEWTOWNARDS,NULL,NULL,BT23 4JU,2891818909,GDS,SOUTH EASTERN,ARDS
12 LOY STREET,NULL,COOKSTOWN,NULL,BT80 8PE,2886762206,GDS,NORTHERN,COOKSTOWN
103 MAIN STREET,NULL,CRUMLIN,NULL,BT29 4UU,2894453413,GDS,NORTHERN,ANTRIM
KILREA DENTAL SURGERY,33 MAGHERA STREET,KILREA,NULL,BT51 5QL,2829540248,GDS,NORTHERN,COLERAINE
18 DARLING STREET,NULL,ENNISKILLEN,NULL,BT74 7HR,2866322983,GDS,WESTERN,FERMANAGH
246/248 RAVENHILL ROAD,NULL,BELFAST,NULL,BT6 8GJ,2890459696,GDS,BELFAST,BELFAST
37 BALLYGOMARTIN ROAD,NULL,BELFAST,NULL,BT13 3LA,2890391057,GDS,BELFAST,BELFAST
101 MAIN STREET,NULL,LISNASKEA,NULL,BT92 0JB,2867721459,GDS,WESTERN,FERMANAGH
ARMAGH ORTHODONTIC CLINIC,"GILLIS TERRACE, LOUGHGALL ROAD",ARMAGH,NULL,BT61 7NX,2837525665,GDS,SOUTHERN,ARMAGH
143 LONGSTONE STREET,NULL,LISBURN,NULL,BT28 1TY,2892662518,GDS,SOUTH EASTERN,LISBURN
2 BINGHAM LANE,NULL,BANGOR,NULL,BT20 5DR,2891271026,GDS,SOUTH EASTERN,NORTH DOWN
110 MAIN STREET,GARVAGH,COLERAINE,NULL,BT51 5AD,2829558818,GDS,NORTHERN,COLERAINE
12/14 RUSSELL STREET,NULL,ARMAGH,NULL,BT61 9AA,2837524958,GDS,SOUTHERN,ARMAGH
25 QUEEN STREET,NULL,BALLYMONEY,NULL,BT53 6HZ,2827663808,GDS,NORTHERN,BALLYMONEY
64 DONAGHADEE RD,NULL,BANGOR,NULL,BT20 4QX,2891463352,GDS,SOUTH EASTERN,NORTH DOWN
138 WHITEWELL ROAD,NULL,BELFAST,NULL,BT36 7EP,2890370279,GDS,BELFAST,BELFAST
254 BALLYSILLAN ROAD,NULL,BELFAST,NULL,BT14 6RA,2890714444,GDS,BELFAST,BELFAST
4 WINDSOR HILL,NULL,NEWRY,NULL,BT34 1EP,2830263400,GDS,SOUTHERN,NEWRY & MOURNE
UNIT 5 TIMBERQUAY,STRAND ROAD,LONDONDERRY,NULL,BT48 7NR,2871367424,GDS,WESTERN,DERRY
4 NEWRY ROAD,NULL,BANBRIDGE,NULL,BT32 3HF,2840662034,GDS,SOUTHERN,BANBRIDGE
51C FORKHILL ROAD,NULL,NEWRY,NULL,BT35 8QX,2830266162,GDS,SOUTHERN,NEWRY & MOURNE
9 RAILWAY STREET,NULL,STRABANE,NULL,BT82 8EG,2871382750,GDS,WESTERN,STRABANE
5 QUEEN STREET,NULL,BALLYMONEY,NULL,BT53 6HZ,2827662166,GDS,NORTHERN,BALLYMONEY
THE GRANGE DENTAL CARE,2 CREVANAGH ROAD,OMAGH,NULL,BT79 0AL,2882244776,GDS,WESTERN,OMAGH
6 LODGE ROAD,NULL,COLERAINE,NULL,BT52 1NB,2870344411,GDS,NORTHERN,COLERAINE
APPLETREE DENTAL CARE,1 THE OLD GASWORK,NEWRY,NULL,BT34 2DH,2830252228,GDS,SOUTHERN,NEWRY & MOURNE
380 ORMEAU ROAD,NULL,BELFAST,NULL,BT7 3HX,2890491333,GDS,BELFAST,BELFAST
292 SHORE ROAD,NULL,NEWTOWNABBEY,NULL,BT37 9RW,2890365259,GDS,NORTHERN,NEWTOWNABBEY
115 BELMONT ROAD,NULL,BELFAST,NULL,BT4 2AD,2890471503,GDS,BELFAST,BELFAST
372 CREGAGH ROAD,NULL,BELFAST,NULL,BT6 9EY,2890793015,GDS,BELFAST,CASTLEREAGH
324 ORMEAU ROAD,NULL,BELFAST,NULL,BT7 2GE,2890491367,GDS,BELFAST,BELFAST
5 ROBERT STREET,NULL,LURGAN,NULL,BT66 8BE,2838327411,GDS,SOUTHERN,CRAIGAVON
19 FRANCES STREET,NULL,NEWTOWNARDS,NULL,BT23 7DW,2891813288,GDS,SOUTH EASTERN,ARDS
438 LISBURN ROAD,NULL,BELFAST,NULL,BT9 6GR,2890200330,GDS,BELFAST,BELFAST
210 BALLYSILLAN ROAD,NULL,BELFAST,NULL,BT14 7QS,2890712822,GDS,BELFAST,BELFAST
MORRISON FAMILY DENTAL CARE,11 THE RODDENS,LARNE,NULL,BT40 1QX,2828260981,GDS,NORTHERN,LARNE
21/23 CASTLE STREET,NULL,BALLYMENA,NULL,BT43 7BT,2825652931,GDS,NORTHERN,BALLYMENA
451/453 FALLS ROAD,NULL,BELFAST,NULL,BT12 6DD,2890243107,GDS,BELFAST,BELFAST
42 NORTH STREET,NULL,LURGAN,NULL,BT67 9AH,2838322821,GDS,SOUTHERN,CRAIGAVON
188 STEWARTSTOWN ROAD,NULL,BELFAST,NULL,BT17 0LE,2890610570,GDS,SOUTH EASTERN,LISBURN
38 CATHERINE STREET,NULL,LIMAVADY,NULL,BT49 9DB,2877765077,GDS,WESTERN,LIMAVADY
BUPA DENTAL CARE,BANGOR SPRINGHILL,4A KILLEEN AVENUE,BANGOR,BT19 1NB,2891274101,GDS,SOUTH EASTERN,NORTH DOWN
83A BRIDGE STREET,NULL,PORTADOWN,NULL,BT63 5AA,2838334116,GDS,SOUTHERN,CRAIGAVON
137 OLD GLENARM ROAD,NULL,LARNE,NULL,BT40 1NH,2828273737,GDS,NORTHERN,LARNE
18 KILLINCHY STREET,NULL,COMBER,NULL,BT23 5AP,2891872482,GDS,SOUTH EASTERN,ARDS
8 MAIN STREET,NULL,LISBELLAW,NULL,BT94 5ER,2866387878,GDS,WESTERN,FERMANAGH
47 CARLETON STREET,NULL,PORTADOWN,NULL,BT62 3EP,2838334672,GDS,SOUTHERN,CRAIGAVON
17/19 MAIN STREET,NULL,PORTGLENONE,NULL,BT44 8AA,2825822262,GDS,NORTHERN,BALLYMENA
25 MAIN STREET,NULL,CLOGHER,NULL,BT76 0AA,2885548100,GDS,SOUTHERN,DUNGANNON
58 BELMONT ROAD,NULL,BELFAST,NULL,BT4 2AP,2890655903,GDS,BELFAST,BELFAST
6A LEVER ROAD,PORTSTEWART,NULL,NULL,BT55 7EF,2870832798,GDS,NORTHERN,COLERAINE
YEW TREE DENTAL PRACTICE,45-47 PATRICK STREET,NEWRY,NULL,BT35 8EB,2830257676,GDS,SOUTHERN,NEWRY & MOURNE
46 BRADBURY PLACE,NULL,BELFAST,NULL,BT7 1RU,2890222444,GDS,BELFAST,BELFAST
6 HENRY STREET,NULL,BALLYMENA,NULL,BT42 3AH,2825659413,GDS,NORTHERN,BALLYMENA
16 BELMORE STREET,NULL,ENNISKILLEN,NULL,BT74 6AA,2866323357,GDS,WESTERN,FERMANAGH
58 MAIN STREET,NULL,PORTGLENONE,NULL,BT44 8HR,2825822115,GDS,NORTHERN,BALLYMENA
39 MARY STREET,NULL,NEWRY,NULL,BT34 2AA,2830262612,GDS,SOUTHERN,NEWRY & MOURNE
116 HIGH STREET,NULL,HOLYWOOD,NULL,BT18 9HW,2890423934,GDS,SOUTH EASTERN,NORTH DOWN
NEWRY DENTURE CENTRE,100 HILL STREET,NEWRY,NULL,BT34 1BT,2830265765,GDS,SOUTHERN,NEWRY & MOURNE
14 TREVOR HILL,NULL,NEWRY,NULL,BT34 1DN,2830261565,GDS,SOUTHERN,NEWRY & MOURNE
10 TREVOR HILL,NULL,NEWRY,NULL,BT34 1DN,2830262057,GDS,SOUTHERN,NEWRY & MOURNE
3 JAMES STREET,NULL,OMAGH,NULL,BT78 1DH,2882249555,GDS,WESTERN,OMAGH
84 FORTHILL STREET,NULL,ENNISKILLEN,NULL,BT74 6AJ,2866328329,GDS,WESTERN,FERMANAGH
33 WEST STREET,CARRICKFERGUS,NULL,NULL,BT38 7AR,2825689804,GDS,NORTHERN,CARRICKFERGUS
11 MAIN STREET,NULL,BALLYNAHINCH,NULL,BT24 8DN,2897562676,GDS,SOUTH EASTERN,DOWN
7 WATERSIDE,NULL,COLERAINE,NULL,BT51 3DP,2870342934,GDS,NORTHERN,COLERAINE
38 BROUGHSHANE STREET,NULL,BALLYMENA,NULL,BT43 6EB,2825652144,GDS,NORTHERN,BALLYMENA
15 WINDSOR AVENUE,NULL,BELFAST,NULL,BT9 6EE,2890381822,GDS,BELFAST,BELFAST
33 BACHELORS WALK,NULL,LISBURN,NULL,BT28 1XN,2892663893,GDS,SOUTH EASTERN,LISBURN
SOUTH DOWN DENTAL CLINIC,22 MERCHANTS QUAY,NEWRY,NULL,BT35 6AH,2830251715,GDS,SOUTHERN,NEWRY & MOURNE
13 CLARENDON STREET,NULL,DERRY,NULL,BT48 7EP,2871263397,GDS,WESTERN,DERRY
36 DOBBIN STREET,ARMAGH,NULL,NULL,BT61 7QQ,2837522580,GDS,SOUTHERN,ARMAGH
6 MONAGHAN COURT,NULL,NEWRY,NULL,BT35 6BH,2830898104,GDS,SOUTHERN,NEWRY & MOURNE
25 PATRICK STREET,NULL,NEWRY,NULL,BT35 8EB,2830263326,GDS,SOUTHERN,NEWRY & MOURNE
3A JINGLERS COURT,NULL,BANBRIDGE,NULL,BT32 3YJ,2840669944,GDS,SOUTHERN,BANBRIDGE
ELLIOTT HOUSE,5-7 BELMORE STREET,ENNISKILLEN,NULL,BT74 6AA,2866323037,GDS,WESTERN,FERMANAGH
42B CHURCH STREET,WARRENPOINT,NULL,NULL,BT34 3HN,2841754548,GDS,SOUTHERN,NEWRY & MOURNE
2 CARLISLE VILLAS,NULL,OMAGH,NULL,BT79 7DH,2882242145,GDS,WESTERN,OMAGH
MOY ORTHODONTIC CLINIC,31 THE SQUARE,MOY,NULL,BT71 7SG,2887784827,GDS,SOUTHERN,DUNGANNON
20 PORTLAND AVENUE,NULL,GLENGORMLEY,NULL,BT36 5EY,2890836693,GDS,NORTHERN,NEWTOWNABBEY
107 HOLYWOOD ROAD,NULL,BELFAST,NULL,BT4 3BE,2890471511,GDS,BELFAST,BELFAST
RATHGAR HOUSE,2 RATHGAR STREET,BELFAST,NULL,BT9 7EZ,2890666684,GDS,BELFAST,BELFAST
165/167 CAVEHILL ROAD,NULL,BELFAST,NULL,BT15 5BP,2890370206,GDS,BELFAST,BELFAST
6 VICTORIA STREET,NULL,ARMAGH,NULL,BT61 9DT,2837522135,GDS,SOUTHERN,ARMAGH
BELMONT ORTHODONTICS,98 BELMONT ROAD,BELFAST,NULL,BT4 2AP,2890656666,GDS,BELFAST,BELFAST
27 CAMPSIE ROAD,NULL,OMAGH,NULL,BT79 0AE,2882244811,GDS,WESTERN,OMAGH
1 CASTLE AVENUE,NULL,CASTLEWELLAN,NULL,BT31 9DX,2843778319,GDS,SOUTH EASTERN,DOWN
MAGHERA DENTAL CARE,27 CHURCH STREET,MAGHERA,NULL,BT46 5EA,2879643396,GDS,NORTHERN,MAGHERAFELT
12 FINAGHY ROAD SOUTH,NULL,BELFAST,NULL,BT10 0DR,2890614937,GDS,BELFAST,BELFAST
13 THE PARADE,NULL,DONAGHADEE,NULL,BT21 0AE,2891883513,GDS,SOUTH EASTERN,ARDS
543 ANTRIM ROAD,NULL,BELFAST,NULL,BT15 3BU,2890370144,GDS,BELFAST,BELFAST
13 BELFAST ROAD,ANTRIM,NULL,NULL,BT41 1NY,2894462335,GDS,NORTHERN,ANTRIM
38 HAMILTON ROAD,NULL,BANGOR,NULL,BT20 4LE,2891454590,GDS,SOUTH EASTERN,NORTH DOWN
49/51 MAIN STREET,NULL,FINTONA,NULL,BT78 2AG,2882840150,GDS,WESTERN,OMAGH
838 CRUMLIN ROAD,NULL,BELFAST,NULL,BT14 8AE,2890714477,GDS,BELFAST,BELFAST
84 OLDMOUNTFIELD ROAD,NULL,OMAGH,NULL,BT79 7ET,2882251551,GDS,WESTERN,OMAGH
22 MAIN STREET,NULL,BALLYNAHINCH,NULL,BT24 8DN,2897562358,GDS,SOUTH EASTERN,DOWN
24A ST PATRICK'S AVENUE,NULL,DOWNPATRICK,NULL,BT30 6DW,2844614900,GDS,SOUTH EASTERN,DOWN
17 CHURCH ROAD,NULL,BESSBROOK,NULL,BT35 7HQ,2830830218,GDS,SOUTHERN,NEWRY & MOURNE
20C NORTH STREET,NULL,CROSSMAGLEN,NULL,BT35 9AB,2830861100,GDS,SOUTHERN,NEWRY & MOURNE
3 LODGE ROAD,NULL,COLERAINE,NULL,BT52 1LU,2870342393,GDS,NORTHERN,COLERAINE
6 NEW BRIGHTON TERRACE,NULL,OMAGH,NULL,BT78 1LL,2882242218,GDS,WESTERN,OMAGH
22 NORTH STREET,NULL,CARRICKFERGUS,NULL,BT38 7AQ,2893351418,GDS,NORTHERN,CARRICKFERGUS
95 SAINTFIELD ROAD,NULL,BELFAST,NULL,BT8 7HN,2890703215,GDS,BELFAST,CASTLEREAGH
42 CIRCULAR ROAD,NULL,DUNGANNON,NULL,BT71 6BE,2887726979,GDS,SOUTHERN,DUNGANNON
114 CASTLEREAGH ROAD,NULL,BELFAST,NULL,BT5 5FR,2890451303,GDS,BELFAST,BELFAST
KENNEDY ORTHODONTICS,2ND FLOOR BEDECK BUILDING,"465 LISBURN ROAD, BELFAST",NULL,BT9 7EX,2890660550,GDS,BELFAST,BELFAST
18/24 WILLIAM STREET,NULL,LURGAN,NULL,BT66 6JA,2838322441,GDS,SOUTHERN,CRAIGAVON
305 CAVEHILL ROAD,NULL,BELFAST,NULL,BT15 5EY,2890715211,GDS,BELFAST,BELFAST
33 GILNAHIRK ROAD,NULL,BELFAST,NULL,BT5 7DB,2890401689,GDS,BELFAST,BELFAST
107 HAMILTON ROAD,NULL,BANGOR,NULL,BT20 4LN,2891270657,GDS,SOUTH EASTERN,NORTH DOWN
35 RATHFRILAND STREET,NULL,BANBRIDGE,NULL,BT32 3LA,2840628108,GDS,SOUTHERN,BANBRIDGE
7 EBRINGTON TERRACE,NULL,LONDONDERRY,NULL,BT47 6JS,2871344529,GDS,WESTERN,DERRY
479 ORMEAU ROAD,NULL,BELFAST,NULL,BT7 3GR,2890644797,GDS,BELFAST,BELFAST
61 ROSETTA ROAD,NULL,BELFAST,NULL,BT6 0LR,2890491406,GDS,BELFAST,CASTLEREAGH
