"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"57","N/D","SCS1","DIPR-HD","Advises on all issues related to Intellectual Property (IP) and the impact of export controls, specifically matters relating to technology transfer, IP strategies and agreements, positional advice on contractual disputes, and IP aspects of treaties.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","5654","0","1.00","N/A","N/A","","Government Legal Profession","South West","","1"
"114","N/D","SCS1","DSA-DNSR-Hd","Regulates nuclear and radiological safety and environmental protection in the Defence Nuclear Portfolio, which consists of the Naval Nuclear Propulsion Programme, the Nuclear Weapons Programme and the transport of Defence nuclear material.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","185281","0","1.00","N/A","N/A","","Operational Delivery Profession","South West","","1"
"721","N/D","SCS1","CAAS-Hd","Responsible for cost management across Defence, including protecting value by supporting the delivery of an affordable Defence budget, helping to secure value for money for the Department, supporting delivery of the Defence efficiency programme and adding value by informing decision-making around cost risk, schedule risk and broader financial risk to the Department.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","106039","0","1.00","N/A","N/A","","Government Finance Profession","South West","","1"
"5654","Williams, David (David), Mr","SCS4","PUS","The Permanent Secretary is the government's principal civilian adviser on Defence, has primary responsibility for policy, finance and planning, and is also the Departmental Accounting Officer.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","XX","0","1.00","190000","194999","","Policy Profession","London","","1"
"25463","N/D","SCS1","DFinStrat-FMPA-Hd","Responsible for the development and operation of Defence financial management systems and the policy relating to finance skills and finance issues, including regularity and propriety, income generation, external assistance, accounting and tax and duty.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","206135","0","1.00","N/A","N/A","","Government Finance Profession","South West","","1"
"105227","Gibson, Vernon, Professor","SCS3","CSA","The Chief Scientific Adviser is MOD's principal adviser on science and technology and is responsible for ensuring that key strategic decisions made by ministers and senior officials are informed by high quality expert scientific advice and analysis.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","262769","0","0.80","115000","119999","","Government Science and Engineering Profession","London","","1"
"105230","Joad, Nicholas (Nicholas), Dr","SCS2","DST-Director","Provides advice to ministers and senior officials on Defence Science & Technology (S&T), defines the S&T strategy/policy to effectively manage CSA's Research Programme, and invests the Departmental S&T budget in ground-breaking research programmes by leveraging UK Defence S&T capability through international collaborations and by driving Defence Innovation.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","105227","0","1.00","100000","104999","","Government Science and Engineering Profession","London","","1"
"105349","N/D","SCS1","SPO DISE-SEP-Head","Responsible for supporting UK defence industry to increase our share of existing markets and to develop new markets to support our UK industrial capability priorities and UK prosperity, and gain influence and access with more nations.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","140333","0","1.00","N/A","N/A","","Policy Profession","London","","1"
"106000","Harrison, Kate (Kate), Ms","SCS3","DGFinance--DGFinance","Responsible for ensuring that policies and processes are in place across Defence to manage the Department's resources in accordance with financial delegations from Parliament, the Treasury and as set out in 'Managing Public Money' and other relevant Treasury and Cabinet Office policies, guidance and controls.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","5654","0","1.00","155000","159999","","Government Finance Profession","Yorkshire and The Humber","","1"
"106029","Rouse, Deana (Deana), Miss","SCS2","Director Resources HO&CF","Responsible for making Head Office stronger and more strategic and leading on business improvement and behaviour across the Department; also acts as Head of Establishment for MOD Main Building.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","223857","0","1.00","100000","104999","","Project Delivery Profession","London","","1"
