Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Registration Number
Department of Health,East Sussex Healthcare NHS Trust,02/07/2018,GENERAL RATES,Commercial,HASTINGS BOROUGH COUNCIL,0001454858,106981.00,
Department of Health,East Sussex Healthcare NHS Trust,02/07/2018,GENERAL RATES,Commercial,EASTBOURNE BOROUGH COUNCIL,0001454860,104023.00,
Department of Health,East Sussex Healthcare NHS Trust,04/07/2018,APPRENTICESHIP LEVY,Corporate Services,LIAISON FINANCIAL SERVICES LTD,0001454861,1393.00,
Department of Health,East Sussex Healthcare NHS Trust,04/07/2018,PROFESSIONAL FEES,Corporate Services,LIAISON FINANCIAL SERVICES LTD,0001454861,6626.68,
Department of Health,East Sussex Healthcare NHS Trust,04/07/2018,AGENCY DIRECT ENGAGEMENT,Other Central,LIAISON FINANCIAL SERVICES LTD,0001454861,88355.67,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2018,PROFESSIONAL FEES,Integrated Care,BRIGHTON AND SUSSEX UNIV HOSPS NHS TRUST,0000149824,109090.24,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2018,CAPITAL EXPEND BUILDINGS,Other Central,SHJ HOSPITAL PIPELINES LTD,0000372956,70000.00,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2018,CONT.MAIN-MED & SURG EQUIP,Integrated Care,B BRAUN MEDICAL,0000373284,28108.00,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2018,CONT.MAIN-MED & SURG EQUIP,Integrated Care,B BRAUN MEDICAL,0000373286,23733.00,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2018,WATER-RATES & METERED,Commercial,CASTLE WATER LTD,0001454632,134603.70,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2018,TRAINING COURSE FEES-OTHER,Corporate Services,REBEKAH GIFFNEY CONSULTING,0001454809,45833.33,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2018,CAPITAL EXPEND BUILDINGS,Other Central,PD HARRIS LTD,0001454819,48000.00,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2018,CAPITAL EXPEND BUILDINGS,Other Central,PD HARRIS LTD,0001454820,38973.79,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2018,CONTRACT-SECURITY,Commercial,TGS SECURITY SPECIALISTS LTD,0002289424,38078.26,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2018,CONTRACT-SECURITY,Commercial,TGS SECURITY SPECIALISTS LTD,0002289895,36875.28,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2018,CONTRACT-SECURITY,Commercial,TGS SECURITY SPECIALISTS LTD,0002291879,38078.26,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2018,DRUGS-HIV,Integrated Care,ALCURA UK LTD,0002324209,28351.19,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2018,DRUGS-HIV,Integrated Care,ALCURA UK LTD,0002324210,37499.84,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2018,DRUGS-HIV,Integrated Care,ALCURA UK LTD,0002324445,28185.51,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2018,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BAYER PLC,0002325127,100684.80,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2018,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,NOVARTIS PHARMACEUTICALS UK LTD,0012010950,50752.80,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2018,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,JANSSEN-CILAG LTD,0012011079,39729.98,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2018,TESTS SENT TO NON NHS LABS,Integrated Care,SOURCE BIOSCIENCE UK LTD,0021011432,29459.00,
Department of Health,East Sussex Healthcare NHS Trust,05/07/2018,TESTS SENT TO NON NHS LABS,Integrated Care,SOURCE BIOSCIENCE UK LTD,0021012723,25928.00,
Department of Health,East Sussex Healthcare NHS Trust,11/07/2018,PROFESSIONAL FEES,Corporate Services,LIAISON FINANCIAL SERVICES LTD,0001455063,8706.22,
Department of Health,East Sussex Healthcare NHS Trust,11/07/2018,AGENCY DIRECT ENGAGEMENT,Other Central,LIAISON FINANCIAL SERVICES LTD,0001455063,116082.91,
Department of Health,East Sussex Healthcare NHS Trust,12/07/2018,SR BRIGHTON & SUSSEX UNIV HOSP,Integrated Care,BRIGHTON AND SUSSEX UNIV HOSPS NHS TRUST,0000149007,36646.03,
Department of Health,East Sussex Healthcare NHS Trust,12/07/2018,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,0001454927,150466.22,
Department of Health,East Sussex Healthcare NHS Trust,12/07/2018,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,0001454928,198018.68,
Department of Health,East Sussex Healthcare NHS Trust,12/07/2018,AGENCY CONSULTANT,Integrated Care,DR QUIROGA HISTOPATHOLOGY SERVICES LTD,0002323837,35328.00,
Department of Health,East Sussex Healthcare NHS Trust,12/07/2018,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BAYER PLC,0002324931,100684.80,
Department of Health,East Sussex Healthcare NHS Trust,12/07/2018,CONTRACTED-OUT H.CARE SERVICES,Integrated Care,MEDICA REPORTING LTD,0002501382,40738.00,
Department of Health,East Sussex Healthcare NHS Trust,12/07/2018,CONTRACTED-OUT H.CARE SERVICES,Integrated Care,MEDICA REPORTING LTD,0002501383,64715.00,
Department of Health,East Sussex Healthcare NHS Trust,13/07/2018,NHSLA-CNST INSURANCE,Corporate Services,NHS RESOLUTION,0001455361,1050847.90,
Department of Health,East Sussex Healthcare NHS Trust,13/07/2018,OTHER INSURANCE NOT PROP/VHCL,Corporate Services,NHS RESOLUTION,0001455361,29079.90,
Department of Health,East Sussex Healthcare NHS Trust,13/07/2018,PROFESSIONAL FEES,Corporate Services,LIAISON FINANCIAL SERVICES LTD,0001455362,7155.06,
Department of Health,East Sussex Healthcare NHS Trust,13/07/2018,AGENCY DIRECT ENGAGEMENT,Other Central,LIAISON FINANCIAL SERVICES LTD,0001455362,95400.77,
Department of Health,East Sussex Healthcare NHS Trust,19/07/2018,SR BRIGHTON & SUSSEX UNIV HOSP,Integrated Care,BRIGHTON AND SUSSEX UNIV HOSPS NHS TRUST,0000146646,36959.00,
Department of Health,East Sussex Healthcare NHS Trust,19/07/2018,BLOOD PRODUCTS - NBS ST CONTRA,Integrated Care,NHS BLOOD AND TRANSPLANT (NHSBT),0000150432,59669.57,
Department of Health,East Sussex Healthcare NHS Trust,19/07/2018,BLOOD PRODUCTS - NBS ST CONTRA,Integrated Care,NHS BLOOD AND TRANSPLANT (NHSBT),0000150433,62185.34,
Department of Health,East Sussex Healthcare NHS Trust,19/07/2018,CAPITAL EXPEND I.T.,Other Central,EUROPEAN ELECTRONIQUE LTD,0000373147,32552.45,
Department of Health,East Sussex Healthcare NHS Trust,19/07/2018,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,0001455092,151117.56,
Department of Health,East Sussex Healthcare NHS Trust,19/07/2018,CONTRACT - MANAGEMENT FEE,Integrated Care,ROCHE DIAGNOSTICS LTD,0002292555,34072.36,
Department of Health,East Sussex Healthcare NHS Trust,19/07/2018,PACEMAKERS,Integrated Care,MEDTRONIC LTD,0002292725,133830.00,
Department of Health,East Sussex Healthcare NHS Trust,19/07/2018,EXTERNAL AUDIT FEES,Corporate Services,GRANT THORNTON,0021012448,35650.00,
Department of Health,East Sussex Healthcare NHS Trust,26/07/2018,CONT.MAIN-MED & SURG EQUIP,Integrated Care,NHS SUPPLY CHAIN (MAIDSTONE),0000150471,78424.49,
Department of Health,East Sussex Healthcare NHS Trust,26/07/2018,CONTINENCE PRODUCTS,Integrated Care,PAUL HARTMANN LTD,0001454865,45044.34,
Department of Health,East Sussex Healthcare NHS Trust,26/07/2018,NHS SUPPLY CHAIN CREDITORS,Cross Site,LYRECO UK LIMITED,0001454926,39025.22,
Department of Health,East Sussex Healthcare NHS Trust,26/07/2018,CONTINENCE PRODUCTS,Integrated Care,PAUL HARTMANN LTD,0001455059,42554.75,
Department of Health,East Sussex Healthcare NHS Trust,26/07/2018,ELECTRICITY,Commercial,EDF ENERGY,0001455203,82775.51,
Department of Health,East Sussex Healthcare NHS Trust,26/07/2018,ELECTRICITY,Commercial,EDF ENERGY,0001455203,161.35,
Department of Health,East Sussex Healthcare NHS Trust,26/07/2018,CAPITAL EXPEND BUILDINGS,Other Central,BOOKER & BEST LIMITED,0001455481,32400.00,
