Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,01/08/2022,Telecoms - Land Line Rental,Production Services,British Telecom Plc (BT),99772291,"12,551.36",SR11199494 REGULAR CHARGES 1 JUL 22-31 JUL 22,S98 1BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,01/08/2022,GPC Clearing - SSC,Balance Sheet,Unspecified,99774618,-109.9,Unspecified,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,01/08/2022,GPC Sundry Expenditure,D&I Management,Unspecified,99774618,109.9,GPC_Miscellaneous GPC Expenditure,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,01/08/2022,Consultancy Services,"Risk, Information & Security Compliance",Risk Evolves Ltd,99776314,"1,224.00",Consultancy Services,CV31 1XT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,01/08/2022,Consultancy Services,"Risk, Information & Security Compliance",Risk Evolves Ltd,99776314,816,Consultancy Services,CV31 1XT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,01/08/2022,Contract Staff,Production Services,Alexander Mann Solutions Ltd,99776499,"3,465.30",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,01/08/2022,T&S - Parking Tolls Congestion Charges,D&I Digital,Unspecified,99776585,14,"Parking, Tolls, Congestion Charge",HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,01/08/2022,T&S - Accommodation,Contact Centres,Unspecified,99776586,105,Accommodation - Hotels Elsewhere Actuals,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,01/08/2022,T&S - Subsistence,Contact Centres,Unspecified,99776586,34.49,Evening Meal (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,01/08/2022,T&S - Subsistence,Contact Centres,Unspecified,99776586,7.8,Lunch (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,01/08/2022,Other Staff Benefits,People,Amazon EU SARL,99777016,150,ZZ-Employee Benefits,EC2A 2FA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,01/08/2022,Contract Staff,Production Services,Alexander Mann Solutions Ltd,99777028,"2,648.52",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,01/08/2022,Contract Staff,Project Office,Alexander Mann Solutions Ltd,99777031,"3,649.14",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,01/08/2022,Contract Staff,Corporate HR,Alexander Mann Solutions Ltd,99777033,"3,024.29",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,01/08/2022,Contract Staff,SHARP,Alexander Mann Solutions Ltd,99777038,"3,387.66",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,02/08/2022,Computing Consumables,Production Services,Banner Group Ltd,99762060,86.23,Computer Consumables,SWAREHOUSEONLY
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,02/08/2022,Recruitment Costs,People,Onefix Recruitment Ltd,99774855,"26,400.00",Recruitment Services,PO3 5EJ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,02/08/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99776600,840,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,02/08/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99776601,840,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,02/08/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99776603,840,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,02/08/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99776608,504,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,02/08/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99776608,504,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,02/08/2022,T&S - Mileage,Contact Centres,Unspecified,99778768,24.8,Mileage - Bicycle (excl Home to Office),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,02/08/2022,T&S - Mileage,Contact Centres,Unspecified,99778768,99,Mileage - Car (excl Home to Office),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,02/08/2022,Health & Safety (inc. Medicals & Opticians),Finance Operations 1,Unspecified,99778769,80,Medical Fees & Vaccinations (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,02/08/2022,T&S - Subsistence,Resourcing,Unspecified,99778770,15.4,Evening Meal (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,02/08/2022,T&S - Subsistence,Resourcing,Unspecified,99778770,19,Lunch (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,02/08/2022,T&S - Vehicle Hire,Resourcing,Unspecified,99778770,39.99,Vehicle Hire/Rental/Fuel (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,02/08/2022,UK - Professional Memberships & Subscriptions,Accounting,Unspecified,99778771,175,Professional Subscriptions (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,02/08/2022,T&S - Subsistence,Resourcing,Unspecified,99778772,16.45,Evening Meal (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,02/08/2022,T&S - Subsistence,Resourcing,Unspecified,99778772,13.7,Lunch (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,02/08/2022,T&S - Vehicle Hire,Resourcing,Unspecified,99778772,67.65,Vehicle Hire/Rental/Fuel (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,03/08/2022,Health & Safety (inc. Medicals & Opticians),Facilities,AM Health & Safety Ltd,99776592,189,Professional Services,SN5 6BD
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,03/08/2022,T&S - Vehicle Hire,HR Ops & Specialists,Enterprise Rent-A-Car UK Ltd,99777923,83.87, 26/7/22-28/7/22,GL2 5DA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,03/08/2022,T&S - Vehicle Hire,HR Ops & Specialists,Enterprise Rent-A-Car UK Ltd,99777923,16.77,SR11216076 & SR11216074 MONTHLY CAR RENTAL,GL2 5DA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,03/08/2022,T&S - Parking Tolls Congestion Charges,Operational Excellence,Unspecified,99778119,30,"Parking, Tolls, Congestion Charge",HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,03/08/2022,Health & Safety (inc. Medicals & Opticians),"D&I Digital, Data & Analytics",Unspecified,99778120,25,Medical Fees & Vaccinations (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,03/08/2022,Contract Staff,Production Services,Hays Specialist Recruitment Ltd,99778957,"7,469.39",Recruitment Services,KT3 4QF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,03/08/2022,Contract Staff,Production Services,Hays Specialist Recruitment Ltd,99778958,"6,170.36",Recruitment Services,KT3 4QF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,03/08/2022,Contract Staff,Production Services,Hays Specialist Recruitment Ltd,99778962,"6,819.88",Recruitment Services,KT3 4QF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,03/08/2022,Contract Staff,Production Services,Hays Specialist Recruitment Ltd,99778970,"6,170.36",Recruitment Services,KT3 4QF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,03/08/2022,Contract Staff,Production Services,Hays Specialist Recruitment Ltd,99778971,"6,819.88",Recruitment Services,KT3 4QF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,03/08/2022,Contract Staff,Production Services,Hays Specialist Recruitment Ltd,99778973,"6,170.36",Recruitment Services,KT3 4QF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,04/08/2022,T&S - Other Charges,Tier 1 ROE Transactions,Unspecified,99768074,91.97,Home-working Equipment,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,04/08/2022,T&S - Mileage,Partnership Management,Unspecified,99778438,132,Mileage - Car Allowance,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,04/08/2022,T&S - Subsistence,Partnership Management,Unspecified,99778438,6.35,Breakfast (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,04/08/2022,T&S - Subsistence,Partnership Management,Unspecified,99778438,100,Evening Meal (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,04/08/2022,T&S - Subsistence,Partnership Management,Unspecified,99778438,19.25,Lunch (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,04/08/2022,T&S - Other Charges,Contact Centres,Unspecified,99778440,80,Miscellaneous (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,04/08/2022,Recruitment Costs,Corporate HR,Everwell Occupational Health Ltd,99779135,462,Professional Services,CW11 3AE
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/08/2022,Staff Training,People,ILX Group plc,99770059,974.4,Training,RG12 1WA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/08/2022,T&S - Subsistence,D&I Operations,Unspecified,99774290,27.63,Lunch (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/08/2022,Payroll accruals,People,MyCSP Ltd,99778076,109.3,Professional Services,SK8 7BS
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/08/2022,Data Storage & Recovery,Finance Operations 1,The Maltings Document Storage Solutions Ltd,99778102,332.06,Computing Services,CF24 5EZ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/08/2022,Computing Consumables,Production Services,Probrand Ltd,99779205,578.4,Computer Consumables,SMARTFORM
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/08/2022,Computing Consumables,Production Services,Probrand Ltd,99779205,111.32,Computer Consumables,SMARTFORM
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/08/2022,Contract Staff,Production Services,Proventeq Limited,99779482,"62,034.00",Computer Consumables,RG6 6BU
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/08/2022,Contract Staff,Corporate HR,Alexander Mann Solutions Ltd,99779639,"7,560.72",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/08/2022,Contract Staff,Project Office,Alexander Mann Solutions Ltd,99779640,"7,298.28",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/08/2022,Contract Staff,Production Services,Alexander Mann Solutions Ltd,99779642,"2,648.52",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/08/2022,T&S - Parking Tolls Congestion Charges,Operational Excellence,Unspecified,99779662,10,"Parking, Tolls, Congestion Charge",HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/08/2022,T&S - Parking Tolls Congestion Charges,Operational Excellence,Unspecified,99779663,10,"Parking, Tolls, Congestion Charge",HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/08/2022,Contract Staff,Production Services,Alexander Mann Solutions Ltd,99779921,"3,465.30",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/08/2022,Contract Staff,SHARP,Alexander Mann Solutions Ltd,99779923,"3,387.66",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,08/08/2022,GPC Clearing - SSC,Balance Sheet,Unspecified,99778439,-90.85,Unspecified,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,08/08/2022,Health & Safety (inc. Medicals & Opticians),Facilities,Unspecified,99778439,90.85,GPC_Health & Safety,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,08/08/2022,Consultancy Services,Production Services,Premiertec Consulting Ltd t/a Claremont,99779134,"26,932.50","Consultancy and Professional Services to develop two key work areas around API re-development and re-use, and automation of features connected to the primary and sub-processes associated with the SML process. Also included: BAU, CIs and CRs",NE1 3DY
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,08/08/2022,Computing Consumables,D&I Management,Unspecified,99779658,124.68,GPC_Computer Consumables,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,08/08/2022,GPC Clearing - SSC,Balance Sheet,Unspecified,99779658,-124.68,Unspecified,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,08/08/2022,Computing Consumables,D&I Management,Unspecified,99779659,160.74,GPC_Computer Consumables,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,08/08/2022,GPC Clearing - SSC,Balance Sheet,Unspecified,99779659,-160.74,Unspecified,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,08/08/2022,Computing Consumables,D&I Management,Unspecified,99779660,29.88,GPC_Computer Consumables,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,08/08/2022,GPC Clearing - SSC,Balance Sheet,Unspecified,99779660,-29.88,Unspecified,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,08/08/2022,T&S - Parking Tolls Congestion Charges,Corporate Finance,Unspecified,99780260,10,"Parking, Tolls, Congestion Charge",HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,08/08/2022,T&S - Other Charges,SIAM,Unspecified,99780261,33.35,Miscellaneous (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,08/08/2022,Recruitment Costs,Corporate HR,Agenda Resource Management Ltd,99780743,261.13,Professional Services,HU12 8YJ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/08/2022,Contract Staff,Professional Services,Hays Specialist Recruitment Ltd,99774567,"12,402.00",Recruitment Services,KT3 4QF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/08/2022,Hardware/Software Maintenance,Production Services,Bytes Software Services Ltd,99778083,"5,205.97",Computer Consumables,KT22 7TW
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/08/2022,Hardware/Software Maintenance,Production Services,Bytes Software Services Ltd,99778083,"7,235.81",Computer Consumables,KT22 7TW
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/08/2022,Hardware/Software Maintenance,Production Services,Bytes Software Services Ltd,99778083,"3,461.08",Computer Consumables,KT22 7TW
