"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"162138","Lock, Stephen (Stephen), Mr","SCS2","DIRECTOR OF RESOURCES,AIR CMD","Chief Financial Officer of Air , responsible for Finance, Commercial, HR, Resources  & Plans and Secretariat. Member of the Airforce Executive Committee and Board","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1017733","0","1.00","110000","114999","","Government Finance Profession","South East","nan","1.00"
"162157","N/D","SCS1","Hd Sec & CW","Reporting to the Director of Resources, responsible for Secretariat and Civilian Workforce","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","162138","0","1.00","N/A","N/A","","Policy Profession","South East","nan","1.00"
"210250","N/D","SCS1","Head of Finance - Air Command","Reporting to the Director of Resources, responsible for Air Finance","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","162138","0","1.00","N/A","N/A","","Government Finance Profession","South East","nan","1.00"
"214044","N/D","SCS1","ACOS Media and Comms","Head of ​​​​​​​Air Media & Communications responsible for ​​​​​​​communications central to the RAF’s business across many media platforms.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1017733","0","1.00","N/A","N/A","","Operational Delivery Profession","South East","nan","1.00"
"253828","N/D","SCS1","Head Air Portfolio","Head of the Air Portfolio Office, reporting to the Assistant Chief of the Air Staff (Plans) . The critical role of the Pf function is to develop insights and support that will enable efficient, effective and coherent organisational change and development, across the whole Air Portfolio.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1017733","0","1.00","N/A","N/A","","Project Delivery Profession","South East","nan","1.00"
"1017733","N/D","OF-9","Chief of Air Staff - CAS","The professional head of the Royal Air Force and responsible for generating a balanced and integrated Royal Air Force capability, and for maintaining the fighting effectiveness and morale of the Service.  The Chief of the Air Staff reports to the Chief of the Defence Staff and is a member of the Defence Council, the Air Force Board, the Defence Ministerial Committee, the Defence Board, the Chiefs of Staff Committee and the Senior Appointments Committee.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","XX","2272000","1.00","190000","194999","","Military","South East","nan","1.00"
"1023653","N/D","OF-6","Commandant RAF College Cranwell","To recruit and select the best potential RAF officers and aircrew, and provide initial training and career development training to the highest standards.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1071072","0","1.00","N/A","N/A","","Military","East Midlands","nan","1.00"
"1071072","Maddison, Richard (Richard), Air Vice Marshal","OF-7","Air Officer Commanding 22 Group","The mission of 22 Group is to underpin the military effectiveness of the  RAF and the other Services by timely provision of appropriately trained military and civilian personnel; the end state is an organisation that delivers mentally and physically robust individuals with a war-fighting specialist mentality ready to integrate into front-line duties.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","2150603","0","1.00","120000","124999","","Military","South East","nan","1.00"
"1071170","N/D","OF-6","Director Flying Training","To provide first-class courses covering everything from the fundamental skills of flying through to the successful operation of complex systems.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1071072","0","1.00","N/A","N/A","","Military","South West","nan","1.00"
"1071229","Knighton, Richard (Richard), Air Marshal","OF-8","Deputy Commander Capability and Air Member for Personnel and Capability","DCom Cap provides sufficient personnel to meet the trained manpower requirement of the RAF, ensuring those personnel are trained to carry out the tasks demanded of them, and that they are provided with the right support to deliver operational effect.  As Chair of the Air Force Capability Group, DCom Cap is also responsible for the efficient and effective development of the Capability for Air, and, as Air Member for Personnel, he provides the policies, strategies and personnel management advice to ensure that the RAF vision is deliverable now and in the longer term.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1017733","0","1.00","160000","164999","","Military","South East","Salary for similar role used as not available. Moved to K00 TLB Jun 22","1.00"
"1071779","N/D","OF-7","Director Legal Services","To deliver high quality, effective and operationally focused legal services to the RAF and Defence.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1017733","0","1.00","125000","129999","","Military","South East","nan","1.00"
"1071780","N/D","OF-6","Deputy Director Legal Services","To assist Director Legal Services in the delivery of high quality, effective and operationally focused legal services to the RAF and Defence.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1071779","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"1071831","N/D","OF-6","Chaplain-in-Chief","The mission of the Royal Air Force Chaplains' Branch is to serve the Royal Air Force through prayer, presence and proclamation.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","2150603","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"1071926","N/D","OF-7","Air Officer Commanding No 1 Group","Force Generation for Combat Air, ISTAR and Air Mobility Forces; and delivery of AIR Test and Evaluation","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","2150603","0","1.00","125000","129999","","Military","South East","nan","1.00"
"1072923","N/D","OF-6","Assistant Chief of Staff Personnel Policy","To provide timely, targeted and evidence-based personnel strategy and policy advice in order to support delivery of the RAF People Portfolio and inform development of the Armed Forces People Programme.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1072924","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"1072924","Byford, Maria (Maria), Air Vice Marshal","OF-7","Chief of Staff Personnel","To manage the RAF's servicemen and women and to provide the supporting policies to enable an agile, adaptable and capable Air Force.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1071229","0","1.00","160000","164999","","Military","South East","nan","1.00"
"1405168","N/D","OF-6","Assistant Chief of Staff Manning","The primary role of the manning directorate, in apportioning manpower to fill establishments, is to balance the Service need with personal aspirations within a framework of overall career management. The directorate manages the careers of all officers, non-commissioned aircrew and ground trades personnel.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1072924","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"1479358","N/D","OF-6","Commandant Air Warfare Centre","To provide intelligence-led integrated air and electronic warfare operational mission support to Defence-wide units.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1071926","0","1.00","N/A","N/A","","Military","East Midlands","nan","1.00"
"1701019","N/D","OF-7","Air Officer Commanding 2 Group","Responsible for generating and developing effective combat support.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","2150603","0","1.00","120000","124999","","Military","South East","nan","1.00"
"1705942","N/D","OF-6","Commandant Air Cadets","Command an Air, Space and Cyber focused uniformed youth organisation whose purpose is to grow young people’s potential.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1071072","0","1.00","N/A","N/A","","Military","East Midlands","nan","1.00"
"1715071","N/D","OF-6","Capability Planning Assistant Chief of Staff","Provide the Air view, from pre- concept to the onset of capability delivery, for strategic investment in the Air environment to meet Defence Plans","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1724778","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"1721196","N/D","OF-6","Air Mobility Force Commander & Air Officer Air Mobility","To provide the comprehensive command and staff support required at the operational level to direct, plan, develop and deliver the Air Mobility capability and sustain force elements in order to support the delivery of Air Command's outputs.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1701019","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"1722019","N/D","OF-6","Assistant Chief of Staff Capability Development","To develop coherent and coordinated policies and plans, consistent with the RAF Strategic Vision, which enable Air Command to deliver its outputs now and in the future.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1724778","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"1724778","Taylor, Lincoln (Linc), Air Vice Marshal","OF-7","Chief of Staff Capability","To develop coherent and coordinated policies and plans, consistent with the RAF Strategic Vision, which enable Air Command to deliver its outputs now and in the future.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1071229","0","1.00","125000","129999","","Military","South East","nan","1.00"
"1734612","N/D","OF-6","Assistant Chief of Staff Capability Delivery C2 IAMD","To develop coherent and coordinated policies and plans, consistent with the RAF Strategic Vision, which enable Air Command to deliver its outputs now and in the future.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1724778","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"1744540","N/D","OF-6","Head RAF Medical Services","To maximise the numbers of RAF personnel fit for task and provide coherent and effective medical operational capability to facilitate an agile, adaptable and capable Air Force.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","2127590","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"1901179","N/D","OF-6","Assistant Chief of Staff Capability Delivery C2 ISR","To develop coherent and coordinated policies and plans, consistent with the RAF Strategic Vision, which enable Air Command to deliver its outputs now and in the future.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1724778","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"1914853","N/D","OF-6","Air Officer Force Protection & Commandant General of the RAF Regiment","Force Protection is a fundamental enabler for air operations and is delivered by the integration of the effects from a variety of specialist force elements and generic activity across the force.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1701019","0","1.00","N/A","N/A","","Military","East of England","nan","1.00"
"1932609","N/D","OF-6","Inspector Safety","Head RAF Safety Centre is the lead for the delivery of effective Total Safety management within Air Command.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","2150603","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"1943680","N/D","OF-6","CA FORCE CDR","To deliver the military capability that the future UK armed forces needs by directing, cohering and arbitrating future capability decisions.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1071926","0","1.00","N/A","N/A","","Military","East of England","nan","1.00"
"1955400","N/D","OF-6","Head Resources and Plans","Manages the HQ Air planning functions, including risk management, the development of HQ Air's input into the Planning Round (including military priorities), strategic policy/planning, direction and advice on Force Structure Development, managing the Air Establishment Requirement, development of the Estate Rationalisation Plan and Manpower Planning.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1017733","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"1999230","N/D","OF-6","ACOS Workforce Requirements and Recruiting","Direct all Recruiting and Selection activities while determining and delivering the endorsed workforce requirement of the RAF","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1072924","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"2004688","N/D","OF-6","ISTAR Force Commander","To develop the RAF's ISTAR and SAR capabilities to best contribute to the achievement of precise effects across the spectrum whenever and wherever they are required in support of the UK's foreign and defence policy.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1071926","0","1.00","N/A","N/A","","Military","East Midlands","nan","1.00"
"2064387","N/D","OF-7","Air Officer Commanding 11 Group & Chief of Staff Operations","11 Group combines the capabilities of Chief of Staff Ops with Air Battle Staff, comprising the deployable Joint Force Air Component, the National Air & Space Operations Centre and the Executive Team; it also incorporates the Battleship Management Force, providing the building blocks for the generation of a powerful non-kinetic effects capability.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","2150603","0","1.00","120000","124999","","Military","South East","nan","1.00"
"2067413","N/D","OF-6","Assistant Chief of Staff Operations","To plan and deliver air and space effects, synchronised and integrated with cyber and information activities, in support of Defence outputs.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","2064387","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"2067849","N/D","OF-6","Joint Force Air Component Commander","To generate and sustain a responsive, agile, adaptable and fully capable Joint Force Air Component HQ for the command and control of expeditionary joint air operations in order to realise the RAF vision.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","2064387","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"2084698","N/D","OF-7","Assistant Chief of Air Staff Plans","Responsible for Air TLB Portfolio and Performance Management, and RAF Command Plan development, ensuring the balanced delivery of the RAF strategy through evidence-based decision making.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1017733","0","1.00","120000","124999","","Military","South East","nan","1.00"
"2086300","N/D","OF-6","Chief of Staff Air","Responsible for the development of coherent and coordinated business activity that enables HQ Air to deliver its outputs now and in the future.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","2084698","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"2089052","N/D","OF-6","Director Strategic Support Programme","To transform support capabilities and harness the full potential of personnel through delivery of modern systems, structures and processes to enable the RAF to sustainably generate Air and Space power.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","2127590","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"2093123","N/D","OF-6","QATAR Programme SRO","Qatar Air Programmes SRO is responsible for the overall delivery of all the programmes detailed under the UK-Qatar Air Cooperation MOU.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1017733","0","1.00","N/A","N/A","","Military","London","nan","1.00"
"2095932","N/D","OF-6","Air Secretary 2","Career management of the group captain cadre","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1072924","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"2098520","N/D","OF-6","Head Rapid Capabilities Office","To drive warfighters’ critical operational requirements through rapid and agile capability insertion and smart application of risk appetite and to explore opportunities through diverse and novel thinking, to solve legacy and emerging challenges","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1724778","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"2098560","Gapped","OF-6","TEMP DEP HEAD EAG","Direct and supervise all EAG activities in accordance with guidance from the Director EAG and EAG Steering Group.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1017733","0","1.00","N/A","N/A","","Military","South East","Post valid until 23 Jul 22","1.00"
"2108256","N/D","OF-6","Air Officer Battlespace Management","To generate and develop an adaptable and balanced Battlespace Management Force with the agility to play a key role in the delivery of air and space power.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1701019","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"2116079","N/D","OF-6","Programme Director Air Command Operating Model","To generate and develop the components of airpower to achieve precise effects across the spectrum of operations whenever and wherever required.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","2150603","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"2123206","N/D","OF-6","Head of Space Operations, Plans and Training","To protect & defence the UK & Allies' interests in, from & to Space, delivering decisive Space power and contributing to global security.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","2139857","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"2127590","N/D","OF-7","Chief of Staff Support","Chief of Staff Support focuses on capability development and delivery, policy, strategy and infrastructure in order to ensure that Support personnel can efficiently support the delivery of current and ongoing operations.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1071229","0","1.00","120000","124999","","Military","South East","nan","1.00"
"2127650","N/D","OF-6","Assistant Chief of Staff A4","To plan, develop and deliver sustainable engineering & logistic support and A4 Force Elements for operations in the UK and the expeditionary joint arena, including transformation, policy, manpower and commodities.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","2127590","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"2129518","N/D","OF-6","Support Force Commander and Air Officer Support.","To generate, sustain and develop the RAF support forces needed to succeed on current and future operations.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1701019","0","1.00","N/A","N/A","","Military","East of England","nan","1.00"
"2137336","N/D","OF-6","Assistant Chief of Staff Infra","To support ACOS A4 to plan, develop and deliver sustainable engineering & logistic support and A4 Force Elements for operations in the UK and the expeditionary joint arena, including transformation, policy, manpower and commodities.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","2127590","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"2139857","Godfrey, Paul (Paul), Air Vice Marshal","OF-7","Commander UK Space Command","To protect and defend the UK and Allies' interests in, from and to space, delivering decisive space power, enabling freedom of action and contributing to global security.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","2150603","0","1.00","120000","124999","","Military","South East","nan","1.00"
"2146876","N/D","OF-6","Director Ground Training","Deputy to AOC 22 Group and responsible for the delivery of training, including timeliness, content and quality.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1071072","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"2150160","N/D","OF-7","Assistant Chief of Air Staff Strategy","TO PROVIDE ADVICE TO CAS & OTHER MEMBERS OF AFB & AFBSC ON ALL MATTERS OF DEFENCE & RAF POLICY.  TO LEAD RAF'S CONTRIBUTION TO RAF PLANNING","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1017733","0","1.00","120000","124999","","Military","London","nan","1.00"
"2150327","N/D","OF-6","Head Air Staff","Assists in generating a balanced and integrated Royal Air Force capability and for maintaining the fighting effectiveness and morale of the Service including the development of policy.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","2150160","0","1.00","N/A","N/A","","Military","London","nan","1.00"
"2150603","Mayhew, Gerard (Gerry), Air Marshal","OF-8","Deputy Commander Operations and Air Member for Operations","DCom Ops is the RAF's senior warfighter and is responsible for generating agile, interoperable and capable warfighters who understand and deliver Air Power in order to meet the challenges of our standing and contingency commitments, both at home and overseas.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1017733","0","1.00","160000","164999","","Military","South East","nan","1.00"
"2156760","N/D","OF-6","Assistant Chief Of Staff RAF DIGITAL","Command the A6 Force, including RAF High Wycombe, whilst developing A6 strategy and plans, maintaining oversight of CIS & Cyber engineering policy.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1017733","0","1.00","N/A","N/A","","Military","South East","nan","1.00"
"30000041","Mustafa, Arif, Mr","SCS2","Chief (Digital) Information Officer","Responsible for ensuring all RAF digital services support our outputs now, and in the future.","Ministry of Defence","Ministry of Defence","Air","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1017733","0","1.00","125000","129999","","Digital, Data and Technology Professions","South East","nan","1.00"
