TradingName,Address1,Address2,Address3,Address4,Address5,PostCode,HasCows,HasSheep,HasGoats,HasBuffalo,DateOfVisit,ComplianceRating
T/A: G & A ADDERSON,LODGE FARM,NORTH CRAWLEY,,NEWPORT PAGNELL,MILTON KEYNES,MK16 9HP,YES,,,,2018-10-09,GOOD
T/A: BARKERS FARM,NORTH HILL FARM,AYLESBURY ROAD,WINSLOW,BUCKINGHAM,BUCKINGHAMSHIRE,MK18 3LF,YES,,,,2018-06-07,GOOD
F S STURROCK & SONS,HOME FARM,ELWICK,,WEST HARTLEPOOL,CLEVELAND,TS27 3EF,YES,,,,2018-09-05,GOOD
T/A: D & S A BODEN,ADDASHAW FARM,JACK LANE,BOSTOCK,MIDDLEWICH,CHESHIRE,CW10 9JQ,YES,,,,2018-06-20,GOOD
MR R C HOLLINSHEAD,HOOLGRAVE MANOR,MINSHULL VERNON,,CREWE,CHESHIRE,CW1 4RQ,YES,,,,2018-06-13,GENERALLY SATISFACTORY
T/A: T M WOODCOCK AND PARTNERS,HOME FARM,MARBURY ROAD,COMBERBACH,NORTHWICH,CHESHIRE,CW9 6AU,YES,,,,2018-07-27,GOOD
"R J, B C & N W J MONIES",TREMEDDA,ZENNOR,,ST IVES,CORNWALL,TR26 3BS,YES,,,,2018-10-19,GOOD
MESSRS HUGHES,SEAVILLE FARM,SEAVILLE,SILLOTH,WIGTON,CUMBRIA,CA7 4PT,YES,,,,2018-06-15,GOOD
E & D E HORN,SLACK HOUSE FARM,GILSLAND,,BRAMPTON,CUMBRIA,CA8 7DB,YES,,,,2018-05-21,GENERALLY SATISFACTORY
J D HETHERINGTON & SONS,BLUE DIAL FARM,ALLONBY,,MARYPORT,CUMBRIA,CA15 6PB,YES,,,,2018-09-28,GOOD
M/S J J & M A PARK & SON,LOW SIZERGH FARM,HELSINGTON,,KENDAL,CUMBRIA,LA8 8AE,YES,,,,2018-10-01,GOOD
A & A M BURROW,WHINYEATS FARM,HUTTON ROOF,,CARNFORTH,LANCASHIRE,LA6 2PJ,YES,,,,2018-08-13,GOOD
AE & E GARNETT LTD,MANOR FARM,,,BROUGHTON IN FURNESS,CUMBRIA,LA20 6AB,YES,,,,2018-08-13,GOOD
R C DILKS,HOME FARM,HASSOP,,BAKEWELL,DERBYSHIRE,DE45 1NU,YES,,,,2018-07-18,GOOD
D & C GIBSON,BELTONVILLE FARM,MILLERS DALE,,BUXTON,DERBYSHIRE,SK17 8SS,YES,,,,2018-09-21,GOOD
G D & M RODGERS & SONS,MANOR FARM,MANOR ROAD,BRIMINGTON,CHESTERFIELD,DERBYSHIRE,S43 1NP,YES,,,,2018-09-19,GOOD
R & K F DUMELOW,GABLES FARM,CALKE,,ASHBY DE LA ZOUCH,LEICESTERSHIRE,LE65 1RR,YES,,,,2018-09-05,GOOD
D K & M J & N PARRIS,ALLER FARM,STOCKLAND,,HONITON,DEVON,EX14 9EQ,YES,,,,2018-06-27,GOOD
JANVIL DAIRY GOATS,MOONSTONES FARM,UPOTTERY,,HONITON,DEVON,EX14 9RA,,,YES,,2018-09-19,GOOD
M R & K M PRING,CRABHAYES FARM,BROADCLYST,,EXETER,DEVON,EX5 3BN,YES,,,,2018-08-22,GOOD
T M GARRY,MODBURY FARM,BURTON BRADSTOCK,,BRIDPORT,DORSET,DT6 4NE,YES,,,,2018-04-05,GOOD
T/A: MEGGY MOO?S LIMITED,PARK FARM,SHROTON,,BLANDFORD FORUM,DORSET,DT11 8TP,YES,,,,2018-03-29,GOOD
DIANA M MORGAN AND THOMAS J DUNNING,MIDDLE FARM,MANSTON,,STURMINSTER NEWTON,DORSET,DT10 1EX,YES,,,,2018-09-05,GOOD
BOYDELLS DAIRY FARM,BOYDELLS DAIRY FARM,WETHERSFIELD,,BRAINTREE,ESSEX,CM7 4AQ,,YES,,,2018-10-29,GOOD
MR A W & MRS J KING,WHARF FARM DAIRY,CAMBRIDGE,,GLOUCESTER,GLOUCESTERSHIRE,GL2 7AL,,,YES,,2018-08-23,GOOD
BLACKBURN & HAYNES,MEADOW COTTAGE,CHURT ROAD,HEADLEY,LOWER HEARN,HAMPSHIRE,GU35 8SS,YES,,,,2018-07-30,GOOD
A H BROWN (HAYLING ISLAND) LTD,NORTHNEY FARM,HAYLING ISLAND,ST PETER'S ROAD,HAVANT,HAMPSHIRE,PO11 0RX,YES,,,,2018-01-05,GOOD
MR MARK STEVENS,PEAKE HOUSE FARM,COLE HENLEY,,WHITCHURCH,HAMPSHIRE,RG28 7QJ,YES,,,,2018-10-24,GOOD
BEACONHILL FARM,BEACON HILL FARM,NASHEND LANE,BOSBURY,LEDBURY,HEREFORDSHIRE,HR8 1JY,YES,,,,2018-10-12,GOOD
T/A: CARPENTERS HILL FARM,CARPENTERS HILL FARM,CARPENTERS HILL LANE,BEOLEY,REDDITCH,WORCESTERSHIRE,B98 9BS,YES,,,,2018-09-26,GENERALLY SATISFACTORY
B & J HILSDON,RUMBLERS FARM,POTTON END HILL,WATER END,HEMEL HEMPSTEAD,HERTFORDSHIRE,HP1 3BN,YES,,,,2018-09-05,GOOD
JENNIFER M DAW & BARRY A DAW,AMWELL PLACE FARM,HERTFORD HEATH,,HERTFORD,HERTFORDSHIRE,SG13 7RZ,YES,,,,2018-07-19,GOOD
LITTLE ACRES GOAT PRODUCTS,LITTLE ACRES,TESTON ROAD,WATERINGBURY,MAIDSTONE,KENT,ME18 5BG,,,YES,,2018-05-29,GOOD
W F FARMS,OTTINGE COURT FARM,ELHAM,,CANTERBURY,KENT,CT4 6XH,YES,,,,2018-10-16,GOOD
A L BETTS LTD,PLATT HOUSE FARM,FAIRSEAT LANE,WROTHAM,SEVENOAKS,KENT,TN15 7QB,YES,,,,2018-09-26,GENERALLY SATISFACTORY
STEPHEN FURNIVAL,HONEYCHILD FARM,ST MARY IN THE MARSH,,ROMNEY MARSH,KENT,TN29 0DB,YES,,,,2018-10-16,GOOD
T/A: EDGAR AND SON,PARK FARM,BRASTED,,SEVENOAKS,KENT,TN16 1LL,YES,,,,2018-10-24,GOOD
DP & SJ BERRY,BOGGART HOUSE FARM,STATION LANE,BARTON,PRESTON,LANCASHIRE,PR3 5DY,YES,,,,2018-09-05,GOOD
THOMAS PARKINSON,CLIFTONS FARM,SILK MILL LANE,GOOSNARGH,PRESTON,LANCASHIRE,PR3 2LP,YES,,,,2018-05-17,GENERALLY SATISFACTORY
T/A: JH & PJ TURNER,CROASDALE FARM,LANGHO,,BLACKBURN,LANCASHIRE,BB6 8DQ,YES,,,,2018-07-18,GOOD
