Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,Description of Goods (Purpose of expenditure look up),Service/Department   (SAP Hierarchy Position),Expense Area (cost centre desc),Net Order Value Over £5000.00 (line item value shown here),GL Code,Cost Centre/WBS
06/07/2020,ZAV679939,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,"5,220.00",402001,13001
06/07/2020,ZAV679940,1,3655,Exertis Micro-P,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,"2,807.88",400105,13001
06/07/2020,ZAV679940,2,3655,Exertis Micro-P,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,"10,479.60",400105,13001
09/07/2020,ZAV680153,1,3655,Exertis Micro-P,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,211.99,400105,13001
09/07/2020,ZAV680153,2,3655,Exertis Micro-P,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,"8,093.34",400105,13001
17/07/2020,ZAV680387,1,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,"15,200.00",402001,13001
17/07/2020,ZAV680387,2,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,"1,700.00",402001,13001
17/07/2020,ZAV680387,3,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,500.00,402001,13001
17/07/2020,ZAV680387,4,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,140.00,402001,13001
17/07/2020,ZAV680392,1,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,510.00,402001,13001
17/07/2020,ZAV680392,2,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,"5,250.00",402001,13001
17/07/2020,ZAV680392,3,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,450.00,402001,13001
17/07/2020,ZAV680392,4,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,150.00,402001,13001
28/07/2020,ZAV680727,1,1162,RM Education plc,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,IT AVA Service,"24,060.84",400110,11417
28/07/2020,ZAV680727,2,1162,RM Education plc,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,IT AVA Service,12.00,400110,11417
28/07/2020,ZAV680781,1,12402,VeryPC Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,"5,655.00",400110,13001
28/07/2020,ZAV680783,1,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,"2,040.00",402001,13001
28/07/2020,ZAV680783,2,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,"21,000.00",402001,13001
28/07/2020,ZAV680783,3,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,"1,800.00",402001,13001
28/07/2020,ZAV680783,4,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,600.00,402001,13001
28/07/2020,ZAV680783,5,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,"3,300.00",402001,13001
30/07/2020,ZAV680837,1,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,"9,596.00",400105,13001
30/07/2020,ZAV680837,2,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,436.00,400105,13001
30/07/2020,ZAV680837,3,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,396.00,400105,13001
30/07/2020,ZAV680837,4,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,100.00,400105,13001
