Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Document Total 
Department of Health,East Sussex Healthcare NHS Trust,02/10/2023,GENERAL RATES,Commercial,HASTINGS BOROUGH COUNCIL,1828146,106496,"106,496.00"
Department of Health,East Sussex Healthcare NHS Trust,02/10/2023,GENERAL RATES,Commercial,EASTBOURNE BOROUGH COUNCIL,1828149,125440,"125,440.00"
Department of Health,East Sussex Healthcare NHS Trust,04/10/2023,APPRENTICESHIP LEVY,Corporate Services,LIAISON FINANCIAL SERVICES LTD,1828144,1451,"73,307.54"
Department of Health,East Sussex Healthcare NHS Trust,04/10/2023,PROFESSIONAL FEES,Corporate Services,LIAISON FINANCIAL SERVICES LTD,1828144,2970.1,"73,307.54"
Department of Health,East Sussex Healthcare NHS Trust,04/10/2023,AGENCY DIRECT ENGAGEMENT,Other Central,LIAISON FINANCIAL SERVICES LTD,1828144,68292.42,"73,307.54"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,SR NHS SBS,Corporate Services,NHS SHARED BUSINESS SERVICES,159439,31814.96,"38,177.95"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,BLOOD PRODUCTS - NBS ST CONTRA,Integrated Care,NHS BLOOD AND TRANSPLANT (NHSBT),159458,57258.68,"57,258.68"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,BLOOD PRODUCTS - NBS ST CONTRA,Integrated Care,NHS BLOOD AND TRANSPLANT (NHSBT),159459,72468.21,"72,468.21"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,159471,187422.62,"187,422.62"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,159472,240541.27,"240,541.27"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,SR EAST SUSSEX COUNTY COUNCIL,Corporate Services,EAST SUSSEX COUNTY COUNCIL,159500,157500,"157,500.00"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,ELECTRICITY,Commercial,EDF ENERGY,1498485,252614.64,"252,614.64"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,ELECTRICITY,Commercial,EDF ENERGY,1498488,-443770.89,"-443,770.89"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,ELECTRICITY,Commercial,EDF ENERGY,1499381,49633.11,"49,633.11"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,PROFESSIONAL FEES,Integrated Care,DIAGNEXIA UK LTD,1499497,30042.26,"30,042.26"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,ELECTRICITY,Commercial,EDF ENERGY,1499571,833752.59,"833,752.59"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,CAPITAL EXPEND BUILDINGS,Other Central,PD HARRIS LTD,1499670,79698.86,"79,698.86"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,TRAINING COURSE FEES-OTHER,Corporate Services,UNIVERSITY OF BRIGHTON,1499716,90000,"90,000.00"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,CAPITAL EXPEND BUILDINGS,Other Central,PD HARRIS LTD,1499722,5465.29,"27,444.62"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,CAPITAL EXPEND BUILDINGS,Other Central,PD HARRIS LTD,1499722,6498.35,"27,444.62"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,CAPITAL EXPEND BUILDINGS,Other Central,PD HARRIS LTD,1499722,15480.98,"27,444.62"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,CAPITAL EXPEND BUILDINGS,Other Central,GM MONK LTD,1499834,65812.16,"65,812.16"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,CAPITAL EXPEND BUILDINGS,Other Central,EASTBOURNE ELECTRICAL LLP,1499866,90905.22,"90,905.22"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,STOCK-ASCRIBE EDGH,Pharmacy Stock,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,1768409,29282.18,"29,282.18"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,STOCK-ASCRIBE EDGH,Pharmacy Stock,NOVARTIS PHARMACEUTICALS UK LTD,13149376,26012.54,"26,012.54"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,STOCK-ASCRIBE EDGH,Pharmacy Stock,ALLOGA UK LTD,13149386,27000,"27,000.00"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,STOCK-ASCRIBE EDGH,Pharmacy Stock,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,13149641,32931.99,"32,931.99"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,CONTINENCE PRODUCTS,Integrated Care,PAUL HARTMANN LTD,26099969,53136.52,"53,136.52"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,CONTINENCE PRODUCTS,Integrated Care,PAUL HARTMANN LTD,26103284,62206.32,"62,206.32"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,CONTINENCE PRODUCTS,Integrated Care,PAUL HARTMANN LTD,26105155,49475.72,"49,475.72"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,PROFESSIONAL FEES,Commercial,SALISBURY TRADING LIMITED,26108843,154550.74,"185,460.89"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,COMPUTER SOFTWARE,Corporate Services,SOFTCAT PLC,26110024,59856,"59,856.00"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,CAPITAL EXPEND PLANT&MACHINERY,Other Central,DIRECT HEALTHCARE GROUP LTD,26111070,34560,"34,560.00"
Department of Health,East Sussex Healthcare NHS Trust,05/10/2023,CAPITAL EXPEND PLANT&MACHINERY,Other Central,OLYMPUS KEYMED,26111165,94122.14,"94,122.14"
Department of Health,East Sussex Healthcare NHS Trust,10/10/2023,PURCHASING CARDS,Cross Site,LLOYDS TSB CORPORATE MARKETS,1828161,111966.17,"111,966.17"
Department of Health,East Sussex Healthcare NHS Trust,11/10/2023,PROFESSIONAL FEES,Corporate Services,LIAISON FINANCIAL SERVICES LTD,1828145,3132.44,"76,606.04"
Department of Health,East Sussex Healthcare NHS Trust,11/10/2023,AGENCY DIRECT ENGAGEMENT,Other Central,LIAISON FINANCIAL SERVICES LTD,1828145,72847.11,"76,606.04"
Department of Health,East Sussex Healthcare NHS Trust,12/10/2023,SLA NHS PROPERTY SERVICES,Commercial,NHS PROPERTY SERVICES LTD,159147,47030.33,"47,030.33"
Department of Health,East Sussex Healthcare NHS Trust,12/10/2023,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,159511,206379.65,"206,379.65"
Department of Health,East Sussex Healthcare NHS Trust,12/10/2023,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,159512,357839.52,"357,839.52"
Department of Health,East Sussex Healthcare NHS Trust,12/10/2023,CAPITAL EXPEND BUILDINGS,Other Central,EASTBOURNE ELECTRICAL LLP,1499889,55338.95,"55,338.95"
Department of Health,East Sussex Healthcare NHS Trust,12/10/2023,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BATH ASU,12096966,36067.18,"36,067.18"
Department of Health,East Sussex Healthcare NHS Trust,12/10/2023,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BATH ASU,12096967,26750.9,"26,750.90"
Department of Health,East Sussex Healthcare NHS Trust,12/10/2023,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,12097009,49290.23,"49,290.23"
Department of Health,East Sussex Healthcare NHS Trust,12/10/2023,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BATH ASU,12097046,38189.81,"38,189.81"
Department of Health,East Sussex Healthcare NHS Trust,12/10/2023,STOCK-ASCRIBE EDGH,Pharmacy Stock,BIOTEST (UK) LTD,13149746,27528,"27,528.00"
Department of Health,East Sussex Healthcare NHS Trust,12/10/2023,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,SEQIRUS UK LTD,26108755,45506.88,"45,506.88"
Department of Health,East Sussex Healthcare NHS Trust,12/10/2023,COMPUTER MAINT - SOFTWARE,Corporate Services,ALLSCRIPTS HEALTHCARE (IT) UK LTD,26110759,73850.96,"88,621.15"
Department of Health,East Sussex Healthcare NHS Trust,12/10/2023,CONTRACT - MANAGEMENT FEE,Integrated Care,ROCHE DIAGNOSTICS LTD,26111673,359094,"430,912.80"
Department of Health,East Sussex Healthcare NHS Trust,12/10/2023,CONTRACT-SCANNING SERVICE,Integrated Care,INHEALTH LIMITED,26111758,175728.47,"210,874.16"
Department of Health,East Sussex Healthcare NHS Trust,16/10/2023,NHSLA-CNST INSURANCE,Corporate Services,NHS RESOLUTION,1828156,1515214.2,"1,545,267.00"
Department of Health,East Sussex Healthcare NHS Trust,16/10/2023,OTHER INSURANCE NOT PROP/VHCL,Corporate Services,NHS RESOLUTION,1828156,30052.8,"1,545,267.00"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,ICS BUDGET CONTRIBUTION 97R,Corporate Services,NHS SUSSEX ICB,159394,101235,"101,235.00"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,GENERAL RATES,Commercial,NHS PROPERTY SERVICES LTD,159556,10388.54,"57,901.73"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,CAP EXP LEASED BUILDINGS,Other Central,NHS PROPERTY SERVICES LTD,159556,47513.19,"57,901.73"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,GENERAL RATES,Commercial,NHS PROPERTY SERVICES LTD,159557,4532.78,"32,566.57"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,CAP EXP LEASED BUILDINGS,Other Central,NHS PROPERTY SERVICES LTD,159557,28033.79,"32,566.57"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,159560,163076.38,"163,076.38"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,PROVISIONS - STEAMPLICITY,Commercial,THE CUISINE CENTRE,1562165,47725.52,"47,725.52"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,PROVISIONS - STEAMPLICITY,Commercial,THE CUISINE CENTRE,1562167,44065.94,"44,065.94"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,CAPITAL EXPEND BUILDINGS,Other Central,EASTBOURNE ELECTRICAL LLP,1828195,25190.76,"25,190.76"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,PROFESSIONAL FEES,Corporate Services,LIAISON FINANCIAL SERVICES LTD,1828316,3623.55,"88,553.08"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,AGENCY DIRECT ENGAGEMENT,Other Central,LIAISON FINANCIAL SERVICES LTD,1828316,84204.82,"88,553.08"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,QUANTUM PHARMACEUTICAL LIMITED,12097081,29798.52,"29,798.52"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BAYER PLC,12097085,91245.6,"91,245.60"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,ROCHE PRODUCTS LTD,12097210,45600,"45,600.00"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,ROCHE PRODUCTS LTD,12097259,39816,"39,816.00"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,STOCK-ASCRIBE EDGH,Pharmacy Stock,CSL BEHRING,13149533,79092,"79,092.00"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,STOCK-ASCRIBE EDGH,Pharmacy Stock,OCTAPHARMA LTD,13149754,28290,"28,290.00"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,STOCK-ASCRIBE EDGH,Pharmacy Stock,CSL BEHRING,13149849,62614.5,"62,614.50"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,CONT.MAIN-MED & SURG EQUIP,Integrated Care,CIS ONCOLOGY,26107917,31755.7,"31,755.70"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,SX COMMUNITY DERMATOLOGY SERV,Integrated Care,SUSSEX COMMUNITY DERMATOLOGY SERVICE,26110606,140030,"141,693.27"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,CONTRACTED-OUT H.CARE SERVICES,Integrated Care,SUSSEX COMMUNITY DERMATOLOGY SERVICE,26110606,1663.27,"141,693.27"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,CAPITAL EXPEND I.T.,Other Central,DELL CORPORATION LTD,26110920,41109,"41,109.00"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,CAPITAL EXPEND I.T.,Other Central,DELL CORPORATION LTD,26110921,39300,"39,300.00"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,CAPITAL EXPEND I.T.,Other Central,DELL CORPORATION LTD,26110923,41109,"41,109.00"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,CAPITAL EXPEND I.T.,Other Central,DELL CORPORATION LTD,26110961,39300,"39,300.00"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,GENERAL LABORATORY EQUIPMENT,Integrated Care,X-LAB LIMITED,26111357,27000,"27,000.00"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,CAPITAL EXPEND I.T.,Other Central,BALLICOM INTERNATIONAL,26112142,29160,"87,480.00"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,CAPITAL EXPEND I.T.,Other Central,BALLICOM INTERNATIONAL,26112142,58320,"87,480.00"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,SCANNING FEES,Integrated Care,HUGH SYMONS INFO MANAGEMENT LTD,26112162,27881.3,"33,457.56"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,SLA NHS PROPERTY SERVICES,Commercial,NHS PROPERTY SERVICES LTD,26112216,28320.92,"28,320.92"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,SLA NHS PROPERTY SERVICES,Commercial,NHS PROPERTY SERVICES LTD,26112221,47606.16,"47,606.16"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,COMPUTER SOFTWARE,Corporate Services,INSIGHT DIRECT (UK) LTD,26112248,621046.99,"621,046.99"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,CONTRACT-SECURITY,Commercial,CONTINENTAL FACILITIES MANAGEMENT GROUP,26112298,23714.5,"28,457.40"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,CONTRACT-SECURITY,Commercial,CONTINENTAL FACILITIES MANAGEMENT GROUP,26112316,59414.04,"71,296.85"
Department of Health,East Sussex Healthcare NHS Trust,18/10/2023,CAPITAL EXPEND BUILDINGS,Other Central,SMS (SOUTHERN) LTD,26112528,36511.12,"36,511.12"
Department of Health,East Sussex Healthcare NHS Trust,25/10/2023,PROFESSIONAL FEES,Corporate Services,LIAISON FINANCIAL SERVICES LTD,1828391,2858.91,"69,458.99"
Department of Health,East Sussex Healthcare NHS Trust,25/10/2023,AGENCY DIRECT ENGAGEMENT,Other Central,LIAISON FINANCIAL SERVICES LTD,1828391,66028.3,"69,458.99"
Department of Health,East Sussex Healthcare NHS Trust,26/10/2023,SLA NHS PROPERTY SERVICES,Commercial,NHS PROPERTY SERVICES LTD,159247,-26942.41,"-26,942.41"
Department of Health,East Sussex Healthcare NHS Trust,26/10/2023,SLA NHS PROPERTY SERVICES,Commercial,NHS PROPERTY SERVICES LTD,159533,44380.28,"44,380.28"
Department of Health,East Sussex Healthcare NHS Trust,26/10/2023,CAP EXP LEASED BUILDINGS,Other Central,NHS PROPERTY SERVICES LTD,159541,27386.72,"27,386.72"
Department of Health,East Sussex Healthcare NHS Trust,26/10/2023, PROVISIONS - UTILISED IN YEAR,Other Central,NHS BUSINESS SERVS AUTH (INJ BEN SCHEME),159543,51137.58,"51,137.58"
Department of Health,East Sussex Healthcare NHS Trust,26/10/2023,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,159561,336439.72,"336,439.72"
Department of Health,East Sussex Healthcare NHS Trust,26/10/2023,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,159588,245819.41,"245,819.41"
Department of Health,East Sussex Healthcare NHS Trust,26/10/2023,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,159589,202991.58,"202,991.58"
Department of Health,East Sussex Healthcare NHS Trust,26/10/2023,CARBON & ENERGY FUND,Commercial,LOW CARBON SOLUTIONS LTD(PRUDENTIAL TRUS,1499929,109845.53,"109,845.53"
Department of Health,East Sussex Healthcare NHS Trust,26/10/2023,CAPITAL EXPEND BUILDINGS,Other Central,PD HARRIS LTD,1828323,55520.23,"55,520.23"
Department of Health,East Sussex Healthcare NHS Trust,26/10/2023,BUILDING MATERIALS,Commercial,PD HARRIS LTD,1828329,21559.92,"25,871.90"
Department of Health,East Sussex Healthcare NHS Trust,26/10/2023,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,ROCHE PRODUCTS LTD,12097561,45600,"45,600.00"
Department of Health,East Sussex Healthcare NHS Trust,26/10/2023,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BAYER PLC,12097594,91245.6,"91,245.60"
Department of Health,East Sussex Healthcare NHS Trust,26/10/2023,STOCK-ASCRIBE EDGH,Pharmacy Stock,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,13149920,38690.41,"38,690.41"
Department of Health,East Sussex Healthcare NHS Trust,26/10/2023,STOCK-ASCRIBE EDGH,Pharmacy Stock,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,13149930,30272.96,"30,272.96"
Department of Health,East Sussex Healthcare NHS Trust,26/10/2023,SLA NHS PROPERTY SERVICES,Commercial,NHS PROPERTY SERVICES LTD,26112220,78785.68,"78,785.68"
Department of Health,East Sussex Healthcare NHS Trust,26/10/2023,COMPUTER SOFTWARE,Corporate Services,THE PHOENIX PARTNERSHIP (TPP),26112363,76521.76,"91,826.11"
Department of Health,East Sussex Healthcare NHS Trust,26/10/2023,WATER-RATES & METERED,Commercial,SMARTA WATER LIMITED,26113439,107049.31,"107,049.31"
Department of Health,East Sussex Healthcare NHS Trust,26/10/2023,WATER-RATES & METERED,Commercial,SMARTA WATER LIMITED,26113441,50890.66,"50,890.66"
Department of Health,East Sussex Healthcare NHS Trust,26/10/2023,WATER-RATES & METERED,Commercial,SMARTA WATER LIMITED,26113443,62380.94,"62,380.94"
Department of Health,East Sussex Healthcare NHS Trust,26/10/2023,WATER-RATES & METERED,Commercial,SMARTA WATER LIMITED,26113445,54557.31,"54,557.31"
