"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"1926203","Gen Sir Patrick Sanders","OF-9","Commander Strategic Command","To bring coherence to the delivery of joint effect by managing, delivering and championing joint capabilities to support success of military operations today, tomorrow and in the future.","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","XX","721114488","1.00","190000","194999","","Military","London","nan","1"
"2092309","Lt Gen Robert Magowan","OF-8","Deputy Commander Strategic Command","Responsible for leading multi-domain integration, developing and delivering the command plan, leading health, safety and environmental protection activity and representing the Command's interests in the Defence People Programme.","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","1926203","0","1.00","145000","149999","","Military","London","nan","1"
"256733","N/D","SCS1","Strategic Command HQ Chief of Staff","Responsible for all matters relating to the successful operation of Strategic Command headquarters.","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","2092309","0","1.00","N/A","N/A","","Operational Delivery Profession","London","nan","1"
"1926186","AVM Justin Reuter","OF-7","Director Strategy","Coordinates the outputs of the organisation and acts as TLB focus for the Permanent Joint Operating Bases and as the Senior Security Risk Manager, representing Strategic Command at the Defence Environment and Safety Board.","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","1926203","0","1.00","120000","124999","","Military","London","nan","1"
"2113495","N/D","OF-6","Head of Infrastructure","To deliver, develop and maintain the modern infrastructure needed to support the current and future basing requirements of Joint Forces Command.","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","1926186","0","1.00","N/A","N/A","","Military","London","nan","1"
"94472","Matt Armstrong","SCS2","Director Resources and Policy","Provides TLB functionality to the organisation, acts as Senior Finance Officer, Senior Policy Advisor and Senior Civilian Workforce Advisor; personally responsible for the specific delegations from Director General Finance.","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","1926203","0","1.00","90000","94999","","Government Finance Profession","London","nan","1"
"171528","N/D","SCS1","Deputy Director HR","Responsible for all military and civilian workforce matters in Strategic Command on behalf of Director Resources and Policy, including policy, strategy, change, workforce planning and associated efficiencies.","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","94472","0","1.00","N/A","N/A","","Human Resources Profession","London","nan","1"
"197554","N/D","SCS1","Deputy Director Resources","Responsible for management of the Strategic Command operating budget on a day-to-day basis, including in-year management and reporting as well as long-tem planning.  Portfolio Manager for the Joint Enabler Portfolio, with responsibility for monitoring and advising on Portfolio progress and providing decision support to the Portfolio Direction Group.","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","94472","0","1.00","N/A","N/A","","Government Finance Profession","London","nan","1"
"240226","N/D","SCS1","Deputy Director Implementation","Responsible for delivering the Strategic Command Operating Model.","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","94472","0","1.00","N/A","N/A","","Operational Delivery Profession","London","nan","1"
"1719611","Maj Gen Robin Anderton-Brown","OF-7","Director Capability","Responsible for delivering a balanced, coherent, taut and realistic Joint Capability Strategy and, with Director Resources & Policy, for delivering a balanced, coherent, taut and realistic Joint Capability Portfolio.","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","1926203","0","1.00","120000","124999","","Military","London","nan","1"
