,,,,,,,,,,
Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Net Amount,VAT Amount,Gross Amount,Description
Defra,Forestry England,09/05/2024,"Buildings, Services, Utilities",Business Services-Finance,Advanced Business Software And Solutions Abss,336705,38249.38,7649.86,45899.24,Hosting Charges
Defra,Forestry England,09/05/2024,"Buildings, Services, Utilities",Business Services-Finance,Advanced Business Software And Solutions Abss,336705,29455.08,5891.00,35346.08,Software As A Service
Defra,Forestry England,31/05/2024,Fleet And Machinery Costs,Mechanical And Engineering-Bellingham,Allstar Business Solutions Ltd,337915,30.46,6.09,36.55,Vehicle Parts And Spares
Defra,Forestry England,31/05/2024,Fleet And Machinery Costs,Mechanical And Engineering-Lyndhurst,Allstar Business Solutions Ltd,337915,51.65,10.33,61.98,Vehicle Parts And Spares
Defra,Forestry England,31/05/2024,Fleet And Machinery Costs,Mechanical And Engineering-Mes Overhead,Allstar Business Solutions Ltd,337915,42082.68,8415.95,50498.63,Derv
Defra,Forestry England,31/05/2024,Fleet And Machinery Costs,Mechanical And Engineering-Mes Overhead,Allstar Business Solutions Ltd,337915,895.95,179.19,1075.14,Other Fleet Services And Fees
Defra,Forestry England,31/05/2024,Fleet And Machinery Costs,Mechanical And Engineering-Mes Overhead,Allstar Business Solutions Ltd,337915,2216.95,443.32,2660.27,Petrol
Defra,Forestry England,31/05/2024,Fleet And Machinery Costs,Mechanical And Engineering-Mes Overhead,Allstar Business Solutions Ltd,337915,13.11,2.62,15.73,Vehicle Electricity
Defra,Forestry England,31/05/2024,Fleet And Machinery Costs,Mechanical And Engineering-Santon Downham,Allstar Business Solutions Ltd,337915,94.56,18.90,113.46,Vehicle Parts And Spares
Defra,Forestry England,02/05/2024,Assets Under Construction,North-Project Development - North,Ashbrook Construction Services Ltd,336167,47699.96,9539.99,57239.95,Auc Additions
Defra,Forestry England,30/05/2024,Assets Under Construction,North-Project Development - North,Ashbrook Construction Services Ltd,339346,93658.26,18731.65,112389.91,Auc Additions
Defra,Forestry England,07/05/2024,Civil Engineering,West-Civil Engineering South,B&J Locke Ltd,336138,25110.90,5022.18,30133.08,Aggregate: Maintenance/Repairs
Defra,Forestry England,07/05/2024,Civil Engineering,West-Civil Engineering South,B&J Locke Ltd,336138,31289.66,6257.93,37547.59,Multi-User Trail Construction
Defra,Forestry England,07/05/2024,Civil Engineering,West-North Devon,B&J Locke Ltd,336138,0.00,0.00,0.00,Multi-User Trail Construction
Defra,Forestry England,23/05/2024,Civil Engineering,West-Civil Engineering South,B&J Locke Ltd,339032,2506.90,501.38,3008.28,Aggregate: Maintenance/Repairs
Defra,Forestry England,23/05/2024,Civil Engineering,West-Civil Engineering South,B&J Locke Ltd,339032,18408.19,3681.64,22089.83,Multi-User Trail Maintenance
Defra,Forestry England,09/05/2024,Civil Engineering,"Plant, Seed  And Supply-Pss Projects",Cambridge Glasshouse Company Ltd,336691,265739.16,53147.83,318886.99,Other Ce Construction
Defra,Forestry England,21/05/2024,"Buildings, Services, Utilities",Operations Nt-Crm Project,Cgi It Uk Limited,338247,76366.49,15273.30,91639.79,It Implementation Services
Defra,Forestry England,07/05/2024,Civil Engineering,West-Civil Engineering North,Clixbys Forestry & Environment Contractors,336455,20917.50,4183.50,25101.00,Aggregate: Maintenance/Repairs
Defra,Forestry England,07/05/2024,Civil Engineering,West-Civil Engineering North,Clixbys Forestry & Environment Contractors,336455,37640.55,7528.12,45168.67,Mtb Trail Maintenance
Defra,Forestry England,07/05/2024,Civil Engineering,West-Civil Engineering North,Clixbys Forestry & Environment Contractors,336455,0.00,0.00,0.00,Road Maintenance
Defra,Forestry England,21/05/2024,Civil Engineering,Yorkshire-Civil Engineering,Clixbys Forestry & Environment Contractors,338266,32237.40,6447.48,38684.88,Aggregate: Construction
Defra,Forestry England,21/05/2024,Civil Engineering,Yorkshire-Civil Engineering,Clixbys Forestry & Environment Contractors,338266,592.00,118.40,710.40,Other Civil Engineering Goods
Defra,Forestry England,21/05/2024,Civil Engineering,Yorkshire-Civil Engineering,Clixbys Forestry & Environment Contractors,338266,2082.68,416.54,2499.22,"Pipes, Conduit And Ducting"
Defra,Forestry England,21/05/2024,Civil Engineering,Yorkshire-Civil Engineering,Clixbys Forestry & Environment Contractors,338266,14100.26,2820.05,16920.31,Road Construction
Defra,Forestry England,30/05/2024,Civil Engineering,West-Civil Engineering North,Clixbys Forestry & Environment Contractors,339561,13096.67,2619.33,15716.00,Aggregate: Maintenance/Repairs
Defra,Forestry England,30/05/2024,Civil Engineering,West-Civil Engineering North,Clixbys Forestry & Environment Contractors,339561,0.00,0.00,0.00,Harvesting Repairs
Defra,Forestry England,30/05/2024,Civil Engineering,West-Civil Engineering North,Clixbys Forestry & Environment Contractors,339561,13095.87,2619.18,15715.05,Road Maintenance
Defra,Forestry England,09/05/2024,Civil Engineering,East-Thetford Open Habitat,Coppard Plant Hire Ltd,336204,28900.00,5780.00,34680.00,Aggregate: Maintenance/Repairs
Defra,Forestry England,09/05/2024,Civil Engineering,East-Thetford Open Habitat,Coppard Plant Hire Ltd,336204,30634.38,6126.88,36761.26,Road Maintenance
Defra,Forestry England,09/05/2024,"Plants, Seeds And Treatments",East-Thetford Open Habitat,Coppard Plant Hire Ltd,336204,4677.20,935.44,5612.64,"Non-Timber Haulage, Distrib"
Defra,Forestry England,28/05/2024,Other Expenditure,West-Sr21 Biodiversity - West,Devon Wildlife Trust,339280,30000.00,0.00,30000.00,Grants To Other Bodies
Defra,Forestry England,21/05/2024,Harvesting And Forest Regen,North-Kershope And Spadeadam,Elliot Henderson Ltd Forestry,338329,28800.00,5760.00,34560.00,Dp Contracted Services
Defra,Forestry England,21/05/2024,Harvesting And Forest Regen,Central-Northants North,Even Forestry Ltd,338327,34963.73,6992.75,41956.48,Dp Contracted Services
Defra,Forestry England,23/05/2024,Harvesting And Forest Regen,East-Harvesting And Marketing,Even Forestry Ltd,339067,32598.57,6519.71,39118.28,Dp Contracted Services
Defra,Forestry England,02/05/2024,"Buildings, Services, Utilities",South-Chiddingfold,Greenzone Facilities Management Ltd,335802,1472.78,294.56,1767.34,Waste Management Services
Defra,Forestry England,02/05/2024,"Buildings, Services, Utilities",South-Fc Alice Holt,Greenzone Facilities Management Ltd,335802,2430.80,486.16,2916.96,Waste Management Services
Defra,Forestry England,02/05/2024,"Buildings, Services, Utilities",South-Fc Moors Valley,Greenzone Facilities Management Ltd,335802,2585.76,517.15,3102.91,Waste Management Services
Defra,Forestry England,02/05/2024,"Buildings, Services, Utilities",South-Fc West Walk,Greenzone Facilities Management Ltd,335802,499.36,99.87,599.23,Waste Management Services
Defra,Forestry England,02/05/2024,"Buildings, Services, Utilities",South-Forest Management,Greenzone Facilities Management Ltd,335802,1581.59,316.32,1897.91,Waste Management Services
Defra,Forestry England,02/05/2024,"Buildings, Services, Utilities",South-Micheldever,Greenzone Facilities Management Ltd,335802,49.96,9.99,59.95,Waste Management Services
Defra,Forestry England,02/05/2024,"Buildings, Services, Utilities",South-New Forest - North Walk,Greenzone Facilities Management Ltd,335802,84.93,16.99,101.92,Waste Management Services
Defra,Forestry England,02/05/2024,"Buildings, Services, Utilities",South-Rpa New Forest,Greenzone Facilities Management Ltd,335802,46406.44,9281.28,55687.72,Waste Management Services
Defra,Forestry England,02/05/2024,"Buildings, Services, Utilities",South-Rpa Other Beats,Greenzone Facilities Management Ltd,335802,4265.50,853.10,5118.60,Waste Management Services
Defra,Forestry England,02/05/2024,"Buildings, Services, Utilities",South-South District Office,Greenzone Facilities Management Ltd,335802,391.55,78.31,469.86,Waste Management Services
Defra,Forestry England,02/05/2024,"Buildings, Services, Utilities",South-South Downs,Greenzone Facilities Management Ltd,335802,360.80,72.16,432.96,Waste Management Services
Defra,Forestry England,02/05/2024,"Buildings, Services, Utilities",South-Wareham,Greenzone Facilities Management Ltd,335802,233.10,46.62,279.72,Waste Management Services
Defra,Forestry England,28/05/2024,Civil Engineering,West-Civil Engineering North,Groundrich Ltd,339286,10848.73,2169.75,13018.48,Aggregate: Maintenance/Repairs
Defra,Forestry England,28/05/2024,Civil Engineering,West-Civil Engineering North,Groundrich Ltd,339286,12215.41,2443.08,14658.49,Road Maintenance
Defra,Forestry England,09/05/2024,Civil Engineering,Central-Civil Engineering,Jointline Ltd,336815,5500.00,1100.00,6600.00,Multi-User Trail Maintenance
Defra,Forestry England,09/05/2024,Civil Engineering,Central-Project Development,Jointline Ltd,336815,21095.86,4219.17,25315.03,Multi-User Trail Maintenance
Defra,Forestry England,09/05/2024,Civil Engineering,Central-Project Development,Jointline Ltd,336815,690.06,138.02,828.08,Other Civil Engineering Goods
Defra,Forestry England,09/05/2024,Civil Engineering,Central-Project Development,Jointline Ltd,336815,23606.82,4721.36,28328.18,Tarmac
Defra,Forestry England,09/05/2024,Civil Engineering,Central-Project Development,Jointline Ltd,336815,334.91,66.98,401.89,Timber
Defra,Forestry England,16/05/2024,Other Payables,Customer Relations-Forest Live Overhead,Live Nation (Music) Uk Ltd T/A Cuffe & Taylor,337979,285989.70,0.00,285989.70,Partnership Forest Live
Defra,Forestry England,09/05/2024,Accruals C,Estates-Estates,Michelmores Llp,336646,3019.39,603.88,3623.27,Legal Services
Defra,Forestry England,09/05/2024,Professional Services,Estates-Estates,Michelmores Llp,336646,54583.71,10916.73,65500.44,Legal Services
Defra,Forestry England,09/05/2024,Professional Services,Human Resources-Human Resources,Michelmores Llp,336646,14290.41,2858.08,17148.49,Legal Services
Defra,Forestry England,09/05/2024,Civil Engineering,South-Civils,Mp & Km Golding Ltd,336523,30645.44,6129.09,36774.53,Aggregate: Maintenance/Repairs
Defra,Forestry England,28/05/2024,Civil Engineering,South-Civils,Mp & Km Golding Ltd,339330,18679.55,3735.91,22415.46,Aggregate: Maintenance/Repairs
Defra,Forestry England,28/05/2024,Civil Engineering,South-Civils,Mp & Km Golding Ltd,339330,428.00,85.60,513.60,"Pipes, Conduit And Ducting"
Defra,Forestry England,28/05/2024,Civil Engineering,South-Civils,Mp & Km Golding Ltd,339330,93175.72,18635.14,111810.86,Road Maintenance
Defra,Forestry England,09/05/2024,Other Expenditure,Estates-Estates,Nfu Mutual,337008,73105.21,0.00,73105.21,Insurance
Defra,Forestry England,09/05/2024,Other Expenditure,Operations Nt-Operations Nt,Nfu Mutual,336802,-73105.21,0.00,-73105.21,Insurance
Defra,Forestry England,30/05/2024,Other Expenditure,Estates-Estates,Nfu Mutual,339518,82182.97,0.00,82182.97,Insurance
Defra,Forestry England,07/05/2024,Harvesting And Forest Regen,East-Wing Wood,Pryor And Rickett Silviculture Limited,336428,23326.75,4665.35,27992.10,Beating Up Services
Defra,Forestry England,07/05/2024,Harvesting And Forest Regen,East-Wing Wood,Pryor And Rickett Silviculture Limited,336428,3311.75,662.35,3974.10,Landscape Maintenance Services
Defra,Forestry England,07/05/2024,Harvesting And Forest Regen,East-Wing Wood,Pryor And Rickett Silviculture Limited,336428,12232.14,2446.43,14678.57,New Planting Services
Defra,Forestry England,07/05/2024,Harvesting And Forest Regen,Operations Nt-Wing Wood,Pryor And Rickett Silviculture Limited,336428,0.00,0.00,0.00,Beating Up Services
Defra,Forestry England,07/05/2024,Harvesting And Forest Regen,Operations Nt-Wing Wood,Pryor And Rickett Silviculture Limited,336428,-0.01,0.00,-0.01,New Planting Services
Defra,Forestry England,07/05/2024,Harvesting And Forest Regen,Operations Nt-Wing Wood,Pryor And Rickett Silviculture Limited,336428,0.00,0.00,0.00,Vegetation Control And Mgmt
Defra,Forestry England,31/05/2024,Other Payables,Customer Relations-Christmas Lights Events,Raymond Gubbay Limited,337959,28062.50,0.00,28062.50,Partnership Ex. Forest Live
Defra,Forestry England,31/05/2024,Other Payables,Customer Relations-Christmas Lights Events,Raymond Gubbay Limited,337983,86429.50,0.00,86429.50,Partnership Ex. Forest Live
Defra,Forestry England,23/05/2024,Accruals C,Unallocatable Costs-Unallocatable Costs,Redfern,338466,2946.31,0.38,2946.69,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Business Services-Commercial Services,Redfern,338466,-82.80,0.00,-82.80,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Business Services-Finance,Redfern,338466,249.82,0.00,249.82,Hotels And Accommodation
