Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,Description of Goods (Purpose of expenditure look up),Service/Department   (SAP Hierarchy Position),Expense Area (cost centre desc), Net Order Value Over £5000.00 (line item value shown here) ,GL Code,Cost Centre/WBS
20/07/2022,ZAV710570,1,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA," 4,290.00 ",402001,13001
20/07/2022,ZAV710570,2,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA, 810.00 ,402001,13001
20/07/2022,ZAV710570,3,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA, 150.00 ,402001,13001
25/07/2022,ZAV710721,1,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA," 1,275.00 ",400105,13001
25/07/2022,ZAV710721,2,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA, 70.00 ,400105,13001
25/07/2022,ZAV710721,3,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA, 625.00 ,400105,13001
25/07/2022,ZAV710721,4,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA, 230.00 ,400105,13001
25/07/2022,ZAV710721,5,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA, 395.00 ,400105,13001
25/07/2022,ZAV710721,6,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA, 169.00 ,400105,13001
25/07/2022,ZAV710721,7,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA, 65.00 ,400105,13001
25/07/2022,ZAV710721,8,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA, 304.00 ,400105,13001
25/07/2022,ZAV710721,9,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA, 65.00 ,400105,13001
25/07/2022,ZAV710721,10,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA," 1,025.00 ",400105,13001
25/07/2022,ZAV710721,11,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA, 30.00 ,400105,13001
25/07/2022,ZAV710721,12,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA, 65.00 ,400105,13001
25/07/2022,ZAV710721,13,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA, 16.00 ,400105,13001
25/07/2022,ZAV710721,14,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA, 50.00 ,400105,13001
25/07/2022,ZAV710721,15,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA, 445.00 ,400105,13001
25/07/2022,ZAV710721,16,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA, 65.00 ,400105,13001
25/07/2022,ZAV710721,17,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA, 50.00 ,400105,13001
25/07/2022,ZAV710721,18,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA, 99.00 ,400105,13001
29/09/2022,ZAV713611,1,14149,Smoothwall Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,IT AVA Service," 54,851.56 ",400110,11417
15/07/2022,ZES710377,1,544,Phoenix Software Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Property Client Acct, 693.00 ,402010,12328
15/07/2022,ZES710377,2,544,Phoenix Software Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,RAA Adoption Count, 693.00 ,402010,12957
15/07/2022,ZES710377,3,544,Phoenix Software Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,POD Communications, 693.00 ,402010,11323
15/07/2022,ZES710377,4,544,Phoenix Software Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Legal Services," 1,896.83 ",402010,11117
15/07/2022,ZES710377,5,544,Phoenix Software Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Democratic Services, 291.82 ,402010,11100
15/07/2022,ZES710377,6,544,Phoenix Software Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Strategy & Design," 1,021.37 ",402010,12642
15/07/2022,ZES710377,7,544,Phoenix Software Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Strategy & Design," 2,072.70 ",402010,12642
