Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,15450064,"117,571.41"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,15176810,"103,789.77"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,15248109,"58,142.36"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,15212554,"38,748.24"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Drugs,Pharmacy,ALCURA UK LTD,15346286,"118,319.02"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Drugs,Pharmacy,ALCURA UK LTD,15346288,"65,876.89"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Drugs,Pharmacy,ALCURA UK LTD,15346290,"30,251.09"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Childcare,Human Resources,ALLSAVE,SSC DD/PLYMOUTH HOSPITALS,"41,701.68"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Drugs,Pharmacy,BATH ASU,15248146,"32,724.60"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Blood Products,Clinical Haematology,BAXTER HEALTHCARE LTD,14379203,"51,895.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Med & Surg Equip General,Haemodialysis Unit,BAXTER HEALTHCARE LTD,15461508,"87,645.60"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Med & Surg Equip General,Haemodialysis Unit,BAXTER HEALTHCARE LTD,15209585,"32,088.85"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Medical Gases,Pharmacy Central,BOC LTD,15210531,"31,200.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Blood Products,Clinical Haematology,BUPA HOME HEALTHCARE LTD,15422524,"41,743.02"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Drugs,Pharmacy,BUPA HOME HEALTHCARE LTD,15176849,"42,208.51"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Drugs,Pharmacy,BUPA HOME HEALTHCARE LTD,15176816,"32,487.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Drugs,Pharmacy,BUPA HOME HEALTHCARE LTD,15157943,"29,875.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Drugs,Pharmacy,BUPA HOME HEALTHCARE LTD,15450258,"25,095.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Independent Sector,Ear Nose & Throat,CARE UK CLINICAL SERVICES LTD,15513887,"29,395.67"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Independent Sector,Ortho Management & Admin,CARE UK CLINICAL SERVICES LTD,15516811,"144,316.44"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Independent Sector,Ortho Management & Admin,CARE UK CLINICAL SERVICES LTD,15513847,"92,390.47"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Independent Sector,Ortho Management & Admin,CARE UK CLINICAL SERVICES LTD,15516812,"73,825.85"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Rent,Bircham House,CCH PROPERTY CO LTD,15301310,"29,640.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Lease Rents,MSCP Car Park,COLLIERS INTERNATIONAL,15209737,"341,059.90"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Lease Rents,MSCP Car Park,COLLIERS INTERNATIONAL,15448831,"341,059.90"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Lease Rents,MSCP Offices,COLLIERS INTERNATIONAL,15225869,"32,205.60"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Lease Rents,MSCP Offices,COLLIERS INTERNATIONAL,15448836,"32,205.60"
Department of Health,Plymouth Hospitals NHS TRUST,30/09/2015,Gas,Energy And Utilities,CORONA ENERGY RETAIL 4 LTD,15377577,"89,231.42"
