Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Environmental Health and Housing,2203,Training Expenses,04/11/2021,235424,1400,Revenue,Denise Fermor,15554
Rushmoor Borough Council,Planning,2623,Admin Equipment,04/11/2021,235797,591.12,Revenue,Insight Direct (Uk) Ltd,5302
Rushmoor Borough Council,Planning,2612,Admin Equipment,04/11/2021,235797,394.08,Revenue,Insight Direct (Uk) Ltd,5302
Rushmoor Borough Council,Planning,2623,Admin Equipment,04/11/2021,235798,440.28,Revenue,Insight Direct (Uk) Ltd,5302
Rushmoor Borough Council,Planning,2612,Admin Equipment,04/11/2021,235798,293.52,Revenue,Insight Direct (Uk) Ltd,5302
Rushmoor Borough Council,Chief Executive,1100,Consult Games Digital Hub,04/11/2021,236066,1200,Revenue,Cooper And Withycombe,13479
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,11/11/2021,236189,497.49,Revenue,Temple Lifts Limited,12997
Rushmoor Borough Council,Community,6518,Contract Costs,04/11/2021,236199,13416,Capital,Craemer Uk Ltd,11508
Rushmoor Borough Council,Legal,1213,Property System IT Costs,04/11/2021,236248,3150,Revenue,Concerto Support Services Ltd,16327
Rushmoor Borough Council,Community,2560,Water,11/11/2021,236302,3405.55,Revenue,Business Stream,15959
Rushmoor Borough Council,Community,2518,Panto Expenditure,11/11/2021,236312,1650,Revenue,Scenic Pantomimes Limited,12065
Rushmoor Borough Council,Community,2551,Building and Monument Maintenance,04/11/2021,236354,252.5,Revenue,Access Platform Sales,15362
Rushmoor Borough Council,Legal,1210,Contract Staff,04/11/2021,236396,672,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1213,Contract Staff,04/11/2021,236396,672,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Community,2523,West End Centre Grants,04/11/2021,236424,14612,Revenue,Hampshire Cultural Trust,13707
Rushmoor Borough Council,Community,2523,Aldershot Museum Grant,04/11/2021,236424,29612,Revenue,Hampshire Cultural Trust,13707
Rushmoor Borough Council,Customer Services,3811,Consultancy,04/11/2021,236469,1400,Revenue,Airey Consultancy Services,8608
Rushmoor Borough Council,Customer Services,3804,Consultancy,04/11/2021,236469,1092.5,Revenue,Airey Consultancy Services,8608
Rushmoor Borough Council,Democratic Services,1327,Postages,04/11/2021,236470,2763.44,Revenue,Royal Mail,821
Rushmoor Borough Council,Community,2554,Glass Skip,04/11/2021,236472,885.22,Revenue,Fcc Recycling (Uk) Limited,11978
Rushmoor Borough Council,Community,2554,Glass Skip,04/11/2021,236473,1130.79,Revenue,Fcc Recycling (Uk) Limited,11978
Rushmoor Borough Council,Community,2549,Operational Equipment,04/11/2021,236481,272.75,Revenue,Lockrite Security Ltd,360
Rushmoor Borough Council,Community,2543,High Street Reopening After Covid 19,04/11/2021,236483,1408.28,Revenue,Gala Tent Ltd,15276
Rushmoor Borough Council,Information Technology,3302,Application Software,04/11/2021,236488,4940,Revenue,Idox Software Ltd,661
Rushmoor Borough Council,Legal,1209,Legionela Maintenance,04/11/2021,236490,1825,Revenue,Rock Compliance Limited,16356
Rushmoor Borough Council,Community,2517,Infection Control,04/11/2021,236490,6500,Revenue,Rock Compliance Limited,16356
Rushmoor Borough Council,Information Technology,3304,Azure,04/11/2021,236496,1211.98,Revenue,Phoenix Software,724
Rushmoor Borough Council,Legal,1299,Valuation Fees,04/11/2021,236505,3950,Revenue,Avison Young,3742
Rushmoor Borough Council,Community,2554,Glass Skip,04/11/2021,236510,781.63,Revenue,Fcc Recycling (Uk) Limited,11978
Rushmoor Borough Council,Legal,1248,General Repairs and Maintenance,11/11/2021,236512,1544.16,Revenue,Hardcastle Electrical Limited,8301
Rushmoor Borough Council,Legal,1248,General Repairs and Maintenance,11/11/2021,236513,1538.18,Revenue,Hardcastle Electrical Limited,8301
Rushmoor Borough Council,Legal,1206,Energy Efficiency,11/11/2021,236514,796.64,Revenue,Hardcastle Electrical Limited,8301
Rushmoor Borough Council,Information Technology,3305,Repair and Maintenance of Fixed Plant,11/11/2021,236515,4888,Revenue,Healthcare Construction Ltd,15636
Rushmoor Borough Council,Democratic Services,1327,Postages,04/11/2021,236516,7678.4,Revenue,Quadient Uk Ltd,11588
Rushmoor Borough Council,Legal,1208,General Repairs and Maintenance,11/11/2021,236519,514,Revenue,Hardcastle Electrical Limited,8301
Rushmoor Borough Council,Planning,6620,Contract Costs,04/11/2021,236522,12924,Capital,Mgb Plastics,11093
Rushmoor Borough Council,Director of Community and Environment Services,2110,ICE Process Redesign,04/11/2021,236523,2380,Revenue,Idox Software Ltd,661
Rushmoor Borough Council,Environmental Health and Housing,2402,Hyde Housing Association Communal Housing,04/11/2021,236526,1340.79,Revenue,Mears Housing Management,15925
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,04/11/2021,236533,475,Revenue,Ezyglide Ltd,10979
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,04/11/2021,236534,545,Revenue,Ezyglide Ltd,10979
Rushmoor Borough Council,Legal,1210,Contract Staff,04/11/2021,236537,559,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Chief Executive,1100,Temporary Staff,04/11/2021,236538,1680,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1213,Contract Staff,04/11/2021,236539,600,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1210,Contract Staff,04/11/2021,236539,600,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Community,2543,High Street Reopening After Covid 19,04/11/2021,236540,400,Revenue,Kj Voiceover,16235
Rushmoor Borough Council,Director of Community and Environment Services,2102,FLC Project Delivery Costs,18/11/2021,236543,1800,Revenue,Glk Solutions Ltd,12369
Rushmoor Borough Council,Chief Executive,1100,Consultancy,18/11/2021,236543,6627,Revenue,Glk Solutions Ltd,12369
Rushmoor Borough Council,Director of Community and Environment Services,2102,FLC Project Delivery Costs,18/11/2021,236544,2100,Revenue,Glk Solutions Ltd,12369
Rushmoor Borough Council,Chief Executive,1100,Consultancy,18/11/2021,236544,6868.5,Revenue,Glk Solutions Ltd,12369
Rushmoor Borough Council,Director of Community and Environment Services,2110,ICE Programme Mgr,04/11/2021,236545,6080.1,Revenue,Glk Solutions Ltd,12369
Rushmoor Borough Council,Director of Community and Environment Services,2110,ICE Programme Mgr,04/11/2021,236546,5792.1,Revenue,Glk Solutions Ltd,12369
Rushmoor Borough Council,Community,2518,Refreshment Purchases,04/11/2021,236547,377.73,Revenue,Bentons,12526
Rushmoor Borough Council,Customer Services,3804,Contract Staff,04/11/2021,236551,390,Revenue,G2 Recruitment Solutions,16259
Rushmoor Borough Council,Community,2554,Food Waste,04/11/2021,236552,533.75,Revenue,Wendy B Employment Consultancy,1743
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,04/11/2021,236567,454.5,Revenue,Brookside Pre School Ltd,16339
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,04/11/2021,236569,358.05,Revenue,Chambers Waste Management Plc,217
Rushmoor Borough Council,Legal,1208,Routine Grounds Maintenance,04/11/2021,236570,1460.07,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2540,Amenity Variations,04/11/2021,236570,1237.3,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2551,Grounds Maintenance Base,04/11/2021,236570,4219.45,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Grounds Maintenance Base,04/11/2021,236570,32138.78,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Amenity Base,04/11/2021,236570,6997.34,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2540,Amenity Base,04/11/2021,236570,13813.68,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2550,Grounds Maintenance Base,04/11/2021,236570,9866.56,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Prospect Estate Base,04/11/2021,236570,2512.88,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Information Technology,3305,Routine Grounds Maintenance,04/11/2021,236570,634.97,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2540,Anciliary Costs,04/11/2021,236570,264.47,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2502,Routine Grounds Maintenance,04/11/2021,236570,761.28,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2537,Grounds Maintenance Base,04/11/2021,236570,677.36,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Anciliary Costs,04/11/2021,236570,677.72,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Routine Playground Inspections,04/11/2021,236570,2131.64,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Planning,2624,Southwood Golf Course SANG Setup,04/11/2021,236570,698.78,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,6518,Contract Costs,11/11/2021,236573,12924,Capital,Mgb Plastics,11093
Rushmoor Borough Council,Legal,1248,Security Services,04/11/2021,236575,414.75,Revenue,Kbo Fire And Security Ltd,535
Rushmoor Borough Council,Strategy and Communiations,1415,Training Expenses,04/11/2021,236578,475,Revenue,Cms Training Ltd,9370
Rushmoor Borough Council,Community,2518,Payment to Artistes,04/11/2021,236580,8120.42,Revenue,Tc Productions Ltd,16587
Rushmoor Borough Council,Community,2543,Aldershot Promotions,25/11/2021,236585,650,Revenue,Mill Cottage Farm Experience,15651
Rushmoor Borough Council,Community,2551,Electricity,04/11/2021,236588,886.57,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2517,Tree Maintenance,04/11/2021,236594,939.05,Revenue,The Surrey & Hants Tree Company Ltd,16041
Rushmoor Borough Council,Legal,1210,Contract Staff,04/11/2021,236595,600,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1213,Contract Staff,04/11/2021,236595,600,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Chief Executive,1100,Temporary Staff,04/11/2021,236596,1680,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1210,Contract Staff,04/11/2021,236597,559,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Community,2518,Heating Contribution - HCC,04/11/2021,236599,6422.46,Revenue,Hampshire Constabulary,13997
Rushmoor Borough Council,Community,2518,Panto Expenditure,04/11/2021,236602,4500,Revenue,Donovan C-Cary,12395
Rushmoor Borough Council,Community,6567,Contract Costs,04/11/2021,236604,1250,Capital,Facultatieve Technologies Ltd,5289
