Transaction Date,Merchant Name,Total
01.03.13,LONDON OVERGROUND-,8
01.03.13,LUL TICKET MACHINE,8.8
01.03.13,TOTAL REGISTRATION,19.94
01.03.13,PRESERVATION EQUIP,50.28
01.03.13,ORANGE (A/PM/01),7.38
01.03.13,CONSERVATION.CO.UK,70.8
01.03.13,EMOS INFO SYSTEMS,192.34
02.03.13,BANNER BUSINESS SUPPL,12.05
02.03.13,EB *TEDXHOUSESOFPARLIA,60
03.03.13,OYSTER AUTOTOPUP,20
04.03.13,LONDON OVERGROUND-,11
04.03.13,LONDON OVERGROUND-,10
04.03.13,M6 TOLL,11
04.03.13,OYSTER AUTOTOPUP,20
04.03.13,GREATER ANGLIA T/O,31.4
04.03.13,GREATER ANGLIA,137.3
04.03.13,HAMPTON CT PALACE,4.99
04.03.13,WWW.HOMECRAFTSDIRECT.CO.,68.98
04.03.13,BRITISH A   1252499475001,60
04.03.13,ESSO ROSS MOTORS,58.43
04.03.13,CH & CO CATERING LTD,3.6
05.03.13,AVIS LONDON,89.76
05.03.13,DAWSON BOOKS,106.25
05.03.13,LONDON OVERGROUND-,9
05.03.13,NEW SOUTHERN RAILW,27.7
05.03.13,SELFSERVE TICKET,18.7
05.03.13,LUL TICKET OFFICE.,10
05.03.13,SAINSBURYS PETROL,16.38
05.03.13,LUCY WHITE,229.7
05.03.13,THE HISTORICAL ASSOCIA,161
05.03.13,SIGN-MAKER-DOT-NET LTD,25.48
05.03.13,WWW.AVG.COM,177.98
05.03.13,EUROFFICE.CO.UK,250.75
06.03.13,LONDON OVERGROUND-,9
06.03.13,OYSTER AUTOTOPUP,20
06.03.13,BANNER BUSINESS SUPPL,13.73
06.03.13,BANNER BUSINESS SUPPL,57.69
06.03.13,LUL TICKET OFFICE.,50
06.03.13,WWW.ROYALMAIL.COM,3.5
06.03.13,BAR ITALIA,13.7
06.03.13,NORWICH AIRPORT ADF 2,10
06.03.13,SAINSBURYS,50.77
06.03.13,EB *WHAT NEXT A NATION,70
06.03.13,CHALLENGETROPHIES,62.7
07.03.13,CONVENIENCE CHEQUE FEE,9.98
07.03.13,LONDON OVERGROUND-,50
07.03.13,LONDON OVERGROUND-,8
07.03.13,SELFSERVE TICKET,8.9
07.03.13,TICKETOFFICESALE,29.1
07.03.13,BANNER BUSINESS SUPPL,17.82
07.03.13,LUL TICKET MACHINE,11
07.03.13,WWW.IWEB-HOSTING.CO.UK,38.4
07.03.13,WWW.MELVILLE.CO.UK,60
07.03.13,NCP LIMITED,30
07.03.13,EDINBURGH WAVERLEY,7
07.03.13,EB *TEDXHOUSESOFPARLIA,120
07.03.13,NOVOTEL YORK,237
07.03.13,6430,240
07.03.13,6510,259.2
07.03.13,GREENHAM TRADING LTD,9.36
08.03.13,CONVENIENCE CHEQUE FEE,6.08
08.03.13,DAWSON BOOKS,128.86
08.03.13,LONDON OVERGROUND-,8
08.03.13,NEW SOUTHERN RAILW,19
08.03.13,SELFSERVE TICKET,8
08.03.13,SELFSERVE TICKET,20
08.03.13,BANNER BUSINESS SUPPL,13.33
08.03.13,6460,179.1
08.03.13,6530,29.75
09.03.13,OYSTER AUTOTOPUP,20
09.03.13,TICKETOFFICESALE,8
10.03.13,OYSTER AUTOTOPUP,20
10.03.13,TRIBE HOTEL 27 AS,142.97
10.03.13,BOX PIZZA,14.95
11.03.13,Amazon *Mktplce EU-UK,48.3
11.03.13,Amazon *Mktplce EU-UK,6.9
11.03.13,CONVENIENCE CHEQUE FEE,3.67
11.03.13,GREATER ANGLIA,137.3
11.03.13,PRET A MANGER,6.09
11.03.13,ADDISON LEE,563
11.03.13,EUROSTAR INTERNET,254
11.03.13,TIGER TAXIS,65
11.03.13,IMPULSE GROUP,21.42
11.03.13,CH & CO CATERING LTD,11.2
11.03.13,CH&CO CATERING LTD,15.95
11.03.13,RYMAN DIRECT,16.36
11.03.13,6500,183.6
11.03.13,DSB 7ELEVEN KVIKK,5.34
12.03.13,CONVENIENCE CHEQUE FEE,2.5
12.03.13,LONDON OVERGROUND-,20
12.03.13,LONDON OVERGROUND-,20
12.03.13,SELFSERVE TICKET,50
12.03.13,TICKETOFFICESALE,21.9
12.03.13,JOHN PURCELL PAPER,37.68
12.03.13,CH&CO CATERING LTD,11.45
12.03.13,6400,113.2
12.03.13,PAYNE SECURITY,147
12.03.13,BARRIERS DIRECT,164.99
12.03.13,DRI Enterprise Architect,"1,022.14"
12.03.13,GEFFRYE MUSEUM TRUST L,40
12.03.13,AAGRAH,11.8
12.03.13,I.Q.P.C. EVENTS,238.8
13.03.13,Amazon *Mktplce EU-UK,39.98
13.03.13,CONVENIENCE CHEQUE FEE,5
13.03.13,LONDON OVERGROUND-,11
13.03.13,M6 TOLL,5.5
13.03.13,TICKETOFFICESALE,21.6
13.03.13,BANNER BUSINESS SUPPL,39.46
13.03.13,BANNER BUSINESS SUPPL,2.14
13.03.13,BANNER BUSINESS SUPPL,109.63
13.03.13,TABLE TABLE41017355,19.19
13.03.13,TABLE TABLE41017355,20.19
13.03.13,TABLE TABLE41017355,14.89
13.03.13,HOTEL OPUS HORSENS,72.65
13.03.13,REST KOEBENHAVN  46,27.45
13.03.13,MUNICIPAL SECURITY LTD,951.42
13.03.13,RELAXA UK LTD,290.4
13.03.13,6410,250
13.03.13,WWW.DATA--8.CO.UK,34.56
14.03.13,Amazon *Mktplce EU-UK,4.89
14.03.13,Amazon *Mktplce EU-UK,33.44
14.03.13,CONVENIENCE CHEQUE FEE,15.56
14.03.13,LONDON OVERGROUND-,8
14.03.13,M6 TOLL,5.5
14.03.13,NEW SOUTHERN RAILW,19
14.03.13,SELFSERVE TICKET,8.9
14.03.13,TICKETOFFICESALE,29.1
14.03.13,TABLE TABLE41017355,18.02
14.03.13,TABLE TABLE41017355,18.02
14.03.13,TABLE TABLE41017355,18.01
14.03.13,LUL TICKET MACHINE,10
14.03.13,LUL TICKET OFFICE.,5
14.03.13,PEARL DRY CLEANERS,30
14.03.13,EBUYER (UK) LTD,57.5
14.03.13,BRENTFORD SERVICE,23.41
14.03.13,AVIS AERIAL WAY LONDON,67.51
14.03.13,HEATHROW AIRPORT,63.3
14.03.13,QUEENS HOTEL,30
14.03.13,GOOGLE *SVCS2334249084,37.38
14.03.13,PREMIER INN44521635,35.25
14.03.13,UNIVERSITY COLLEGE LON,8.2
14.03.13,TEX WARDLE S/STN,40.86
14.03.13,THAWTE,274.84
14.03.13,NEWS INTL TRADING  NI,432
14.03.13,6440,329.85
14.03.13,6480,448
15.03.13,Amazon *Mktplce EU-UK,34.5
15.03.13,CONVENIENCE CHEQUE FEE,23.95
15.03.13,LONDON OVERGROUND-,39.1
15.03.13,OYSTER AUTOTOPUP,20
15.03.13,OYSTER AUTOTOPUP,20
15.03.13,OYSTER AUTOTOPUP,20
15.03.13,AVIS LUTON,106.43
15.03.13,ABEBOOKS.COM,7.86
15.03.13,LUL TICKET MACHINE,4.5
15.03.13,LUL TICKET MACHINE,4.5
15.03.13,LUL TICKET OFFICE.,6.7
15.03.13,SAINSBURYS PETROL,31.64
15.03.13,THE NEW ART EXCHANGE L,864
15.03.13,TNA DOCUMENTS ONLINE,0
15.03.13,TREATS,2.95
15.03.13,EAST MIDLANDS TRAI,24
15.03.13,6470,490
15.03.13,6490,707.5
16.03.13,GOOGLE *SVCS2334249084,519.31
16.03.13,EB *MOBILE EXPERIENCES,58.95
16.03.13,THAWTE,136.51
