"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Corporate Services","<5","Operational Delivery Profession","East Midlands"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Corporate Services","<5","Operational Delivery Profession","East Midlands"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Commercial","<5","Procurement Profession","East Midlands"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Operational Delivery","<5","Operational Delivery Profession","East Midlands"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Operational Delivery","<5","Operational Delivery Profession","East Midlands"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Corporate Services","<5","Operational Delivery Profession","East of England"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Corporate Services","<5","Operational Delivery Profession","East of England"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Operational Delivery","<5","Operational Delivery Profession","East of England"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Operational Delivery","<5","Operational Delivery Profession","East of England"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Operational Delivery","<5","Operational Delivery Profession","East of England"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Corporate Services","<5","Operational Delivery Profession","London"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Corporate Services","<5","Operational Delivery Profession","London"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Operational Delivery","93.41","Operational Delivery Profession","London"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Corporate Services","<5","Operational Delivery Profession","North West"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Corporate Services","<5","Operational Delivery Profession","North West"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Operational Delivery","53.02","Operational Delivery Profession","North West"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Operational Delivery","<5","Operational Delivery Profession","North West"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Corporate Services","<5","Operational Delivery Profession","Overseas"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Information Management & IT","<5","Government Knowledge and Information Management Profession","Scotland"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Corporate Services","<5","Operational Delivery Profession","Scotland"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","26000789","Technical Specialist","20500","28800","DE&S Corporate Services","<5","Operational Delivery Profession","Scotland"
