Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Adult Social Care,APL LOCKSMITHS LTD SHO,Furniture and Equipment,Environmental Services Technical Equipment ,19.05.2021,16.06.2021,GPC05210000095,216.00
Stockport MBC,Services to People,Adult Social Care,ALDI 84 773,Catering Supplies,Catering Food & Beverages ,18.05.2021,16.06.2021,GPC05210000096,18.67
Stockport MBC,Services to People,Adult Social Care,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,Furniture & Soft Furnishings  ,05.05.2021,16.06.2021,GPC05210000097,29.24
Stockport MBC,Services to People,Adult Social Care,ALDI 84 773,Catering Supplies,Catering Food & Beverages ,04.05.2021,16.06.2021,GPC05210000098,41.11
Stockport MBC,Services to People,Adult Social Care,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,21.05.2021,16.06.2021,GPC05210000099,67.85
Stockport MBC,Services to People,Adult Social Care,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,21.05.2021,16.06.2021,GPC05210000100,-0.19
Stockport MBC,Services to People,Adult Social Care,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,15.05.2021,16.06.2021,GPC05210000101,53.70
Stockport MBC,Services to People,Adult Social Care,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,15.05.2021,16.06.2021,GPC05210000102,-1.67
Stockport MBC,Services to People,Adult Social Care,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,08.05.2021,16.06.2021,GPC05210000103,-0.56
Stockport MBC,Services to People,Adult Social Care,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,08.05.2021,16.06.2021,GPC05210000104,57.90
Stockport MBC,Services to People,Adult Social Care,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,06.05.2021,16.06.2021,GPC05210000105,-0.30
Stockport MBC,Services to People,Adult Social Care,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,06.05.2021,16.06.2021,GPC05210000106,42.29
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Office Expenses,Stationery    ,21.05.2021,16.06.2021,GPC05210000107,15.96
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON PRIME MK03S5WM4,Office Expenses,Stationery    ,18.05.2021,16.06.2021,GPC05210000108,7.99
Stockport MBC,Services to Place,Childrens & Educational Services,POST OFFICE COUNTER,Publicity and Promotion,Arts & Leisure Services  ,12.05.2021,16.06.2021,GPC05210000109,25.00
Stockport MBC,Services to People,Childrens & Educational Services,MCDONALDS 895,Catering Supplies,Catering Food & Beverages ,26.05.2021,16.06.2021,GPC05210000110,29.49
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS LTD,Clothing Uniforns and Laundry,Clothing  ,25.05.2021,16.06.2021,GPC05210000111,45.00
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,11.05.2021,16.06.2021,GPC05210000112,12.64
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 17 773,Furniture and Equipment,Environmental Services Technical Equipment ,10.05.2021,16.06.2021,GPC05210000113,8.99
Stockport MBC,Services to People,Childrens & Educational Services,OFFICE MONSTER,Furniture and Equipment,Environmental Services Technical Equipment ,06.05.2021,16.06.2021,GPC05210000114,37.07
Stockport MBC,Services to People,Childrens & Educational Services,ADHD FOUNDATION,Staff Training,Human Resources  ,05.05.2021,16.06.2021,GPC05210000115,25.00
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,Environmental Services Technical Equipment ,29.04.2021,16.06.2021,GPC05210000116,20.98
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Cleaning,Cleaning & Janitorial  ,28.05.2021,16.06.2021,GPC05210000117,1.17
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,26.05.2021,16.06.2021,GPC05210000118,2.75
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Cleaning,Cleaning & Janitorial  ,25.05.2021,16.06.2021,GPC05210000119,5.30
Stockport MBC,Services to People,Childrens & Educational Services,W.L.COLLER,Furniture and Equipment,Furniture & Soft Furnishings  ,19.05.2021,16.06.2021,GPC05210000120,7.20
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Cleaning,Cleaning & Janitorial  ,11.05.2021,16.06.2021,GPC05210000121,3.78
Stockport MBC,Services to People,Adult Social Care,DUNELM (SOFT FURNISHIN,Fixtures and Fittings,Facilities & Management Services  ,05.05.2021,16.06.2021,GPC05210000122,317.90
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON STORE,Furniture and Equipment,Furniture & Soft Furnishings  ,19.05.2021,16.06.2021,GPC05210000123,25.00
Stockport MBC,Services to People,Childrens & Educational Services,B&M 570 - CLARKWAYHYDE,Cleaning,Cleaning & Janitorial  ,07.05.2021,16.06.2021,GPC05210000124,17.29
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS LTD,Furniture and Equipment,Environmental Services Technical Equipment ,27.05.2021,16.06.2021,GPC05210000125,39.95
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,27.05.2021,16.06.2021,GPC05210000126,17.65
Stockport MBC,Services to People,Childrens & Educational Services,ENTERPRISE RENT A CAR,Furniture and Equipment,Furniture & Soft Furnishings  ,27.05.2021,16.06.2021,GPC05210000127,94.99
Stockport MBC,Services to People,Childrens & Educational Services,ZOOM.US 888-799-9666,Furniture and Equipment,Furniture & Soft Furnishings  ,26.05.2021,16.06.2021,GPC05210000128,14.39
Stockport MBC,Services to People,Childrens & Educational Services,ETR.MYTRIP_UK_L97GPC,Travelling Expenses,Human Resources Travel & Subsistence ,26.05.2021,16.06.2021,GPC05210000129,208.05
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS LTD,Furniture and Equipment,Environmental Services Technical Equipment ,25.05.2021,16.06.2021,GPC05210000130,29.99
Stockport MBC,Services to People,Childrens & Educational Services,HOLIDAY INNS,Care Payments,Social Community Care Supplies & Services  ,25.05.2021,16.06.2021,GPC05210000131,475.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,21.05.2021,16.06.2021,GPC05210000132,16.13
Stockport MBC,Services to People,Childrens & Educational Services,BRUSSELS  0822189164679,Travelling Expenses,Human Resources Travel & Subsistence ,18.05.2021,16.06.2021,GPC05210000133,504.51
Stockport MBC,Services to People,Childrens & Educational Services,BRUSSELS  0822189164680,Travelling Expenses,Human Resources Travel & Subsistence ,18.05.2021,16.06.2021,GPC05210000134,625.60
Stockport MBC,Services to People,Childrens & Educational Services,BRUSSELS  0822189164681,Travelling Expenses,Human Resources Travel & Subsistence ,18.05.2021,16.06.2021,GPC05210000135,48.93
Stockport MBC,Services to People,Childrens & Educational Services,THETRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,19.05.2021,16.06.2021,GPC05210000136,16.13
Stockport MBC,Services to People,Childrens & Educational Services,HAMPTON BY HILTON,Expenses and Allowances,Catering  ,18.05.2021,16.06.2021,GPC05210000137,48.60
Stockport MBC,Services to People,Childrens & Educational Services,THETRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,14.05.2021,16.06.2021,GPC05210000138,21.16
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,14.05.2021,16.06.2021,GPC05210000139,52.55
Stockport MBC,Services to People,Childrens & Educational Services,PAYPAL  COMFYLIVING ON,Furniture and Equipment,Environmental Services Technical Equipment ,14.05.2021,16.06.2021,GPC05210000140,189.99
Stockport MBC,Services to People,Childrens & Educational Services,FCO,Travelling Expenses,Human Resources Travel & Subsistence ,13.05.2021,16.06.2021,GPC05210000141,100.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,12.05.2021,16.06.2021,GPC05210000142,21.16
Stockport MBC,Services to People,Childrens & Educational Services,THETRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,12.05.2021,16.06.2021,GPC05210000143,109.23
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,11.05.2021,16.06.2021,GPC05210000144,-6.50
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,10.05.2021,16.06.2021,GPC05210000145,319.61
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,10.05.2021,16.06.2021,GPC05210000146,23.98
Stockport MBC,Services to People,Childrens & Educational Services,THETRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,10.05.2021,16.06.2021,GPC05210000147,-9.90
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,07.05.2021,16.06.2021,GPC05210000148,21.16
Stockport MBC,Services to People,Childrens & Educational Services,HOLIDAY INNS,Expenses and Allowances,Catering  ,07.05.2021,16.06.2021,GPC05210000149,44.10
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,05.05.2021,16.06.2021,GPC05210000150,21.16
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,04.05.2021,16.06.2021,GPC05210000151,-9.90
Stockport MBC,Services to People,Childrens & Educational Services,BRITANNIA HOTEL,Care Payments,Social Community Care Supplies & Services  ,04.05.2021,16.06.2021,GPC05210000152,40.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,04.05.2021,16.06.2021,GPC05210000153,-9.90
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,03.05.2021,16.06.2021,GPC05210000154,-9.90
Stockport MBC,Services to People,Childrens & Educational Services,BLACKPOOL PLEASURE,Care Payments,Social Community Care Supplies & Services  ,30.04.2021,16.06.2021,GPC05210000155,165.00
Stockport MBC,Services to People,Childrens & Educational Services,ONE4ALL,Expenses and Allowances,Catering  ,01.06.2021,16.06.2021,GPC05210000156,50.00
Stockport MBC,Services to People,Childrens & Educational Services,HOLIDAY INNS,Care Payments,Social Community Care Supplies & Services  ,28.05.2021,16.06.2021,GPC05210000157,572.85
Stockport MBC,Services to People,Childrens & Educational Services,THETRAINLINE.COM,Care Payments,Social Community Care Supplies & Services  ,28.05.2021,16.06.2021,GPC05210000158,158.98
Stockport MBC,Services to People,Childrens & Educational Services,1 AND 1 IONOS LTD,Information and Communications Technology,Information Communication Technology  ,27.05.2021,16.06.2021,GPC05210000159,12.00
