BeneficiaryOtherID,BeneficiaryName,OrganisationalUnit,Purpose,ContractRef,Amount,IrrecoverableVATAmount,PaymentDate
485161,3c Technology Ltd,Ict Services,It Hardware Purchase,162252,1271,0,11/07/2013
799298,3 Lanes Transport Ltd,Arts Development,Artist Fees,165755,262,0,26/09/2013
547042,4 Runner Limited,Capital Sprts Centres And Pool,Major Build Works,164764,69669.09,0,09/09/2013
594521,Aa Flags Ltd,Beaches & Foreshores,Materials,172326,410.1,0,03/03/2014
33892,Abba Cleansing,Sports Grounds,Property Contractors,158014,865,0,15/04/2013
33892,Abba Cleansing,Sewage Disposal Planned Maint,Property Contractors,159643,2740,0,03/06/2013
33892,Abba Cleansing,Supervision And Mgt Special,Property Contractors,166901,2460,0,28/10/2013
33892,Abba Cleansing,Sports Grounds,Property Contractors,167619,780,0,21/11/2013
51699,A+ Building And Maintenance,Amenity Facilities,Planned Mtce Sa Corp Budget,157523,3846,0,04/04/2013
51699,A+ Building And Maintenance,Beaches & Foreshores,Planned Mtce Sa Corp Budget,157652,4497.26,0,04/04/2013
51699,A+ Building And Maintenance,Sports Grounds,Planned Mtce Sa Corp Budget,158084,931.75,0,18/04/2013
51699,A+ Building And Maintenance,Industrial Sites,Planned Mtce Sa Corp Budget,158310,1136,0,18/04/2013
51699,A+ Building And Maintenance,Corporate Buildings,Planned Mtce Sa Corp Budget,158516,4640,0,25/04/2013
51699,A+ Building And Maintenance,Public Conveniences,Planned Mtce Sa Corp Budget,158995,725,0,02/05/2013
51699,A+ Building And Maintenance,Sports Grounds,Planned Mtce Sa Corp Budget,158996,3890,0,02/05/2013
51699,A+ Building And Maintenance,Industrial Sites,Property Maintenance Ad Hoc,159067,1755,0,13/05/2013
51699,A+ Building And Maintenance,Markets,Planned Mtce Sa Corp Budget,159068,520.75,0,07/05/2013
51699,A+ Building And Maintenance,Public Conveniences,Planned Mtce Sa Corp Budget,159069,5743.9,0,07/05/2013
51699,A+ Building And Maintenance,Public Halls,Planned Mtce Sa Corp Budget,159526,1424,0,16/05/2013
51699,A+ Building And Maintenance,Beaches & Foreshores,Property Maintenance Ad Hoc,160557,842,0,06/06/2013
51699,A+ Building And Maintenance,Corporate Buildings,Planned Mtce Sa Corp Budget,160899,516,0,10/06/2013
51699,A+ Building And Maintenance,Beaches & Foreshores,Property Maintenance Ad Hoc,160900,4015,0,10/06/2013
51699,A+ Building And Maintenance,Industrial Sites,Property Maintenance Ad Hoc,160901,560,0,10/06/2013
51699,A+ Building And Maintenance,Markets,Planned Mtce Sa Corp Budget,161470,10755,0,04/07/2013
51699,A+ Building And Maintenance,Arts Development,Planned Mtce Sa Corp Budget,162068,4400,0,22/07/2013
51699,A+ Building And Maintenance,Arts Development,Property Maintenance Ad Hoc,162068,3550,0,22/07/2013
51699,A+ Building And Maintenance,Sports Centres And Swim Pools,Planned Mtce Sa Corp Budget,162441,10000,0,18/07/2013
51699,A+ Building And Maintenance,Arts Development,Planned Mtce Sa Corp Budget,162871,0,0,25/07/2013
51699,A+ Building And Maintenance,Sports Centres And Swim Pools,Maintenance Reserve,163064,12685.2,0,29/07/2013
51699,A+ Building And Maintenance,Sports Centres And Swim Pools,Planned Mtce Sa Corp Budget,163064,4130,0,29/07/2013
51699,A+ Building And Maintenance,Markets,Planned Mtce Sa Corp Budget,163594,767,0,15/08/2013
51699,A+ Building And Maintenance,Sports Centres And Swim Pools,Property Maintenance Ad Hoc,163633,650,0,12/08/2013
51699,A+ Building And Maintenance,Industrial Sites,Property Maintenance Ad Hoc,163952,670,0,19/08/2013
51699,A+ Building And Maintenance,Industrial Sites,Property Maintenance Ad Hoc,164015,1032,0,22/08/2013
51699,A+ Building And Maintenance,Sports Centres And Swim Pools,Maintenance Reserve,164347,10464.71,0,27/08/2013
51699,A+ Building And Maintenance,Sports Centres And Swim Pools,Maintenance Reserve,164561,10464.71,0,09/09/2013
51699,A+ Building And Maintenance,Sports Centres And Swim Pools,Planned Mtce Sa Corp Budget,165112,15945.72,0,16/09/2013
51699,A+ Building And Maintenance,Sports Centres And Swim Pools,Maintenance Reserve,165448,580,0,26/09/2013
51699,A+ Building And Maintenance,Markets,Planned Mtce Sa Corp Budget,166557,546,0,28/10/2013
51699,A+ Building And Maintenance,Beaches & Foreshores,Maintenance Reserve,166558,9105,0,17/10/2013
51699,A+ Building And Maintenance,Beaches & Foreshores,Maintenance Reserve,167648,9105,0,14/11/2013
51699,A+ Building And Maintenance,Industrial Sites,Property Maintenance Ad Hoc,168427,224,0,28/11/2013
51699,A+ Building And Maintenance,Corporate Buildings,Property Maintenance Ad Hoc,168538,102,0,03/12/2013
51699,A+ Building And Maintenance,Economic Development,Property Maintenance Ad Hoc,168538,97,0,03/12/2013
51699,A+ Building And Maintenance,Industrial Sites,Property Maintenance Ad Hoc,168538,61,0,03/12/2013
51699,A+ Building And Maintenance,Parks And Pleasure Grounds,Property Maintenance Ad Hoc,168538,138,0,03/12/2013
51699,A+ Building And Maintenance,Public Conveniences,Property Maintenance Ad Hoc,168538,92,0,03/12/2013
51699,A+ Building And Maintenance,Sports Centres And Swim Pools,Property Maintenance Ad Hoc,168538,102,0,03/12/2013
51699,A+ Building And Maintenance,Sports Grounds,Property Maintenance Ad Hoc,168538,97,0,03/12/2013
51699,A+ Building And Maintenance,Beach Properties,Property Maintenance Ad Hoc,168842,120,0,09/12/2013
51699,A+ Building And Maintenance,Cemeteries,Property Maintenance Ad Hoc,168842,110,0,09/12/2013
51699,A+ Building And Maintenance,Economic Development,Property Maintenance Ad Hoc,168842,92,0,09/12/2013
51699,A+ Building And Maintenance,Industrial Sites,Property Maintenance Ad Hoc,168842,174,0,09/12/2013
51699,A+ Building And Maintenance,Public Conveniences,Property Maintenance Ad Hoc,168842,46,0,09/12/2013
51699,A+ Building And Maintenance,Public Halls,Property Maintenance Ad Hoc,168842,368,0,09/12/2013
51699,A+ Building And Maintenance,Sports Centres And Swim Pools,Property Maintenance Ad Hoc,168842,347,0,09/12/2013
51699,A+ Building And Maintenance,Sports Grounds,Property Maintenance Ad Hoc,168842,74,0,09/12/2013
51699,A+ Building And Maintenance,Beach Properties,Property Maintenance Ad Hoc,169333,534,0,20/12/2013
51699,A+ Building And Maintenance,Corporate Buildings,Property Maintenance Ad Hoc,169333,504,0,20/12/2013
51699,A+ Building And Maintenance,Sports Centres And Swim Pools,Property Maintenance Ad Hoc,169333,271,0,20/12/2013
51699,A+ Building And Maintenance,Markets,Planned Mtce Sa Corp Budget,169343,589,0,16/01/2014
51699,A+ Building And Maintenance,Corporate Buildings,Property Maintenance Ad Hoc,170222,477,0,16/01/2014
51699,A+ Building And Maintenance,Public Halls,Property Maintenance Ad Hoc,170222,527,0,16/01/2014
51699,A+ Building And Maintenance,Sports Centres And Swim Pools,Property Maintenance Ad Hoc,170222,486,0,16/01/2014
51699,A+ Building And Maintenance,Sports Grounds,Property Maintenance Ad Hoc,170222,226,0,16/01/2014
51699,A+ Building And Maintenance,Sports Centres And Swim Pools,Property Maintenance Ad Hoc,170713,261,0,27/01/2014
51699,A+ Building And Maintenance,Beach Properties,Property Maintenance Ad Hoc,171076,69,0,03/02/2014
51699,A+ Building And Maintenance,Economic Development,Property Maintenance Ad Hoc,171076,94.2,0,03/02/2014
51699,A+ Building And Maintenance,Sports Centres And Swim Pools,Property Maintenance Ad Hoc,171076,626.8,0,03/02/2014
51699,A+ Building And Maintenance,Amenity Facilities,Property Maintenance Ad Hoc,171606,699,0,13/02/2014
51699,A+ Building And Maintenance,Capital Sprts Centres And Pool,Major Build Works,171804,1038,0,19/02/2014
51699,A+ Building And Maintenance,Beaches & Foreshores,Property Maintenance Ad Hoc,172358,2325,0,05/03/2014
51699,A+ Building And Maintenance,Public Conveniences,Property Maintenance Ad Hoc,172851,6816.1,0,13/03/2014
51699,A+ Building And Maintenance,Beach Properties,Property Maintenance Ad Hoc,173188,885,0,24/03/2014
820581,Ac Archaeology,Aonb And Countryside,Technical Support,160285,5650,0,28/05/2013
820581,Ac Archaeology,Aonb And Countryside,Technical Support,166160,2000,0,07/10/2013
861118,Achilles Information Ltd,Financial Services,Consultancy=Advice,172717,630,0,13/03/2014
707970,Acs Ltd,Hsg And Council Tax Admin,Consultancy=Advice,160780,650,0,10/06/2013
707970,Acs Ltd,Hsg And Council Tax Admin,Consultancy=Advice,161106,650,0,17/06/2013
707970,Acs Ltd,Hsg And Council Tax Admin,Consultancy=Advice,163741,1950,0,12/08/2013
707970,Acs Ltd,Hsg And Council Tax Admin,Consultancy=Advice,170939,975,0,03/02/2014
150908,Addicott Electrics Ltd,Corporate Buildings,Planned Mtce Sa Corp Budget,166664,1025,0,21/10/2013
449111,Addressing & Mailing Solutions,Elections,Non Property Contractors,163542,878.04,0,08/08/2013
601331,Advanced Business Solutions,Capital Comms Business System,It Software Purchase/Upgrade,158515,500,0,25/04/2013
601331,Advanced Business Solutions,Financial Services,It Software Annual Costs,166424,10243.11,0,10/10/2013
601331,Advanced Business Solutions,Capital Comms Business System,It Software Purchase/Upgrade,171284,4500,0,06/02/2014
601331,Advanced Business Solutions,Financial Services,Election - Ee Assistance,172330,8149.76,0,05/03/2014
601331,Advanced Business Solutions,Financial Services,It Software Annual Costs,172491,3798.89,0,05/03/2014
601331,Advanced Business Solutions,Financial Services,It Software Annual Costs,172495,745.94,0,05/03/2014
516317,Advanced Legal Solutions Ltd,Public Health,Books And Publications,159378,916,0,13/05/2013
252566,Advantage South West Llp,Supervision And Mgt Special,Subscriptions Not Publications,158175,13935,0,15/04/2013
17000,Aecom Limited,Corporate Buildings,Non Property Contractors,167806,9774.88,0,14/11/2013
17000,Aecom Limited,Corporate Buildings,Non Property Contractors,168533,8873.47,0,03/12/2013
17000,Aecom Limited,Corporate Buildings,Non Property Contractors,169873,8873.47,0,09/01/2014
17000,Aecom Limited,Corporate Buildings,Non Property Contractors,171297,8873.47,0,06/02/2014
17000,Aecom Limited,Corporate Buildings,Non Property Contractors,172503,8873.47,0,05/03/2014
17000,Aecom Limited,Corporate Buildings,Consultancy=Advice,173664,8873.74,0,28/03/2014
108780,Agripa Solutions Ltd,Refuse Collection & Recycling,Equipment & Plant Purchase,161859,2645,0,01/07/2013
658964,Airwatch,Ict Services,It Software Annual Costs,171116,3984,0,03/02/2014
114,Alarmtec Limited,Capital Sprts Centres And Pool,Major Build Works,166033,3370.33,0,04/11/2013
651323,Allegion Uk Limited,Employer'S Responsibilities,It Software Annual Costs,166086,7918.76,0,07/10/2013
651323,Allegion Uk Limited,Employer'S Responsibilities,It Software Annual Costs,172539,7918.76,0,11/03/2014
411906,Allstar Business Solutions Ltd,Short Term Debtors - Bs,Vehicle Fuel,158372,17095.25,0,18/04/2013
411906,Allstar Business Solutions Ltd,Short Term Debtors - Bs,Vehicle Fuel,159404,17327.58,0,13/05/2013
411906,Allstar Business Solutions Ltd,Short Term Debtors - Bs,Vehicle Fuel,161455,16687.46,0,20/06/2013
411906,Allstar Business Solutions Ltd,Short Term Debtors - Bs,Vehicle Fuel,162403,16106.6,0,11/07/2013
411906,Allstar Business Solutions Ltd,Short Term Debtors - Bs,Vehicle Fuel,164094,17698.47,0,19/08/2013
411906,Allstar Business Solutions Ltd,Short Term Debtors - Bs,Vehicle Fuel,165536,17892.42,0,23/09/2013
411906,Allstar Business Solutions Ltd,Short Term Debtors - Bs,Vehicle Fuel,166691,15788.45,0,17/10/2013
411906,Allstar Business Solutions Ltd,Short Term Debtors - Bs,Vehicle Fuel,167674,15769.72,0,11/11/2013
411906,Allstar Business Solutions Ltd,Short Term Debtors - Bs,Vehicle Fuel,169340,14830.05,0,20/12/2013
411906,Allstar Business Solutions Ltd,Short Term Debtors - Bs,Vehicle Fuel,171109,12793.06,0,03/02/2014
411906,Allstar Business Solutions Ltd,Short Term Debtors - Bs,Vehicle Fuel,171653,15348.26,0,13/02/2014
411906,Allstar Business Solutions Ltd,Short Term Debtors - Bs,Vehicle Fuel,172625,14494.86,0,11/03/2014
300401,Alphabet (Gb) Limited,Supervision And Mgt General,Disallowable Vat,159259,363.2,363.2,13/05/2013
300401,Alphabet (Gb) Limited,Supervision And Mgt General,Lease Car Payment,159259,4317.13,0,13/05/2013
