Jun-23,,,,,
,,,,,
Organisation Name,Supplier (Beneficiary),Procurement (Merchant) Category,Purchase Date,Settlement Date,Gross Amount (£)
Stockport MBC,AMZNMKTPLACE AMAZON.CO,MISCELLANEOUS AND SPECIALTY RETAIL STORES,26/06/2023,16.07.2023,15.48
Stockport MBC,ZOOM.US 888-799-9666,TELECOM INCL PREPAID/RECURRING PHONE SVCS,26/06/2023,16.07.2023,143.88
Stockport MBC,MARKS&SPENCER PLC,"GROCERY STORES, SUPERMARKETS",26/06/2023,16.07.2023,418
Stockport MBC,EB  SAFEGUARDING ADULT,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,26/06/2023,16.07.2023,234
Stockport MBC,AMZNMKTPLACE AMAZON.CO,MISCELLANEOUS AND SPECIALTY RETAIL STORES,26/06/2023,16.07.2023,7.99
Stockport MBC,BKG HOTEL AT BOOKING.C,TRAVEL AGENCIES AND TOUR OPERATORS,26/06/2023,16.07.2023,288
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",26/06/2023,16.07.2023,17.63
Stockport MBC,TESCO STORES 3378,"GROCERY STORES, SUPERMARKETS",26/06/2023,16.07.2023,42.95
Stockport MBC,PADDLE.NET  SNAPWIDGET,DIGITAL GOODS SOFTWARE APPLICATIONS,26/06/2023,16.07.2023,53.58
Stockport MBC,ASDA STORES 4840,"GROCERY STORES, SUPERMARKETS",26/06/2023,16.07.2023,77.57
Stockport MBC,TRAINLINE.COM,PASSENGER RAILWAYS,26/06/2023,16.07.2023,37.59
Stockport MBC,FACEBK 4882LQ3A22,ADVERTISING SERVICES,26/06/2023,16.07.2023,50.49
Stockport MBC,SAINSBURY'S S/MKTS,"GROCERY STORES, SUPERMARKETS",25/06/2023,16.07.2023,7.05
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,25/06/2023,16.07.2023,9.99
Stockport MBC,AMAZON.CO.UK CE1HZ8P55,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,25/06/2023,16.07.2023,20.28
Stockport MBC,AMZNMKTPLACE AMAZON.CO,MISCELLANEOUS AND SPECIALTY RETAIL STORES,25/06/2023,16.07.2023,19.99
Stockport MBC,AMAZON.CO.UK 896KP40T5,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,25/06/2023,16.07.2023,105
Stockport MBC,GOOGLE ADS8179771860,ADVERTISING SERVICES,24/06/2023,16.07.2023,500
Stockport MBC,SAINSBURY'S S/MKTS,"GROCERY STORES, SUPERMARKETS",24/06/2023,16.07.2023,2.35
Stockport MBC,MIRO.COM,"COMP PROGRAMING,DATA PRCSNG,INTGRTD SYS DSGN SRVS",24/06/2023,16.07.2023,349.04
Stockport MBC,TRAVELODG TRAVELODGE G,TRAVELODGE,23/06/2023,16.07.2023,70.87
Stockport MBC,AMAZON.CO.UK ZF2GN4NJ5,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,23/06/2023,16.07.2023,25.99
Stockport MBC,ALMA LODGE HOTEL,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",23/06/2023,16.07.2023,354
Stockport MBC,WWW.HEALTHCARECONFEREN,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,23/06/2023,16.07.2023,318.6
Stockport MBC,ASDA STORES 4840,"GROCERY STORES, SUPERMARKETS",23/06/2023,16.07.2023,10.35
Stockport MBC,TRAINLINE,PASSENGER RAILWAYS,23/06/2023,16.07.2023,694.69
Stockport MBC,PREMIER INN,PREMIER INN,23/06/2023,16.07.2023,-211.98
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",23/06/2023,16.07.2023,14.99
Stockport MBC,JSA PRINT,MISCELLANEOUS PUBLISHING AND PRINTING,23/06/2023,16.07.2023,49.78
Stockport MBC,SPAR HOPE,"GROCERY STORES, SUPERMARKETS",23/06/2023,16.07.2023,18.68
Stockport MBC,BATTERYSTATION.CO.UK,MISCELLANEOUS AND SPECIALTY RETAIL STORES,23/06/2023,16.07.2023,68.75
Stockport MBC,PAYPAL  ACONNECT,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,22/06/2023,16.07.2023,254
Stockport MBC,ALDI 84 773,"GROCERY STORES, SUPERMARKETS",22/06/2023,16.07.2023,84.64
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,23/06/2023,16.07.2023,152.38
Stockport MBC,SPAR HOPE,"GROCERY STORES, SUPERMARKETS",22/06/2023,16.07.2023,7.55
Stockport MBC,BKG HOTEL AT BOOKING.C,TRAVEL AGENCIES AND TOUR OPERATORS,22/06/2023,16.07.2023,88
Stockport MBC,TESCO STORES 6380,"GROCERY STORES, SUPERMARKETS",22/06/2023,16.07.2023,30
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",22/06/2023,16.07.2023,20.43
Stockport MBC,TRAINLINE.COM,PASSENGER RAILWAYS,22/06/2023,16.07.2023,161.14
Stockport MBC,BKG HOTEL AT BOOKING.C,TRAVEL AGENCIES AND TOUR OPERATORS,22/06/2023,16.07.2023,118
Stockport MBC,EB  NORTHERN POWERHOUS,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,22/06/2023,16.07.2023,90
Stockport MBC,PRINTMYTICKETS.CO.,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",22/06/2023,16.07.2023,39.49
Stockport MBC,TENPIN LTD - 184,"CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF",22/06/2023,16.07.2023,115.73
Stockport MBC,TENPIN LTD - 184,"CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF",22/06/2023,16.07.2023,77.4
Stockport MBC,ASDA STORES 4840,"GROCERY STORES, SUPERMARKETS",22/06/2023,16.07.2023,2.8
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",22/06/2023,16.07.2023,12.95
Stockport MBC,WICKES STOCKPORT,HOME SUPPLY WAREHOUSE STORES,22/06/2023,16.07.2023,2.25
Stockport MBC,TRAINLINE.COM,PASSENGER RAILWAYS,22/06/2023,16.07.2023,161.14
Stockport MBC,TESCO STORES 3378,"GROCERY STORES, SUPERMARKETS",22/06/2023,16.07.2023,29.76
Stockport MBC,COSTCO WHOLESALE #112,"BUYING/SHOPPING CLUBS, SERVICES",22/06/2023,16.07.2023,165.06
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,22/06/2023,16.07.2023,38.3
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",22/06/2023,16.07.2023,8.04
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,22/06/2023,16.07.2023,13.49
Stockport MBC,MENTIMETER BASIC,COMPUTER SOFTWARE STORES,22/06/2023,16.07.2023,140.08
Stockport MBC,TRAINLINE,PASSENGER RAILWAYS,22/06/2023,16.07.2023,392.66
Stockport MBC,GO OUTDOORS,SPORTING GOODS STORES,22/06/2023,16.07.2023,21.25
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",22/06/2023,16.07.2023,5.25
Stockport MBC,LINKEDIN ADS 165971284,ADVERTISING SERVICES,22/06/2023,16.07.2023,33.85
Stockport MBC,SAINSBURY'S S/MKTS,"GROCERY STORES, SUPERMARKETS",22/06/2023,16.07.2023,7.2
Stockport MBC,WWW.FFX.CO.UK,"BUILDING MATERIALS, LUMBER STORES",22/06/2023,16.07.2023,88.5
Stockport MBC,PEARSON EDUCATION LTD.,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,22/06/2023,16.07.2023,30.46
Stockport MBC,GO OUTDOORS,SPORTING GOODS STORES,21/06/2023,16.07.2023,30
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",21/06/2023,16.07.2023,25.92
Stockport MBC,B&M 518 - EDGELEY,MISCELLANEOUS GENERAL MERCHANDISE,21/06/2023,16.07.2023,9.78
Stockport MBC,TRAINLINE.COM,PASSENGER RAILWAYS,21/06/2023,16.07.2023,10.79
Stockport MBC,W M MORRISON STORE,"GROCERY STORES, SUPERMARKETS",21/06/2023,16.07.2023,2.5
Stockport MBC,ASDA GROCERIES ONLINE,"GROCERY STORES, SUPERMARKETS",21/06/2023,16.07.2023,137.28
Stockport MBC,NHS SUPPLYCHAIN PORTAL,"HEALTH PRACTITIONERS, MEDICAL SRVCS-NOT ELSEWHERE",21/06/2023,16.07.2023,109.2
Stockport MBC,ASDA STORES 4840,"GROCERY STORES, SUPERMARKETS",21/06/2023,16.07.2023,3.7
Stockport MBC,TENPIN LTD - 184,"CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF",21/06/2023,16.07.2023,124.45
Stockport MBC,TENPIN LTD - 184,"CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF",21/06/2023,16.07.2023,77.8
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",21/06/2023,16.07.2023,23.29
Stockport MBC,WWW.ARGOS.CO.UK,DEPARTMENT STORES,21/06/2023,16.07.2023,20
Stockport MBC,MY.MORRISONS.COM,"GROCERY STORES, SUPERMARKETS",21/06/2023,16.07.2023,20
Stockport MBC,MY.MORRISONS.COM,"GROCERY STORES, SUPERMARKETS",21/06/2023,16.07.2023,20
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,21/06/2023,16.07.2023,35.62
Stockport MBC,SAINSBURY'S S/MKTS,"GROCERY STORES, SUPERMARKETS",21/06/2023,16.07.2023,2.5
Stockport MBC,TRAINLINE.COM,PASSENGER RAILWAYS,21/06/2023,16.07.2023,22.82
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",21/06/2023,16.07.2023,13.15
Stockport MBC,AMAZON.CO.UK IK4CA1ES5,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,21/06/2023,16.07.2023,79.99
Stockport MBC,ASDA GROCERIES ONLINE,"GROCERY STORES, SUPERMARKETS",21/06/2023,16.07.2023,-0.25
Stockport MBC,TRAINLINE,PASSENGER RAILWAYS,20/06/2023,16.07.2023,35.45
Stockport MBC,TRAINLINE.COM,PASSENGER RAILWAYS,20/06/2023,16.07.2023,37.18
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,20/06/2023,16.07.2023,15.98
Stockport MBC,TRAINLINE.COM,PASSENGER RAILWAYS,20/06/2023,16.07.2023,22.31
Stockport MBC,STOCKPORT METROPOLITAN,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,20/06/2023,16.07.2023,106.15
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",20/06/2023,16.07.2023,13.54
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,20/06/2023,16.07.2023,49.9
Stockport MBC,SAINSBURY'S S/MKTS,"GROCERY STORES, SUPERMARKETS",20/06/2023,16.07.2023,6.6
Stockport MBC,WORLD OF SWEETS HANCOC,"CANDY, NUT, CONFECTIONERY STORES",20/06/2023,16.07.2023,68.33
Stockport MBC,TESCO STORES 3378,"GROCERY STORES, SUPERMARKETS",20/06/2023,16.07.2023,8
Stockport MBC,HOWARTH TIMBER,"BUILDING MATERIALS, LUMBER STORES",20/06/2023,16.07.2023,122.69
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,20/06/2023,16.07.2023,15.96
Stockport MBC,ASDA SUPERSTORE,"GROCERY STORES, SUPERMARKETS",20/06/2023,16.07.2023,9.25
Stockport MBC,B & Q 1279,HOME SUPPLY WAREHOUSE STORES,19/06/2023,16.07.2023,61.02
Stockport MBC,AMAZON PRIME TW8XD5AV5,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,19/06/2023,16.07.2023,8.99
Stockport MBC,BKG HOTEL AT BOOKING.C,TRAVEL AGENCIES AND TOUR OPERATORS,19/06/2023,16.07.2023,102
Stockport MBC,FINANCIAL TIMES,"BOOKS,PERIODICALS AND NEWSPAPERS",19/06/2023,16.07.2023,525
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",19/06/2023,16.07.2023,23.79
Stockport MBC,TRAINLINE,PASSENGER RAILWAYS,19/06/2023,16.07.2023,37.59
Stockport MBC,ASDA STORES 4840,"GROCERY STORES, SUPERMARKETS",19/06/2023,16.07.2023,82.38
Stockport MBC,GREGGS PLC,"EATING PLACES, RESTAURANTS",19/06/2023,16.07.2023,30.8
Stockport MBC,ASDA GROCERIES ONLINE,"GROCERY STORES, SUPERMARKETS",19/06/2023,16.07.2023,40.5
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",19/06/2023,16.07.2023,0.99
Stockport MBC,FASTHOSTS,COMPUTER NETWORK/INFORMATION SERVICES,18/06/2023,16.07.2023,28.78
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,19/06/2023,16.07.2023,59.15
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,19/06/2023,16.07.2023,87.25
Stockport MBC,HOUSING UNITS LTD,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",18/06/2023,16.07.2023,79
Stockport MBC,SQ  HOUSING UNITS LIMI,"EATING PLACES, RESTAURANTS",18/06/2023,16.07.2023,28.5
Stockport MBC,MANCHESTER SUPER STORE,"GROCERY STORES, SUPERMARKETS",18/06/2023,16.07.2023,84.25
Stockport MBC,MSS BUTCHERS (LONGSIGH,"FREEZER, LOCKER MEAT PROVISIONERS",18/06/2023,16.07.2023,9.99
Stockport MBC,AMAZON.CO.UK 7D0IR9GT5,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,18/06/2023,16.07.2023,73.71
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,18/06/2023,16.07.2023,34.2
Stockport MBC,AMZNMKTPLACE AMAZON.CO,MISCELLANEOUS AND SPECIALTY RETAIL STORES,18/06/2023,16.07.2023,85.88
Stockport MBC,ASDA SUPERSTORE,"GROCERY STORES, SUPERMARKETS",17/06/2023,16.07.2023,15
Stockport MBC,NEXT RETAIL LTD,FAMILY CLOTHING STORES,17/06/2023,16.07.2023,86.15
Stockport MBC,SAINSBURY'S S/MKTS,"GROCERY STORES, SUPERMARKETS",17/06/2023,16.07.2023,6.6
Stockport MBC,EASILY LTD,COMPUTER NETWORK/INFORMATION SERVICES,17/06/2023,16.07.2023,7.5
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",16/06/2023,16.07.2023,-15.56
Stockport MBC,GOOGLE ADS8179771860,ADVERTISING SERVICES,16/06/2023,16.07.2023,500
Stockport MBC,BKG HOTEL AT BOOKING.C,TRAVEL AGENCIES AND TOUR OPERATORS,16/06/2023,16.07.2023,262
Stockport MBC,WWW.ALDC.ORG,MISCELLANEOUS AND SPECIALTY RETAIL STORES,16/06/2023,16.07.2023,690
Stockport MBC,LINKEDIN ADS 914829924,ADVERTISING SERVICES,16/06/2023,16.07.2023,55.3
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,16/06/2023,16.07.2023,10.3
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",16/06/2023,16.07.2023,13.94
Stockport MBC,TFGM,BUS LINES,16/06/2023,16.07.2023,10
Stockport MBC,BLACKPOOL PLEASURE,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED),16/06/2023,16.07.2023,198
Stockport MBC,FASTHOSTS,COMPUTER NETWORK/INFORMATION SERVICES,16/06/2023,16.07.2023,38.38
Stockport MBC,AMZNMKTPLACE AMAZON.CO,MISCELLANEOUS AND SPECIALTY RETAIL STORES,15/06/2023,16.07.2023,18.99
Stockport MBC,HACHETTE UK DISTRIBUTI,"BOOKS,PERIODICALS AND NEWSPAPERS",15/06/2023,16.07.2023,112.37
Stockport MBC,HACHETTE UK DISTRIBUTI,"BOOKS,PERIODICALS AND NEWSPAPERS",15/06/2023,16.07.2023,49.95
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",15/06/2023,16.07.2023,2.3
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,15/06/2023,16.07.2023,89.94
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,15/06/2023,16.07.2023,50.93
Stockport MBC,WWW.ARGOS.CO.UK,DEPARTMENT STORES,15/06/2023,16.07.2023,82.94
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,15/06/2023,16.07.2023,96.09
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,15/06/2023,16.07.2023,49.99
Stockport MBC,DUNELM SOFTFURNISHINGS,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",15/06/2023,16.07.2023,45
Stockport MBC,WWW.INSTANTPRINT.C,"QUICK COPY,REPRODUCTION AND BLUEPRINTING SERVICES",15/06/2023,16.07.2023,66.64
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",15/06/2023,16.07.2023,14.9
Stockport MBC,WWW.TEAMTEACH.CO.UK,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,15/06/2023,16.07.2023,475.99
Stockport MBC,DREAMHOUSE INC,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",15/06/2023,16.07.2023,200
Stockport MBC,ASDA STORES 4840,"GROCERY STORES, SUPERMARKETS",15/06/2023,16.07.2023,4
Stockport MBC,TESCO STORES 3378,"GROCERY STORES, SUPERMARKETS",15/06/2023,16.07.2023,48.72
Stockport MBC,ANNA FREUD CENTRE,"ORGANIZATIONS, CHARITABLE AND SOCIAL SERVICES",15/06/2023,16.07.2023,180
Stockport MBC,THE WORKS,DISCOUNT STORES,14/06/2023,16.07.2023,6
Stockport MBC,THE WORKS,DISCOUNT STORES,14/06/2023,16.07.2023,27
Stockport MBC,PREMIER INN,PREMIER INN,14/06/2023,16.07.2023,102.49
Stockport MBC,AMAZON.CO.UK TE7X860V5,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,15/06/2023,16.07.2023,27
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,15/06/2023,16.07.2023,49.98
Stockport MBC,FIND A WILL,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,14/06/2023,16.07.2023,1.5
Stockport MBC,"GITHUB, INC.","COMP PROGRAMING,DATA PRCSNG,INTGRTD SYS DSGN SRVS",14/06/2023,16.07.2023,82.46
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",14/06/2023,16.07.2023,8.13
Stockport MBC,ASDA GROCERIES ONLINE,"GROCERY STORES, SUPERMARKETS",14/06/2023,16.07.2023,115.73
Stockport MBC,TESCO STORES 3378,"GROCERY STORES, SUPERMARKETS",14/06/2023,16.07.2023,89.35
Stockport MBC,ASDA SUPERSTORE,"GROCERY STORES, SUPERMARKETS",14/06/2023,16.07.2023,7.75
Stockport MBC,TOTALLY T SHIRTS LTD,MEN'S AND WOMEN'S CLOTHING STORES,14/06/2023,16.07.2023,500
Stockport MBC,NHS SUPPLYCHAIN PORTAL,"HEALTH PRACTITIONERS, MEDICAL SRVCS-NOT ELSEWHERE",14/06/2023,16.07.2023,109.2
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",14/06/2023,16.07.2023,13.84
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",14/06/2023,16.07.2023,19.75
Stockport MBC,TRAINLINE.COM,PASSENGER RAILWAYS,14/06/2023,16.07.2023,103.42
Stockport MBC,LEONARDO HTL LEEDS ECO,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",14/06/2023,16.07.2023,614.25
Stockport MBC,TRAINLINE,PASSENGER RAILWAYS,14/06/2023,16.07.2023,198.54
Stockport MBC,TRAINLINE.COM,PASSENGER RAILWAYS,14/06/2023,16.07.2023,47.17
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",14/06/2023,16.07.2023,13.07
Stockport MBC,EB  DIGITAL LEADERS 10,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,14/06/2023,16.07.2023,"1,079.80"
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,14/06/2023,16.07.2023,2.25
Stockport MBC,HIGH STREET VOUCHERS,DEPARTMENT STORES,14/06/2023,16.07.2023,25
Stockport MBC,CO-OP GROUP 108689,"GROCERY STORES, SUPERMARKETS",14/06/2023,16.07.2023,5.65
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,14/06/2023,16.07.2023,32.27
Stockport MBC,HOWARTH TIMBER,"BUILDING MATERIALS, LUMBER STORES",14/06/2023,16.07.2023,122.69
