Lord Browne,,,,,,,,
Business Expenses: April-June 2014,,,,,,,,
,,,,,,,,
DATES,DESTINATION,PURPOSE,TRAVEL,,,,OTHER (Including Hospitality Given),Total Cost £
,,,,,,,,
,,,Air,Rail,Taxi/Car,Accommodation/Meals,,
,,,,,,,,0
Hospitality Received,,,,,,,,
Date ,Organisation Name,,Type of Hospitality Received,,,,,
Nil,,,,,,,,
,,,,,,,,
,,,,,,,,
"Edward Chaplin, Cabinet Office",,,,,,,,
Business Expenses: April-June 2014,,,,,,,,
,,,,,,,,
DATES,DESTINATION,PURPOSE,TRAVEL,,,,OTHER (Including Hospitality Given),Total Cost £
,,,,,,,,
,,,Air,Rail,Taxi/Car,Accommodation/Meals,,
,,,,,,,,0
Hospitality Received,,,,,,,,
Date ,Organisation Name,,Type of Hospitality Received,,,,,
Nil,,,,,,,,
,,,,,,,,
,,,,,,,,
"David Cook, Parliamentary Counsel",,,,,,,,
Business Expenses: April-June 2014,,,,,,,,
,,,,,,,,
DATES,DESTINATION,PURPOSE,TRAVEL,,,,OTHER (Including Hospitality Given),Total Cost £
,,,,,,,,
,,,Air,Rail,Taxi/Car,Accommodation/Meals,,
4-6 June 14,Washington,To attend an international conference on legislative drafting and law reform,614.45,10,15.47,177.09,,817.01
Hospitality Received,,,,,,,,
Date ,Organisation Name,,Type of Hospitality Received,,,,,
Nil,,,,,,,,
,,,,,,,,
,,,,,,,,
"Bill  Crothers, Cabinet Office",,,,,,,,
Business Expenses: April-June 2014,,,,,,,,
,,,,,,,,
DATES,DESTINATION,PURPOSE,TRAVEL,,,,OTHER (Including Hospitality Given),Total Cost £
,,,,,,,,
,,,Air,Rail,Taxi/Car,Accommodation/Meals,,
28-Apr-14,Liverpool,Meeting,,79.7,,68,,147.7
Hospitality Received,,,,,,,,
Date ,Organisation Name,,Type of Hospitality Received,,,,,
Nil,,,,,,,,
,,,,,,,,
,,,,,,,,
Ian Davis ,,,,,,,,
Business Expenses: April-June 2014,,,,,,,,
,,,,,,,,
DATES,DESTINATION,PURPOSE,TRAVEL,,,,OTHER (Including Hospitality Given),Total Cost £
,,,,,,,,
,,,Air,Rail,Taxi/Car,Accommodation/Meals,,
,,,,,,,,0
Hospitality Received,,,,,,,,
Date ,Organisation Name,,Type of Hospitality Received,,,,,
Nil,,,,,,,,
,,,,,,,,
,,,,,,,,
"Melanie Dawes, Cabinet Office",,,,,,,,
Business Expenses: April-June 2014,,,,,,,,
,,,,,,,,
DATES,DESTINATION,PURPOSE,TRAVEL,,,,OTHER (Including Hospitality Given),Total Cost £
,,,,,,,,
,,,Air,Rail,Taxi/Car,Accommodation/Meals,,
15-16 May 14,Berkhampsted,Training course,,28.2,,170.4,,198.6
Hospitality Received,,,,,,,,
Date ,Organisation Name,,Type of Hospitality Received,,,,,
13-May-14,PWC,,Lunch,,,,,
,,,,,,,,
,,,,,,,,
Rona Fairhead,,,,,,,,
Business Expenses: April-June 2014,,,,,,,,
,,,,,,,,
DATES,DESTINATION,PURPOSE,TRAVEL,,,,OTHER (Including Hospitality Given),Total Cost £
,,,,,,,,
,,,Air,Rail,Taxi/Car,Accommodation/Meals,,
,,,,,,,,0
Hospitality Received,,,,,,,,
Date ,Organisation Name,,Type of Hospitality Received,,,,,
Nil,,,,,,,,
,,,,,,,,
,,,,,,,,
"Elizabeth Gardiner, Parliamentary Counsel",,,,,,,,
Business Expenses: April-June 2014,,,,,,,,
,,,,,,,,
DATES,DESTINATION,PURPOSE,TRAVEL,,,,OTHER (Including Hospitality Given),Total Cost £
,,,,,,,,
,,,Air,Rail,Taxi/Car,Accommodation/Meals,,
,,,,,,,,0
Hospitality Received,,,,,,,,
Date ,Organisation Name,,Type of Hospitality Received,,,,,
Nil,,,,,,,,
,,,,,,,,
,,,,,,,,
"Sue Gray, Cabinet Office ",,,,,,,,
Business Expenses: April-June 2014,,,,,,,,
,,,,,,,,
DATES,DESTINATION,PURPOSE,TRAVEL,,,,OTHER (Including Hospitality Given),Total Cost £
,,,,,,,,
,,,Air,Rail,Taxi/Car,Accommodation/Meals,,
29-Apr-14,Office to Home,Late night working,,,83.7,,,83.7
Hospitality Received,,,,,,,,
Date ,Organisation Name,,Type of Hospitality Received,,,,,
Nil,,,,,,,,
,,,,,,,,
,,,,,,,,
"Richard Heaton, Cabinet Office and Parliamentary Counsel",,,,,,,,
Business Expenses: April-June 2014,,,,,,,,
,,,,,,,,
DATES,DESTINATION,PURPOSE,TRAVEL,,,,OTHER (Including Hospitality Given),Total Cost £
,,,,,,,,
,,,Air,Rail,Taxi/Car,Accommodation/Meals,,
15-May-14,Berkhampsted,Away Day,,33,,170.4,,203.4
20-21 May 14,Sevenoaks,Future Leadership Conference,,22.9,10,,,32.9
13-Jun-14,Liverpool,Hillsborough Justice Campaign on the Wikipedia edits investigation,,301,41,,,342
18-Jun-14,Bristol,Civil Service Live,,226.9,26,,,252.9
25-Jun-14,Liverpool,Civil Service Live,,139.5,,,,139.5
Hospitality Received,,,,,,,,
Date ,Organisation Name,,Type of Hospitality Received,,,,,
28-Apr-14,FDA ,,Lunch,,,,,
03-Jun-14,BAE Systems ,,Lunch,,,,,
11-Jun-14,Lawworks,,Dinner,,,,,
,,,,,,,,
,,,,,,,,
"Sir Jeremy Heywood, Cabinet Secretary",,,,,,,,
Business Expenses: April-June 2014,,,,,,,,
,,,,,,,,
DATES,DESTINATION,PURPOSE,TRAVEL,,,,OTHER (Including Hospitality Given),Total Cost £
,,,,,,,,
,,,Air,Rail,Taxi/Car,Accommodation/Meals,,
15-16 May 14,Berkhampsted,Permanent Secretary Away Day,,18.7,,170.4,,189.1
Apr-Jun 14,,Use of official car*,,,"11,478.18",,,"11,478.18"
Hospitality Received,,,,,,,,
Date ,Organisation Name,,Type of Hospitality Received,,,,,
16 April 2014 **,Bank of America Merrill Lynch,,Reception and Exhibition,,,,,
22-Apr-14,CBI ,,Lunch  ,,,,,
23-Apr-14,The Daily Telegraph ,,Dinner ,,,,,
29-Apr-14,Marks & Spencer (Movement to Work),,Breakfast   ,,,,,
30-Apr-14,AIA Group Limited,,Dinner and Football Match ,,,,,
02-May-14,Black Rock,,Breakfast ,,,,,
7 May 2014 ***,McKinsey Annual Dinner,,Dinner,,,,,
12-May-14,GlaxoSmithKline ,,Dinner ,,,,,
19 May 2014 **,KPMG,,Chelsea Flower Show & Dinner,,,,,
21-May-14,CBI  ,,Annual Dinner,,,,,
27-May-14,KPMG ,,Lunch  ,,,,,
28-May-14,The British Museum,,Exhibition and working session with Permanent Secretaries,,,,,
30-May-14,Institute for Government,,Breakfast ,,,,,
02-Jun-14,Hakluyt,,Guest speaker at dinner,,,,,
06-Jun-14,SC Strategy Ltd ,,Breakfast ,,,,,
23 June 2014 **,Royal Academy,,Summer fund-raising exhibition,,,,,
24-Jun-14,Shriti Vadera Ltd ,,Dinner with Nigerian Finance Minister,,,,,
25-Jun-14,Council for Science & Technology,,Guest speaker at Dinner discussion,,,,,
,,,,,,,,
*Cabinet Office Ministers and other civil servants also have use of the car.,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"** Indicates accompanied by spouse, friend or family member        
",,,,,,,,
*** Accompanied his wife to her employer's annual dinner. ,,,,,,,,
,,,,,,,,
,,,,,,,,
"Catherine Johnston, Parliamentary Counsel",,,,,,,,
Business Expenses: April-June 2014,,,,,,,,
,,,,,,,,
DATES,DESTINATION,PURPOSE,TRAVEL,,,,OTHER (Including Hospitality Given),Total Cost £
,,,,,,,,
,,,Air,Rail,Taxi/Car,Accommodation/Meals,,
,,,,,,,,0
Hospitality Received,,,,,,,,
