Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,RCDTS,06/02/2020,Inwd Secondmnt Costs,RCDTS,HM REVENUE & CUSTOMS,5100000679,"56,143.00",Inwd Secondmnt Costs,BN12 4XH,,,,
HMRC,RCDTS,10/02/2020,Tablet computers,RCDTS,COMPUTACENTER (UK) LTD,5100000682,"70,760.00",Tablet computers,AL10 9TW,,,,
HMRC,RCDTS,10/02/2020,Computer accessories,RCDTS,COMPUTACENTER (UK) LTD,5100000684,"64,693.50",Computer accessories,AL10 9TW,,,,
HMRC,RCDTS,10/02/2020,Computer accessories,RCDTS,COMPUTACENTER (UK) LTD,5100000685,64700,Computer accessories,AL10 9TW,,,,
HMRC,RCDTS,10/02/2020,Computer accessories,RCDTS,COMPUTACENTER (UK) LTD,5100000686,"49,723.50",Computer accessories,AL10 9TW,,,,
HMRC,RCDTS,10/02/2020,Computer accessories,RCDTS,COMPUTACENTER (UK) LTD,5100000687,"79,842.00",Computer accessories,AL10 9TW,,,,
HMRC,RCDTS,10/02/2020,Tablet computers,RCDTS,COMPUTACENTER (UK) LTD,5100000688,"70,760.00",Tablet computers,AL10 9TW,,,,
HMRC,RCDTS,10/02/2020,Tablet computers,RCDTS,COMPUTACENTER (UK) LTD,5100000689,"70,760.00",Tablet computers,AL10 9TW,,,,
HMRC,RCDTS,10/02/2020,Tablet computers,RCDTS,COMPUTACENTER (UK) LTD,5100000690,"70,760.00",Tablet computers,AL10 9TW,,,,
HMRC,RCDTS,10/02/2020,Tablet computers,RCDTS,COMPUTACENTER (UK) LTD,5100000691,"70,760.00",Tablet computers,AL10 9TW,,,,
HMRC,RCDTS,11/02/2020,Computer accessories,RCDTS,CHG-MERIDIAN COMPUTER,5100000692,"45,253.23",Computer accessories,TW20 9AB,,,,
HMRC,RCDTS,11/02/2020,Computer accessories,RCDTS,CHG-MERIDIAN COMPUTER,5100000694,"105,590.88",Computer accessories,TW20 9AB,,,,
HMRC,RCDTS,11/02/2020,Computer accessories,RCDTS,CHG-MERIDIAN COMPUTER,5100000695,"60,337.64",Computer accessories,TW20 9AB,,,,
HMRC,RCDTS,11/02/2020,Computer accessories,RCDTS,CHG-MERIDIAN COMPUTER,5100000696,60337.64,Computer accessories,TW20 9AB,,,,
HMRC,RCDTS,11/02/2020,Tablet computers,RCDTS,CHG-MERIDIAN COMPUTER,5100000697,"90,506.47",Tablet computers,TW20 9AB,,,,
HMRC,RCDTS,11/02/2020,Same Day Del. Sched.,RCDTS,CTS (GB) LTD,5100000698,"31,995.00",Same Day Del. Sched.,RG7 2PQ,,,,
HMRC,RCDTS,17/02/2020,Inwd Secondmnt Costs,RCDTS,HM REVENUE & CUSTOMS,5100000680,"69,390.22",Inwd Secondmnt Costs,BN12 4XH,,,,
HMRC,RCDTS,19/02/2020,Conference Calling,RCDTS,BT GROUP PLC,5100000701,18910.46,Conference Calling,EC1A 7AJ,,,,
HMRC,RCDTS,19/02/2020,Telephone Support,RCDTS,BT GROUP PLC,5100000701,"138,500.00",Telephone Support,EC1A 7AJ,,,,
HMRC,RCDTS,19/02/2020,WAN maint or supp,RCDTS,BT GROUP PLC,5100000701,"483,784.67",WAN maint or supp,EC1A 7AJ,,,,
HMRC,RCDTS,19/02/2020,SW Lic Sup mngd Serv,RCDTS,OPENTEXT,5100000702,"76,035.18",SW Lic Sup mngd Serv,RG6 1PT,,,,
HMRC,RCDTS,19/02/2020,SW Lic Sup mngd Serv,RCDTS,OPENTEXT,5100000703,173082.62,SW Lic Sup mngd Serv,RG6 1PT,,,,
HMRC,RCDTS,25/02/2020,SW Lic Sup Off shlf,RCDTS,PITNEY BOWES SOFTWARE EUROPE,5100000708,"29,308.84",SW Lic Sup Off shlf,AL10 9UJ,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
