Property Reference,Account Holder 1,Account Holder 2,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Liable From,RV,Property Description,Charity Y/N,Disc %,Mand %,SBRR Y/N,s44a Y/N,Hardship Y/N,Local Discount,Retail Relief Y/N
1.00E+13,MIRZA TRAVEL SERVICES LTD       ,                                ,DALE AUTO PARTS UNIT 1          ,CLAYCOURT BUILDING              ,CRAWFORD STREET                    ,ROCHDALE                           ,LANCS                           ,                                ,OL16 5RS,22.03.2018                                               ,2000,OFFICES AND PREMISES                                        ,N,0,0,N,N,N,N,N
1003708165442A     ,ROYAL MAIL GROUP PLC            ,                                ,PROGRESS HOUSE                  ,                                ,AINSWORTH STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1AA,01.04.2005                                               ,101000,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
1.00E+13,SHOE DIRECTORY LTD              ,                                ,C C G WINDSCREENS LTD           ,                                ,AINSWORTH STREET                   ,ROCHDALE                           ,LANCS                           ,                                ,OL16 5QX,01.07.2014                                               ,16750,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
1.01E+13,INPOST UK LIMITED               ,                                ,                                ,                                ,INPOST PARCEL LOCKER UKROC16346    ,ALBERT ROYDS STREET                ,ROCHDALE                        ,                                ,OL16 5AA,03.10.2014                                               ,1500,SITE OF ELECTRONIC DELIVERY LOCKERS & PREMISES              ,N,0,0,N,N,N,N,N
1.01E+13,FABTRAD LTD                     ,                                ,                                ,                                ,FABTRAD LTD                        ,ALBERT ROYDS STREET                ,ROCHDALE                        ,                                ,OL16 5AA,01.04.2015                                               ,132000,Warehouse and Premises                                      ,N,0,0,N,N,N,N,N
1.01E+13,MCCOLL'S RETAIL GROUP PLC       ,                                ,                                ,                                ,UNIT 1 MAYFIELD PARADE             ,ALBERT ROYDS STREET                ,ROCHDALE                        ,                                ,OL16 2UE,03.05.2017                                               ,30000,SHOP AND PREMISES                                           ,N,0,0,N,N,N,N,N
1.01E+13,CARDTRONICS UK LTD              ,                                ,                                ,                                ,ATM SITE AT                        ,UNIT 1 MAYFIELD PARADE             ,ALBERT ROYDS STREET             ,ROCHDALE                        ,OL16 2UE,03.05.2017                                               ,5900,SITE OF ATM                                                 ,N,0,0,N,N,N,N,N
1.01E+13,SPRINGHILL HOSPICE              ,(SERVICES) LTD                  ,UNIT 5 MAYFIELD PARADE          ,                                ,ALBERT ROYDS STREET                ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2UE,01.11.2016                                               ,11250,SHOP AND PREMISES                                           ,Y,20,80,N,N,N,N,N
1.01E+13,GLAMORGAN RETAIL LIMITED        ,                                ,UNIT 3 MAYFIELD PARADE          ,                                ,ALBERT ROYDS STREET                ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2UE,30.08.2012                                               ,12250,SHOP AND PREMISES                                           ,N,0,0,N,N,N,Y,Y
1.01E+13,TOTE BOOKMAKERS LTD             ,                                ,UNIT 2 MAYFIELD PARADE          ,                                ,ALBERT ROYDS STREET                ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2UE,01.12.2006                                               ,10750,SHOP AND PREMISES                                           ,N,0,0,N,N,N,N,N
10058X0002005B     ,J COONEY LTD                    ,                                ,J COONEY CIVIL ENGINEERING      ,                                ,ALBION ROAD                        ,ROCHDALE                           ,LANCS                           ,                                ,OL11 4HQ,01.04.2005                                               ,10500,WAREHOUSE AND PREMISES                                      ,N,0,0,Y,N,N,N,N
10058X00050075     ,ACRYATE RESEARCH AND DEVELOPMENT,LTD                             ,UNIT 3                          ,                                ,ALBION INDUSTRIAL ESTATE           ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4JB,15.04.2016                                               ,11500,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
10058X00090068     ,TECHGEAR SOLUTIONS DIRECT LTD   ,                                ,UNIT 7                          ,                                ,ALBION INDUSTRIAL ESTATE           ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4JB,01.09.2018                                               ,10750,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
