"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"DFE-2315","N/D","SCS1","Deputy Director","2021 Qualifications Deputy Director within the COVID Response and Recovery Group","Department for Education","Department for Education","2022 Exams","0370 000 2288","N/D","DFE-2490","583025","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2296","N/D","SCS1","Deputy Director","Deputy Director in School System Infrastructure Directorate with responsibility for developing policy and providing guidance on: school organisation matters, including the law and guidance regarding opening, changing and closing schools; home to school transport; school admissions and appeals; school uniform; and academies policy at a system level","Department for Education","Department for Education","Admissions, School Organisation, Transport and FRU","0370 000 2288","N/D","DFE-2312","2724785","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2458","N/D","SCS1","Deputy Director","Permanence, Care Leavers, Children's Rights and Family Justice Deputy Director","Department for Education","Department for Education","Adoption, Family Justice and Care Leavers","0370 000 2288","N/D","DFE-2059","1472781","1.00","N/A","N/A","","Other","South West","nan","1"
"DFE-2129","Peter Mucklow","SCS2","Director","Apprenticeships Director, the SRO for the apprenticeships programme in England. Responsibilities include agreeing the objectives of the programme and overseeing an end to end delivery function to ensure these objectives are met","Department for Education","Department for Education","Apprenticeships","0370 000 2288","N/D","DFE-2137","401550","1.00","105000","109999","","Other","Yorkshire and The Humber","nan","1"
"DFE-2478","N/D","SCS1","Deputy Director","Customer Experience, Data and Digital Deputy Director","Department for Education","Department for Education","Assessment Delivery","0370 000 2288","N/D","DFE-2124","1660336","1.00","N/A","N/A","","Other","North East","nan","1"
"DFE-2057","N/D","SCS1","Deputy Director","Deputy Director for the Standards and Testing Agency responsible for the operational delivery of test operations services associated with the KS1, KS2 National Curriculum Assessments and the phonics check.  Responsibilities also include the moderation or teacher assessment in English writing at KS1 and KS2.","Department for Education","Standard and Testing Agency","Assessment Operations and Services","0370 000 2288","N/D","DFE-2135","2412337","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2030","N/D","SCS1","Deputy Director","Assessment Development Deputy Director","Department for Education","Standard and Testing Agency","Assessment Research and Development","0370 000 2288","N/D","DFE-2135","2806301","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2127","N/D","SCS1","Deputy Director","Apprenticeships Deputy Director","Department for Education","Department for Education","Assessment, Standards, Quality and Provider Market Strategy","0370 000 2288","N/D","DFE-2129","1625250","1.00","N/A","N/A","","Other","East Midlands","nan","1"
"DFE-2192","N/D","SCS1","Deputy Director","Assurance Deputy Director","Department for Education","Education and Skills Funding Agency","Assurance","0370 000 2288","N/D","DFE-2146","2666966","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2364","N/D","SCS1","Deputy Director","Intelligence and Evidence Deputy Director within COVID Response and Recovery Group","Department for Education","Department for Education","Attendance","0370 000 2288","N/D","DFE-2326","1197743","1.00","N/A","N/A","","Other","London","nan","1"
