REGISTER OF MINISTERS' GIFTS AND HOSPITALITY RECEIVED,,,,,,,,
,,,,,,,,
,,,,,,Period:,Oct 2021 - Dec 2021,
,,,,,,,,
Name,Dept,Date of Offer,Offered From,Description of offer,Reason for Offer,Estimated Value,"Action Taken 
(Please select from Drop Down)",Accompanied 
Edwin Poots MLA,DAERA,06/10/2021,"Simon Tiernan, Head of Communications NI and ROI, on behalf of McDonald’s UK and Ireland Executive",Fine dining showcase of local ingredients from McDonald’s NI supply chain partners,Stakeholder Celebration Dinner ,£60 ,Accepted,No
Edwin Poots MLA,DAERA,08/10/2021,"Tommy Mayne, BASC",Game themed lunch ,"Meeting with Tommy Mayne (BASC), representatives from Baronscourt Estate and members of the All Party Group on Country Sports to discuss the EU lead shot ban and the sale of shot ducks.",£30 ,Accepted,No
Edwin Poots MLA,DAERA,19/10/2021,Professor Nigel Scollan (QUB) and Dr Stanley McDowell (AFBI),Queen's and AFBI Alliance Stakeholder Discussion and Dinner,Queen's and AFBI Alliance Stakeholder Dinner,£60 ,Accepted,No
Edwin Poots MLA,DAERA,20/10/2021,"Dr Mark Little - BVA Northern Ireland Branch President and Dr Justine Shotton - BVA President 2021/22

",British Veterinary Association Northern Ireland dinner,British Veterinary Association Northern Ireland dinner,£60 ,Accepted,No
Edwin Poots MLA,DAERA,21/10/2021,"Michael Bell, Executive Director, Northern Ireland Food and Drink Association (NIFDA)",Annual dinner held at the Hilton Hotel Belfast,This is the 25th Northern Ireland Food and Drink Association Annual Dinner,£60 ,Accepted,No
Edwin Poots MLA,DAERA,21/10/2021,Northern Ireland Food and Drink Association (NIFDA,Denim apron,Gift - Annual NIFDA dinner,£15 ,Accepted,No
Edwin Poots MLA,DAERA,25/10/2021,"Michele Shirlow, Chief Executive Food NI",Breakfast event (Power of Good Breakfast) in Hillsborough Castle Cafe. ,"Launch of Food NI's Our Food, the Power of Good campaign  Hillsborough Castle",£20 ,Accepted,No
Edwin Poots MLA,DAERA,27/10/2021,"Councillor Paul Mc Lean, Chair of Mid Ulster District Council",Tea/coffee refreshments,First OM Odyssey Film Screening and Opening of the Solar Walk at the OM Dark Sky Park and Observatory,£20 ,Accepted,No
Edwin Poots MLA,DAERA,28/10/2021,"Ruth Rodgers Editor, Farming Life",Dinner and Awards,10th annual Farming Life awards at La Mon Hotel,£60 ,Accepted,No
Edwin Poots MLA,DAERA,25/11/2021,"Ann McGregor Chief Executive, Northern Ireland Chamber or Commerce and Industry",Drinks reception and Banquet dinner ,NI Chamber's President's Banquet 2021 ,£60 ,Accepted,No
Edwin Poots MLA,DAERA,09/12/2021,Royal Ulster Agricultural Society,RUAS President’s Lunch,RUAS Winter Fair 2021,£30 ,Accepted,No
Edwin Poots MLA,DAERA,22/12/2021,Chinese Consulate ,Christmas hamper,Gift   ,£35 ,Accepted,No
,,,,,,,,
Minister Michelle McIlveen MLA,DE,13/10/2021,Sex matters - in life and Law,Book - Trans - When Ideology meets Reality - Helen Joyce,Unsolicited gift,£17 ,Retained in office,No
Minister Michelle McIlveen MLA,DE,13/10/2021,Ballougry Primary School,Signed picture of school in frame,Visit,£15 ,Retained in office,No
Minister Michelle McIlveen MLA,DE,03/11/2021,Castletower Special School,"Art work by Pupil in 17""x17"" frame",Visit,£15 ,Retained in office,No
Minister Michelle McIlveen MLA,DE,10/11/2021,St Patrick's Grammar School Downpatrick,Artamis Pen,Visit,£15 ,Retained in office,No
Minister Michelle McIlveen MLA,DE,10/11/2021,Royal School Armagh,The 1608 Royal Schools History book,Visit,£40 ,Retained in office,No
Minister Michelle McIlveen MLA,DE,11/11/2021,Millennium Primary School,Picture frame containing hand painted poppy field by kids,Visit,£10 ,Retained in office,No
Minister Michelle McIlveen MLA,DE,14/12/2021,Cathedral Youth Club,Picture frame with Bridget Murray 2021 print 5/50,Visit,£10 ,Retained in office,No
,,,,,,,,
Minister Deirdre Hargey MLA,DfC,03/11/2021,Peace Barriers Conference,Buffet Lunch,Speaker at Conference,£10 ,Accepted,No
Minister Deirdre Hargey MLA,DfC,19/11/2021,Welsh Government,"Welsh Artisan Jam, Tea Leaves, Coffee, Seafood Seasoning and Rum 50ml",Attendance at British-Irish Council Summit,£20 ,Accepted,No
Minister Deirdre Hargey MLA,DfC,24/11/2021,Ulster Hockey Ltd,Buffet Dinner,Speaker at Ulster Hockey 125th Anniversary & Strategic Plan launch,£20 ,Accepted,No
Minister Deirdre Hargey MLA,DfC,25/11/2021,Glór na nGael,Irish language version of Cluedo game,Visit to Glór na nGael premises and launch of GRADAIM,£20 ,Accepted,No
,,,,,,,,
Minister Gordon Lyons MLA,DfE,07/10/2021,"Jane Allen, MD, Magheramorne Estate Ltd",Lunch,Official Opening - 1/12/2021,£30 ,Accepted,No
Minister Gordon Lyons MLA,DfE,01/12/2021,"Jane Allen, MD, Magheramorne Estate Ltd","Goodie Bag consisting of umbrella, a painting and a cake",Official Opening -1/12/2021,£30 ,Accepted,No
Minister Gordon Lyons MLA,DfE,01/10/2021,"Gordon Milligan, Institute of Directors NI Chairman",Breakfast,Delivering Speech at IoD Breakfast - 8/12/2021,£10 ,Accepted,No
