Merchant Category,Supplier Name,Service,Summary of purpose of expenditure,Date,Net Amount
Childcare Provision,0-2-5 NURSERY,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,54170.31
Social Care Services,24 Hour Home Care,Adult Social Care,Care Payments,07/09/2017,911.7
Social Care Services,24 Hour Home Care,Adult Social Care,Care Payments,07/09/2017,1520.47
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,13/09/2017,723.65
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,13/09/2017,1133.13
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,13/09/2017,1002.52
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,13/09/2017,473.02
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,13/09/2017,21.18
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,13/09/2017,808.37
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,13/09/2017,1302.57
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,13/09/2017,1066.06
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,13/09/2017,458.9
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,13/09/2017,21.18
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,26/09/2017,850.73
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,26/09/2017,1062.53
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,26/09/2017,713.06
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,26/09/2017,420.07
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,26/09/2017,21.18
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,26/09/2017,864.85
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,26/09/2017,1009.58
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,26/09/2017,723.65
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,26/09/2017,402.42
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,26/09/2017,21.18
Property Repairs and Maintenance,A Smith - Painter and decorator,Adult Social Care,Repairs and Maintenance,19/09/2017,780
Building Services,AB ELECTRICAL ENGINEERING LTD,Capital Expenditure,Capital Expenditure - Works,12/09/2017,1725.09
Childcare Provision,ABACUS CHILDRENS SERVICES LTD,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,67731.59
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,13/09/2017,7413
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,13/09/2017,3883
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,13/09/2017,116.49
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,13/09/2017,123.55
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,13/09/2017,21.18
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,13/09/2017,8401.4
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,13/09/2017,4479.57
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,13/09/2017,148.26
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,13/09/2017,141.2
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,13/09/2017,28.24
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,26/09/2017,7515.37
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,26/09/2017,3639.43
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,26/09/2017,116.49
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,26/09/2017,123.55
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,26/09/2017,21.18
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,26/09/2017,7688.34
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,26/09/2017,3293.49
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,26/09/2017,116.49
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,26/09/2017,123.55
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,26/09/2017,21.18
Social Care Services,Abbeycliffe Care Home,Adult Social Care,Care Payments,25/09/2017,-672.25
Social Care Services,Abbeycliffe Care Home,Adult Social Care,Care Payments,25/09/2017,2300.2
Social Care Services,ABBEYFIELD UK - BRAMHALL,Adult Social Care,Care Payments,25/09/2017,-7213.35
Social Care Services,ABBEYFIELD UK - BRAMHALL,Adult Social Care,Care Payments,25/09/2017,8839.1
Childcare Provision,ABC,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2863.35
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,13/09/2017,631.87
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,13/09/2017,144.73
