"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Incident Management and Resilience - Evidence and Risk - Technical Services","EA_DDER","SG5","34330","42530","Advisor Environment and Business","3.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Thames - Waterways - Team C","EA_DDTHM","SG3","22433","26953","Team Member Chief Executives Directorate","8.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Thames - Waterways - Team D","EA_DDTHM","SG3","22433","26953","Team Member Chief Executives Directorate","9.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Thames - Flood and Coastal Risk Management Operations Upper - Field Cotswold and Vale","EA_DDTHM","SG5","34330","42530","Team Leader Chief Executives Directorate","1.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Hertfordshire and North London - Flood and Coastal Risk Management Operations East - Management","EA_DDHNL","SG6","43777","55080","Senior Specialist Environment and Business","2.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Kent South London and East Sussex - Flood and Coastal Risk Management Thames Tidal Defences - Management","EA_DDKSL","SG7","54940","68783","Manager Chief Executives Directorate","1.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Thames - Environment Management East - Fisheries Biodiversity and Geomorphology","EA_DDTHM","SG3","22433","26953","Team Member Chief Executives Directorate","3.86","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Kent South London and East Sussex - Flood and Coastal Risk Management Thames Tidal Defences - Asset Performance Tidal Walls","EA_DDKSL","SG3","22433","26953","Team Member Chief Executives Directorate","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Thames - Waterways - Team East","EA_DDTHM","SG3","22433","26953","Team Member Chief Executives Directorate","8.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Asset and Programme Management - National Environmental Assessment Service - Specialists","EA_DDPCM","SG6","43777","55080","Senior Advisor Chief Executives Directorate","4.00","Programme and Project Management (PPM)"
