Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Community,2537,Surface Repairs,13/10/2016,0000202103,630.00,Revenue,Shield Security  Services Ltd,14226
Rushmoor Borough Council,Planning,2609,Public Relations,13/10/2016,0000202335,1600.00,Revenue,Wessex Economics,12716
Rushmoor Borough Council,Community,2537,Surface Repairs,13/10/2016,0000202338,630.00,Revenue,Shield Security  Services Ltd,14226
Rushmoor Borough Council,Community,2537,Surface Repairs,13/10/2016,0000202339,630.00,Revenue,Shield Security  Services Ltd,14226
Rushmoor Borough Council,Democratic Services,1327,Admin Equipment,27/10/2016,0000202415,291.67,Revenue,Misco Computer Products,00628
Rushmoor Borough Council,Community,2537,Computer Equipment and Software,06/10/2016,0000202507,587.50,Revenue,Imperial Civil Enforcement Solutions,13348
Rushmoor Borough Council,Community,2538,Computer Equipment and Software,06/10/2016,0000202507,1777.46,Revenue,Imperial Civil Enforcement Solutions,13348
Rushmoor Borough Council,Community,2537,Surface Repairs,13/10/2016,0000202511,900.00,Revenue,Shield Security  Services Ltd,14226
Rushmoor Borough Council,Community,2518,Payment to Artistes,27/10/2016,0000202567,3000.00,Revenue,Joe Brown Productions Ltd,05885
Rushmoor Borough Council,Information Technology,3304,Temporary Staff,13/10/2016,0000202639,600.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,7500,Cash Receipting,13/10/2016,0000202639,600.00,Capital,Austin Fraser,09925
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,13/10/2016,0000202639,300.00,Holding Accounts,Austin Fraser,09925
Rushmoor Borough Council,Community,6557,Contract Costs,06/10/2016,0000202657,6660.00,Capital,Giraffe Access,14161
Rushmoor Borough Council,Democratic Services,1327,Postages,13/10/2016,0000202715,1930.06,Revenue,Royal Mail,00821
Rushmoor Borough Council,Democratic Services,1327,Security Services,06/10/2016,0000202747,546.98,Revenue,Contract Security Services Ltd,00014
Rushmoor Borough Council,Democratic Services,1327,Postages,06/10/2016,0000202749,5700.00,Revenue,Neopost Limited,11588
Rushmoor Borough Council,Community,2549,Clothes and Uniform,06/10/2016,0000202769,279.75,Revenue,Arco,06118
Rushmoor Borough Council,Community,2518,Snap Discos,20/10/2016,0000202834,350.00,Revenue,Piper Music Management Ltd,08419
Rushmoor Borough Council,Community,2551,Registration Fees,06/10/2016,0000202848,445.00,Revenue,Institute Of Cemetery & Crematorium Man,02762
Rushmoor Borough Council,Community,2549,Clothes and Uniform,13/10/2016,0000202869,266.76,Revenue,Arco,06118
Rushmoor Borough Council,Community,6510,Contract Costs,06/10/2016,0000202871,54780.51,Capital,Szerelmey Conservation Ltd,14193
