"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"HMCTS1","Louise Alexander","SCS2","Other.Director","HMCTS HR Director's Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Human Resources","020 3334 3555","general.queries@justice.gov.uk","HMCTS8","5770950","1.00","115000","119999","","","London","","1"
"COOG1","N/D","SCS1","Property Asset Management.Deputy Director","Performance and Account - SES","Ministry of Justice","Ministry of Justice Headquarters","DIR - Property","020 3334 3555","general.queries@justice.gov.uk","COOG49","1694966","1.00","N/A","N/A","","","London","","1"
"HMCTS2","N/D","SCS1","Programme and Project Management.Deputy Director","Common Platform","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Criminal Justice","020 3334 3555","general.queries@justice.gov.uk","HMCTS61","1155446","1.00","N/A","N/A","","","London","","1"
"PG1","Antonia Romeo","SCS4","Operation Delivery.Permanent Secretary","Permanent Secretary's Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - Private Office & Parliamentary","020 3334 3555","general.queries@justice.gov.uk","XX","743694403","1.00","185000","189999","","","London","","1"
"COOG2","N/D","SCS1","Policy Delivery.Deputy Director","FBP Policy","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Business Partnering","020 3334 3555","general.queries@justice.gov.uk","COOG39","214183","1.00","N/A","N/A","","","London","","1"
"HMCTS3","N/D","SCS1","Other.Deputy Director","Common Platform","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Criminal Justice","020 3334 3555","general.queries@justice.gov.uk","HMCTS61","943004","1.00","N/A","N/A","","","London","","1"
"PG2","N/D","SCS1","Other.Deputy Director","Prison Policy Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Prisons Policy","020 3334 3555","general.queries@justice.gov.uk","PG52","309189","1.00","N/A","N/A","","","London","","1"
"PG3","N/D","SCS1","Policy Delivery.Deputy Director","Victims & Vulnerability Payroll","Ministry of Justice","Ministry of Justice Headquarters","DIR - Victims and Vulnerability","020 3334 3555","general.queries@justice.gov.uk","PG46","494571","1.00","N/A","N/A","","","London","","1"
"PG4","N/D","SCS1","Operation Delivery.Deputy Director","Future Prison Policy","Ministry of Justice","Ministry of Justice Headquarters","DIR - Prisons Policy","020 3334 3555","general.queries@justice.gov.uk","PSAAG13","1095226","1.00","N/A","N/A","","","London","","1"
"PSAAG1","Simon Barrett","SCS2","Communications and Marketing.Director","Corporate Communications","Ministry of Justice","Ministry of Justice Headquarters","DIR - Communications and Information Directorate","020 3334 3555","general.queries@justice.gov.uk","PG21","10016729","1.00","115000","119999","","","London","","1"
"COOG3","N/D","SCS1","Other.Estates","Facilities Management - SES","Ministry of Justice","Ministry of Justice Headquarters","DIR - Property","020 3334 3555","general.queries@justice.gov.uk","COOG49","3426129","1.00","N/A","N/A","","","Yorkshire and The Humber","","1"
"PG5","N/D","SCS1","Other.Deputy Director","Judicial Office - Programme","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial Offices","020 3334 3555","general.queries@justice.gov.uk","PG34","1970488","1.00","N/A","N/A","","","London","","1"
"OOTPG1","N/D","SCS1","Other.Deputy Director","Legal Team","Ministry of Justice","Office of the Public Guardian","Legal Directorate","020 3334 3555","general.queries@justice.gov.uk","OOTPG3","3047746","1.00","N/A","N/A","","","West Midlands","","1"
"PSAAG2","N/D","SCS1","Other.Deputy Director","Analytical Priority projects","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PSAAG16","3772211","1.00","N/A","N/A","","","London","","1"
"PSAAG3","N/D","SCS1","Other.Deputy Director","Evidence, Engagement & Experimentation","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PSAAG16","1976175","0.65","N/A","N/A","","","London","","1"
"COOG4","N/D","SCS1","Human Resources.Deputy Director","Recruitment & Resourcing","Ministry of Justice","Ministry of Justice Headquarters","DIR - HR Operations","020 3334 3555","general.queries@justice.gov.uk","COOG8","3660056","1.00","N/A","N/A","","","London","","1"
"PG6","N/D","SCS1","Other.Deputy Director","Ministers' Private Offices","Ministry of Justice","Ministry of Justice Headquarters","DIR - Private Office & Parliamentary","020 3334 3555","general.queries@justice.gov.uk","PG53","0","1.00","N/A","N/A","","","London","","1"
"HMCTS4","N/D","SCS1","Operation Delivery.Deputy Director","Service Excellence and Delivery (Prog)","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Customer Services","020 3334 3555","general.queries@justice.gov.uk","HMCTS64","2054595","1.00","N/A","N/A","","","West Midlands","","1"
"PG7","N/D","SCS1","Other.Deputy Director","HMI Prisons Programme","Ministry of Justice","Ministry of Justice Headquarters","DIR - HMI Prisons","020 3334 3555","general.queries@justice.gov.uk","COOG8","1438712","1.00","N/A","N/A","","","London","","1"
"HMCTS5","N/D","SCS1","Finance.Senior Manager","Medium Term Fin Planning","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Finance, Governance and Performance","020 3334 3555","general.queries@justice.gov.uk","HMCTS8","0","1.00","N/A","N/A","","","London","","1"
"HMCTS6","N/D","SCS1","Other.Deputy Director","South West RSU","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT SW Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS45","0","1.00","N/A","N/A","","","South West","","1"
"PG8","N/D","SCS1","Policy Delivery.Deputy Director","Directors Office A2J","Ministry of Justice","Ministry of Justice Headquarters","DIR - Access to Justice","020 3334 3555","general.queries@justice.gov.uk","PG41","1650765","1.00","N/A","N/A","","","London","","1"
"HMCTS7","N/D","SCS1","Operation Delivery.Director","London RSU 2","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT London Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS21","35010666","1.00","N/A","N/A","","","London","","1"
"HMCTS8","Nicholas Goodwin","SCS3","Other.Director General","CEO's Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ CEO","020 3334 3555","general.queries@justice.gov.uk","PG1","438980083","1.00","130000","134999","","","West Midlands","","1"
"PG9","N/D","SCS1","Other.Deputy Director","Probation Programme - Delivery","Ministry of Justice","Ministry of Justice Headquarters","DIR - Policy - DG Office","020 3334 3555","general.queries@justice.gov.uk","PG69","0","1.00","N/A","N/A","","","London","","1"
"PSAAG4","Jonathan Roberts","SCS2","Other.Director","Data and Analysis Director's Office, Cross Data and Analysis Function (CDF)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PG21","7856469","1.00","95000","99999","","","London","","1"
"COOG5","N/D","SCS1","Human Resources.Deputy Director","HR Change Delivery","Ministry of Justice","Ministry of Justice Headquarters","DIR - Business Partnering & Change","020 3334 3555","general.queries@justice.gov.uk","COOG52","2135149","1.00","N/A","N/A","","","London","","1"
"PSAAG5","N/D","SCS1","Information Technology.Deputy Director","BOLD Programme - Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PSAAG4","2465816","1.00","N/A","N/A","","","London","","1"
"PG10","N/D","SCS1","Other.Deputy Director","Victims & Vulnerability Payroll","Ministry of Justice","Ministry of Justice Headquarters","DIR - Victims and Vulnerability","020 3334 3555","general.queries@justice.gov.uk","PG46","0","1.00","N/A","N/A","","","London","","1"
