Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Description,Post Code
Department of Health,NHS Business Services Authority,03/09/2021,Civil Service Pension,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080124346,"52,077.61",CONTRIBUTIONS AUGUST 2021,RG24 9NW
Department of Health,NHS Business Services Authority,28/09/2021,Civil Service Pension,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080125039,"51,059.24",CONTRIBUTIONS SEPT 2021,RG24 9NW
Department of Health,NHS Business Services Authority,24/09/2021,PC Purchases,Citizen Services,COMPUTACENTER (UK) LTD,0080124242,"21,965.40",Product: 22¿ Monitor - Dell P2219H LED ,AL10 9TW
Department of Health,NHS Business Services Authority,24/09/2021,PC Purchases,Citizen Services,COMPUTACENTER (UK) LTD,0080124242,"13,342.50",Product: Docking station - Dell Docking ,AL10 9TW
Department of Health,NHS Business Services Authority,24/09/2021,PC Purchases,Citizen Services,COMPUTACENTER (UK) LTD,0080124242,"63,937.80",Product: Standard 8GB Laptop: Latitude ,AL10 9TW
Department of Health,NHS Business Services Authority,24/09/2021,PC Purchases,Citizen Services,COMPUTACENTER (UK) LTD,0080124243,"21,965.40",Product: 22¿ Monitor - Dell P2219H LED ,AL10 9TW
Department of Health,NHS Business Services Authority,24/09/2021,PC Purchases,Citizen Services,COMPUTACENTER (UK) LTD,0080124243,"13,342.50",Product: Docking station - Dell Docking ,AL10 9TW
Department of Health,NHS Business Services Authority,24/09/2021,PC Purchases,Citizen Services,COMPUTACENTER (UK) LTD,0080124243,"21,312.60",Product: Standard 8GB Laptop: Latitude ,AL10 9TW
Department of Health,NHS Business Services Authority,24/09/2021,PC Purchases,Citizen Services,COMPUTACENTER (UK) LTD,0080124243,"42,625.20",Product: Standard 8GB Laptop: Latitude ,AL10 9TW
Department of Health,NHS Business Services Authority,21/09/2021,Soft FM Contract,Finance & Commercial,COMPASS SERVICES UK & IRELAND LTD,0080124914,"103,707.29",Combined  Soft FM Contract extension  ,B45 9PZ
Department of Health,NHS Business Services Authority,28/09/2021,Rent,Finance & Commercial,EMERSON MANAGEMENT SERVICES,0080124655,"116,847.00",Rent 29 Sep - 24 Dec 21,SK9 7LF
Department of Health,NHS Business Services Authority,28/09/2021,Rent,Finance & Commercial,EMERSON MANAGEMENT SERVICES,0080124655,"5,850.00",CP Rent 29 Sep - 24 Dec 21,SK9 7LF
