Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transaction Ref,Line No,Line Value
Health,Coventry and Warwickshire Partnership NHS Trust,20230831,Computer Network Costs,IT Services,4net Technologies Ltd (t/a FourNet),453924,1,"82,692.24"
Health,Coventry and Warwickshire Partnership NHS Trust,20230831,Therapy staff,Mental Health,COVENTRY & WARWICKSHIRE MIND,458222,1,"46,745.75"
Health,Coventry and Warwickshire Partnership NHS Trust,20230831,Dietetics service,Community Health & Wellbeing,UNIVERSITY HOSP COV&WARWICK NHS TRUST,460694,1,"144,526.08"
Health,Coventry and Warwickshire Partnership NHS Trust,20230831,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,460785,1,"82,535.78"
Health,Coventry and Warwickshire Partnership NHS Trust,20230831,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,460785,2,"22,929.55"
Health,Coventry and Warwickshire Partnership NHS Trust,20230831,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,460925,1,505.75
Health,Coventry and Warwickshire Partnership NHS Trust,20230831,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,460925,2,"108,390.83"
Health,Coventry and Warwickshire Partnership NHS Trust,20230831,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,460985,1,"421,135.94"
Health,Coventry and Warwickshire Partnership NHS Trust,20230831,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,460985,2,"79,843.08"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Social Workers,Mental Health,COVENTRY CITY COUNCIL,452103,1,"64,000.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Social Workers,Mental Health,COVENTRY CITY COUNCIL,452103,2,"7,263.12"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Assessments,Learning Disablities & Autism,Acorn Care & Education Ltd,456494,1,"25,866.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Laboratory External Tests,Community Health & Wellbeing,Preventx Limited,458492,1,"39,330.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Assessments,Learning Disablities & Autism,Acorn Care & Education Ltd,458659,1,"27,303.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Therapy staff,Mental Health,COVENTRY & WARWICKSHIRE MIND,459415,1,"50,329.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Therapy staff,Mental Health,COVENTRY & WARWICKSHIRE MIND,459416,1,"50,329.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Therapy staff,Mental Health,COVENTRY & WARWICKSHIRE MIND,459417,1,"50,329.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Therapy staff,Mental Health,COVENTRY & WARWICKSHIRE MIND,459418,1,"50,329.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,software,IT Services,Insight Direct UK,459486,1,"6,332.04"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,software,IT Services,Insight Direct UK,459486,2,"10,749.02"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,software,IT Services,Insight Direct UK,459486,3,"7,814.66"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,software,IT Services,Insight Direct UK,459486,4,"1,698.85"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Laboratory External Tests,Community Health & Wellbeing,Preventx Limited,459887,1,"35,772.00"
