Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
DCMS,National Gallery,15/05/2014,Rates,Buildings,Westminster City Council Business Rates,10210756,"380,516.00"
DCMS,National Gallery,15/05/2014,Rates,Buildings,Westminster City Council Business Rates,10210757,"49,447.00"
DCMS,National Gallery,15/05/2014,Electricity,Buildings,EDF Energy 1 Limited,10210790,"44,571.79"
DCMS,National Gallery,15/05/2014,Gas,Buildings,Corona Energy Retail 4 Ltd,10210822,"53,749.16"
DCMS,National Gallery,15/05/2014,Main Contractors,Office Services,DOC Cleaning Limited,10210825,"48,301.01"
DCMS,National Gallery,15/05/2014,Display,Design,Benchworks Ltd,10210918,"25,807.00"
DCMS,National Gallery,15/05/2014,Electricity,Buildings,EDF Energy 1 Limited,10210934,"51,289.44"
DCMS,National Gallery,15/05/2014,Main Contractors,Buildings,Norland Managed Services Limited,10210946,"130,462.30"
DCMS,National Gallery,22/05/2014,Main Contractors,Office Services,DOC Cleaning Limited,10211176,"48,301.01"
DCMS,National Gallery,22/05/2014,Display,Creative,Benchworks Ltd,10211225,"25,000.00"
DCMS,National Gallery,29/05/2014,Main Contractors,Buildings,Capri Mechanical Services Ltd,10211445,"94,849.17"
DCMS,National Gallery,10/06/2014,Main Contractors,Buildings,Norland Managed Services Limited,10211939,"130,462.30"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,"1,082,756.18"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,`,,,,
