Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount in sterling,Description,Postcode,Project code,Expenditure type,Supplier type,Contract number,Supplier VAT registration number
DHSC,MHRA,03/04/2024,Assets Under Construction - Clearing Account,Digital and Technology,Accenture (UK) Limited,3003655245,"258,668.94 ",Regulatory Connect implementation,W1B 1QH,UID00437,Administration,Large Enterprise,5005918,788 6290 66
DHSC,MHRA,03/04/2024,Assets Under Construction - Land & Buildings,Corporate,Classic gardens ltd,3652,"27,349.00 ",Refurbishment of the Library Quad,EN6 2DE,111396,Administration,Small or Medium Enterprise,5006489,265 9997 26
DHSC,MHRA,03/04/2024,IT Security,Digital and Technology,Clear Graphics,INV-7828,"48,275.00 ",Document Storage & Management Discovery project,SE1 0HS,n/a,Administration,Small or Medium Enterprise,5006467,602 8816 47
DHSC,MHRA,03/04/2024,Assets Under Construction - Clearing Account,Digital and Technology,Corporate Document Services,SDI6873,"133,079.66 ",MicroStrategy license,LS11 5AS,n/a,Administration,Small or Medium Enterprise,5006651,393 5490 21
DHSC,MHRA,03/04/2024,"Advertising, publicity & promotion",Enablement,Health Unlimited Limited,170407645,"35,071.64 ",User testing programme,W1F 9NB,n/a,Administration,Small or Medium Enterprise,5005813,156 0089 18
DHSC,MHRA,03/04/2024,Printing Costs,Enablement,Health Unlimited Limited,170407684,"55,433.00 ",Production of template reports and user-compatibility testing,W1F 9NB,n/a,Administration,Small or Medium Enterprise,5005813,156 0089 18
DHSC,MHRA,03/04/2024,"Advertising, publicity & promotion",Enablement,Health Unlimited Limited,170407685,"26,056.96 ",Production of 2 x videos to promote the Yellow Card Biobank,W1F 9NB,n/a,Administration,Small or Medium Enterprise,5005813,156 0089 18
DHSC,MHRA,03/04/2024,Assets Under Construction - Plant & Equipment,Science and Research,IS-Instruments Ltd,0003/24,"74,550.00 ",Spectrometer,TN91sP,111407,Programme,Small or Medium Enterprise,5006505,988 0972 54
DHSC,MHRA,03/04/2024,Assets Under Construction - Clearing Account,Digital and Technology,ITGL Ltd,SI0009634,"118,683.92 ",Firewall Management Centre,PO6 4PY,n/a,Administration,Small or Medium Enterprise,5006561,173 5214 20
DHSC,MHRA,03/04/2024,Subcontracted Laboratory Services,Innovation and Compliance,LGC Ltd,51166152,"100,000.00 ",Revenue share payment,TW11 0LY,n/a,Programme,Small or Medium Enterprise,5005756,674 0567 21
DHSC,MHRA,03/04/2024,Contracted Out Services Miscellaneous,Digital and Technology,NTT Data UK Ltd,121596308,"25,796.40 ",Technology product and technology delivery services,EC3V 3DG,n/a,Administration,Small or Medium Enterprise,5004804,159 3345 90
DHSC,MHRA,03/04/2024,IT Security,Digital and Technology,NTT Data UK Ltd,121597116,"34,869.00 ",Security assessment and remediation service,EC3V 3DG,n/a,Administration,Small or Medium Enterprise,5004804,159 3345 90
DHSC,MHRA,03/04/2024,Contracted Out Services Miscellaneous,Digital and Technology,NTT Data UK Ltd,121597981,"28,678.50 ",Azure Connect support,EC3V 3DG,UID00440,Administration,Small or Medium Enterprise,5004804,159 3345 90
DHSC,MHRA,03/04/2024,IT Security,Digital and Technology,NTT Data UK Ltd,121597986,"35,780.00 ",Security Incident and Event Management (SIEM) Proof of Concept,EC3V 3DG,UID00456,Administration,Small or Medium Enterprise,5004804,159 3345 90
DHSC,MHRA,03/04/2024,Contracted Out Services Miscellaneous,Digital and Technology,NTT Data UK Ltd,121597987,"32,670.00 ",Project Support to cover Azure Landing Zone Support Requests,EC3V 3DG,UID00437,Administration,Small or Medium Enterprise,5004804,159 3345 90
DHSC,MHRA,03/04/2024,IT Security,Digital and Technology,NTT Data UK Ltd,121597989,"71,505.00 ",Security Strategy and Cyber Roadmap services,EC3V 3DG,UID00456,Administration,Small or Medium Enterprise,5004804,159 3345 90
DHSC,MHRA,03/04/2024,Assets Under Construction - Other Costs,Corporate,Parker Air Conditioning Ltd,INV26569,"45,303.75 ",Replacement of chillers,TN16 1DE,111351,Administration,Small or Medium Enterprise,5006361,506 7009 65
DHSC,MHRA,03/04/2024,Assets Under Construction - Contract Services,Corporate,Tyco Fire and Intergrated Solutions (UK) Limited,TY040235,"78,121.47 ",Additional plant room doors,CB23 8TY,111370,Administration,Large Enterprise,5005979,413 6330 86
DHSC,MHRA,03/04/2024,Subcontracted Laboratory Services,Science and Research,University of Oxford,210144849,"70,710.06 ",Sub-award payment for Oxford Vaccine Group,OX1 2JD,111142,Programme,Large Enterprise,5006307,125 5067 30
DHSC,MHRA,03/04/2024,Contracted Out Services Miscellaneous,Digital and Technology,VERACITY OSI UK Limited,INV-00001782,"60,940.00 ",Service Desk Maturity Project services,EC3R8LJ,n/a,Administration,Small or Medium Enterprise,5005966,178 4489 53
DHSC,MHRA,03/04/2024,Contracted Out Services Miscellaneous,Digital and Technology,VERACITY OSI UK Limited,INV-00001817,"60,940.00 ",Service Desk Maturity Project services,EC3R8LJ,n/a,Administration,Small or Medium Enterprise,5005966,178 4489 53
DHSC,MHRA,03/04/2024,"Service, Integration & Management (SIAM)",Digital and Technology,VERACITY OSI UK Limited,INV-00001875,"59,945.00 ",Service Desk Maturity Project services,EC3R8LJ,n/a,Administration,Small or Medium Enterprise,5006503,178 4489 53
DHSC,MHRA,03/04/2024,"Service, Integration & Management (SIAM)",Digital and Technology,VERACITY OSI UK Limited,INV-00001893,"58,170.00 ",Service Desk Maturity Project services,EC3R8LJ,n/a,Administration,Small or Medium Enterprise,5006503,178 4489 53
DHSC,MHRA,03/04/2024,Assets Under Construction - Plant & Equipment,Corporate,VWR International,5065664729,"33,925.00 ",Ultra low temperature freezer,LE17 4XN,111387,Administration,Small or Medium Enterprise,,823 8532 25
DHSC,MHRA,03/04/2024,Miscellaneous Costs,Healthcare Quality and Access,Woodnewton Associates Limited,2406 / MH23,"25,000.00 ",Wellcome Trust funded - Evaluation of Digital Mental Health Technologies,WC2A 1LG,n/a,Programme,Small or Medium Enterprise,5006064,906 4260 40
DHSC,MHRA,03/04/2024,Market Research,Partnerships,Woodnewton Associates Limited,2414 / MH26,"54,400.00 ",Comparative analysis of International Recognition Procedure to develop a benchmarking framework for regulatory services.,WC2A 1LG,n/a,Administration,Small or Medium Enterprise,5006064,906 4260 40
DHSC,MHRA,08/04/2024,Chemicals and Reagents,Science and Research,Absolute Antibody Ltd,20253,"53,635.00 ",Bespoke antibody,TS10 4RF,n/a,Programme,Small or Medium Enterprise,5006130,154 1335 36
DHSC,MHRA,08/04/2024,Software Development,Digital and Technology,Informed Solutions Limited,12820,"108,100.00 ",Professional services support for Customer Experience Centre,WA14 4PA,n/a,Administration,Small or Medium Enterprise,5006544,611 5599 43
DHSC,MHRA,08/04/2024,Software Development,Digital and Technology,Informed Solutions Limited,12821,"39,450.00 ",Professional services support for Customer Experience Centre,WA14 4PA,n/a,Administration,Small or Medium Enterprise,5006544,611 5599 43
DHSC,MHRA,08/04/2024,Contracted Out Services Miscellaneous,Digital and Technology,Insife ApS,913,"280,000.00 ",HALO Performance Enhancement Upgrade work,7035,n/a,Administration,Small or Medium Enterprise,5005401,
DHSC,MHRA,08/04/2024,MHRA-administered Seminar Costs,Enablement,One Two Agency Ltd,00136,"58,089.53 ",Event management and AV costs for the GPvP Symposium,PR25 3UQ,n/a,Administration,Small or Medium Enterprise,5004382,448 1906 33
DHSC,MHRA,08/04/2024,Software & Licences,Digital and Technology,Orbus Software,UK2400129,"48,786.65 ",iServer365 Enterprise Architecture Platform,GU14 7PG,n/a,Administration,Small or Medium Enterprise,5005810,853 4135 34
DHSC,MHRA,08/04/2024,Contracted Out Services Miscellaneous,Digital and Technology,Redrock Consulting Ltd,11694,"102,175.00 ",Professional services,BS8 3BA,UID00440,Administration,Small or Medium Enterprise,5006224,862 2477 15
DHSC,MHRA,08/04/2024,Contracted Out Services Miscellaneous,Digital and Technology,Redrock Consulting Ltd,11695,"28,427.00 ",Professional services,BS8 3BA,OT05178,Administration,Small or Medium Enterprise,5006226,862 2477 15
DHSC,MHRA,08/04/2024,"Service, Integration & Management - Enterprise Architecture",Digital and Technology,VERACITY OSI UK Limited,INV-00001900,"67,580.00 ",Enterprise Architecture Process Improvement Services,EC3R8LJ,n/a,Administration,Small or Medium Enterprise,5006503,178 4489 53
DHSC,MHRA,10/04/2024,Assets Under Construction - Clearing Account,Digital and Technology,Accenture (UK) Limited,3003656573,"188,188.93 ",Regulatory Connect implementation,W1B 1QH,UID00437,Administration,Large Enterprise,5005918,788 6290 66
DHSC,MHRA,10/04/2024,Agency Pay: Scientific,Healthcare Quality and Access,Alexander Mann Solutions,3001080,"25,868.44 ",Expert Quality Assessor contract,EC2N 3AQ,n/a,Programme,Large Enterprise,5003606,744 4926 12
DHSC,MHRA,10/04/2024,Security,Corporate,CIS Security Limited,0000067775,"50,863.85 ",Security services,SE13 6LJ,n/a,Administration,Small or Medium Enterprise,5004113,206 1930 92
DHSC,MHRA,10/04/2024,Infrastructure Services and Maintenance,Safety and Surveillance,Fat Media Limited,RR-03-0001,"50,000.00 ",Customer Portal,LA1 4XF,UID00444,Programme,Small or Medium Enterprise,5006400,280 0669 07
DHSC,MHRA,10/04/2024,Internal Audit,Enablement,Government Internal Audit Agency,46516,"46,711.25 ",Internal audit,SW1A 0NB,n/a,Administration,Public Sector,5004952,888 8275 44
