Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Community,2518,Snap Discos,26/11/2015,0000195446,500.00,Revenue,Piper Music Management Ltd,08419
Rushmoor Borough Council,Community,2551,Operational Equipment,26/11/2015,0000195590,439.14,Revenue,Facultatieve Technologies Ltd,05289
Rushmoor Borough Council,Environmental Health and Housing,6402,Contract Costs,05/11/2015,0000195696,2620.00,Capital,Pudsey Diamond Engineering,00763
Rushmoor Borough Council,Legal,1208,Repair and Maintenance Paved Areas,05/11/2015,0000195701,673.00,Revenue,Broxap Ltd,03859
Rushmoor Borough Council,Information Technology,3304,General Hardware,05/11/2015,0000196123,409.90,Revenue,Cms (Cable Management Supplies) Plc,10513
Rushmoor Borough Council,Legal,1208,Repair and Maintenance Paved Areas,05/11/2015,0000196180,2950.00,Revenue,P A Gibbs Ltd,01246
Rushmoor Borough Council,Community,6597,Contract Costs,05/11/2015,0000196224,12378.00,Capital,Wesson Fencing,07143
Rushmoor Borough Council,Information Technology,7500,Server Virtualisation Project,26/11/2015,0000196252,2146.15,Capital,Organised Computer Systems Ltd,13751
Rushmoor Borough Council,Democratic Services,1325,Paper,05/11/2015,0000196259,380.86,Revenue,Antalis Ltd,00037
Rushmoor Borough Council,Democratic Services,1323,Postages,05/11/2015,0000196265,1242.43,Revenue,Neopost Finance Limited,01283
Rushmoor Borough Council,Community,2543,Aldershot Promotions,05/11/2015,0000196384,300.00,Revenue,My Little Princess Limited,13382
Rushmoor Borough Council,Information Technology,3304,IT Service Improvement Work,12/11/2015,0000196386,600.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,7500,Uniform/Confirm,12/11/2015,0000196386,300.00,Capital,Austin Fraser,09925
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,12/11/2015,0000196386,600.00,Holding Accounts,Austin Fraser,09925
Rushmoor Borough Council,Community,2565,Trade Refuse,05/11/2015,0000196436,834.60,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Strategy and Communiations,1409,Temporary Staff,05/11/2015,0000196468,2244.57,Revenue,Basingstoke & Deane Borough Council,00141
Rushmoor Borough Council,Democratic Services,1322,General Repairs and Maintenance,05/11/2015,0000196469,291.00,Revenue,Tormax Uk Ltd,09452
Rushmoor Borough Council,Information Technology,7305,Contract Costs,19/11/2015,0000196472,533.72,Capital,Misco Computer Products,00628
Rushmoor Borough Council,Legal,1208,Devereux House Renew Windows,05/11/2015,0000196482,330.00,Revenue,Jenkins & Falvey,03370
Rushmoor Borough Council,Community,2508,West End Centre Grant,05/11/2015,0000196492,15373.00,Revenue,Hampshire Cultural Trust,13707
Rushmoor Borough Council,Community,2523,Aldershot Museum Grant,05/11/2015,0000196492,28599.00,Revenue,Hampshire Cultural Trust,13707
Rushmoor Borough Council,Legal,1202,Counsels Fees,05/11/2015,0000196493,924.00,Revenue,Mr Scott Stemp,13867
Rushmoor Borough Council,Community,2537,Lighting Repairs,05/11/2015,0000196501,314.01,Revenue,City Electrical Factors (Aldershot),00236
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,05/11/2015,0000196503,840.00,Revenue,Auditoria Services Ltd,06829
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,05/11/2015,0000196509,560.00,Revenue,Project 114 Ltd,13693
Rushmoor Borough Council,Community,6500,Contract Costs,05/11/2015,0000196524,7747.25,Capital,Velocity Sports Ltd,13216
Rushmoor Borough Council,Community,2553,Payment to Contractor,12/11/2015,0000196528,106175.74,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Clinical Waste,12/11/2015,0000196528,1060.60,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2554,Payment to Contractor,12/11/2015,0000196528,64612.28,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2555,Payment to Contractor,12/11/2015,0000196529,13883.40,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Car Parks,12/11/2015,0000196530,7280.79,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Highways,12/11/2015,0000196530,65717.45,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Parks,12/11/2015,0000196530,9645.25,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Planning,2612,Microfilimg,05/11/2015,0000196546,285.00,Revenue,Response Technical Services Limited,13359
Rushmoor Borough Council,Democratic Services,1322,Office Security,05/11/2015,0000196550,290.00,Revenue,Link Up Ltd,12735
Rushmoor Borough Council,Democratic Services,1325,Paper,05/11/2015,0000196551,540.60,Revenue,Antalis Ltd,00037
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,05/11/2015,0000196553,560.00,Revenue,Project 114 Ltd,13693
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,05/11/2015,0000196554,560.00,Revenue,Project 114 Ltd,13693
Rushmoor Borough Council,Community,2549,Materials,05/11/2015,0000196558,410.21,Revenue,Farnborough Tool Hire,05971
Rushmoor Borough Council,Community,2510,Training Expenses,05/11/2015,0000196568,675.00,Revenue,Government Knowledge Training Ltd,11850
Rushmoor Borough Council,Holding Accounts,9404,Survey Work,05/11/2015,0000196569,700.00,Holding Accounts,Hays,02287
Rushmoor Borough Council,Democratic Services,1312,Contract Staff,05/11/2015,0000196570,683.76,Revenue,Hays,02287
Rushmoor Borough Council,Democratic Services,1323,Mobile Phones,05/11/2015,0000196573,530.69,Revenue,Vodafone Limited,08864
Rushmoor Borough Council,Environmental Health and Housing,2228,Leasing Charges,05/11/2015,0000196577,690.78,Revenue,Automotive Leasing,06040
Rushmoor Borough Council,Legal,1204,Books and Publications,05/11/2015,0000196579,288.00,Revenue,Thomson Reuters,00955
Rushmoor Borough Council,Community,2518,Payment to Artistes,05/11/2015,0000196580,1409.25,Revenue,The Dixon Agency,13879
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,12/11/2015,0000196581,600.00,Holding Accounts,Austin Fraser,09925
Rushmoor Borough Council,Community,2554,Payment to Contractor,05/11/2015,0000196583,5445.00,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2551,General Repairs and Maintenance,05/11/2015,0000196584,589.20,Revenue,Crowthorne Heating Co Ltd,10551
Rushmoor Borough Council,Community,6559,Contract Costs,05/11/2015,0000196587,1150.00,Capital,P A Gibbs Ltd,01246
Rushmoor Borough Council,Legal,1202,Counsels Fees,05/11/2015,0000196590,360.00,Revenue,Mrs Leanne Buckley Thomson,13346
Rushmoor Borough Council,Community,2517,Playground Apparatus,05/11/2015,0000196593,769.49,Revenue,Playdale Playgrounds Ltd,09770
Rushmoor Borough Council,Information Technology,3304,Telephone Charges,05/11/2015,0000196594,1147.83,Revenue,Vodafone Limited,11372
Rushmoor Borough Council,Democratic Services,1325,Photocopiers,05/11/2015,0000196595,336.29,Revenue,Datasharp Independent Solutions,00281
Rushmoor Borough Council,Community,6504,Contract Costs,19/11/2015,0000196596,4850.00,Capital,P A Gibbs Ltd,01246
Rushmoor Borough Council,Community,2551,Caskets and Urns,05/11/2015,0000196598,373.40,Revenue,Ashdown Supplies,00118
Rushmoor Borough Council,Community,2551,Operational Equipment,05/11/2015,0000196600,4348.88,Revenue,Facultatieve Technologies Ltd,05289
Rushmoor Borough Council,Community,2543,Aldershot Promotions,12/11/2015,0000196603,280.00,Revenue,Steve Welford,11373
Rushmoor Borough Council,Information Technology,3304,Internet,12/11/2015,0000196604,12000.00,Revenue,Virgin Media Payments,09920
Rushmoor Borough Council,Community,2517,Tree Maintenance,05/11/2015,0000196605,451.00,Revenue,Cedardale Arborcultural Specialists Ltd,11645
Rushmoor Borough Council,Community,2540,Agency Staff,12/11/2015,0000196607,614.20,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Legal,1202,Temporary Staff,05/11/2015,0000196610,1284.29,Revenue,Hays,02287
Rushmoor Borough Council,Environmental Health and Housing,2218,Vehicle Plates,19/11/2015,0000196614,1832.90,Revenue,Vip-System Limited,11630
Rushmoor Borough Council,Holding Accounts,9404,Financial Reporting Review,05/11/2015,0000196616,1900.00,Holding Accounts,Hays,02287
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,05/11/2015,0000196619,305.00,Revenue,Gilgen Door Systems,00445
Rushmoor Borough Council,Financial Services,3401,Temporary Staff,05/11/2015,0000196622,1575.00,Revenue,Hays,02287
Rushmoor Borough Council,Customer Services,3805,Postages,05/11/2015,0000196623,5573.24,Revenue,Neopost Limited,12328
Rushmoor Borough Council,Community,2549,Hire of Transport,05/11/2015,0000196624,324.98,Revenue,Northgate Vehicle Hire (South) Ltd,10334
Rushmoor Borough Council,Community,2549,Fuel Costs,05/11/2015,0000196625,398.38,Revenue,Allstar Business Solutions Ltd,00721
Rushmoor Borough Council,Customer Services,3805,Tracing Fees,19/11/2015,0000196628,1620.00,Revenue,Experian Ltd,05686
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,05/11/2015,0000196630,1050.00,Revenue,Airport Lodge,10121
Rushmoor Borough Council,Community,2518,Payment to Artistes,05/11/2015,0000196631,1054.86,Revenue,Derek Block Concert Promotions Ltd,02720
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,05/11/2015,0000196634,332.00,Revenue,Drain & Sewer Services,00310
Rushmoor Borough Council,Holding Accounts,9404,Organisational Development Strategy Work,19/11/2015,0000196635,2839.20,Holding Accounts,Office For Public Management,03192
Rushmoor Borough Council,Environmental Health and Housing,2228,Leasing Charges,05/11/2015,0000196644,430.53,Revenue,Automotive Leasing,06040
Rushmoor Borough Council,Planning,2604,Publicity and Advertising,12/11/2015,0000196647,343.60,Revenue,Hampshire Media Ltd,12446
Rushmoor Borough Council,Democratic Services,1326,General Repairs and Maintenance,05/11/2015,0000196650,990.88,Revenue,Record,08461
Rushmoor Borough Council,Community,2551,Operational Equipment,05/11/2015,0000196654,312.92,Revenue,Godfreys Golf & Turf,01696
Rushmoor Borough Council,Democratic Services,1302,External Printing,12/11/2015,0000196655,331.33,Revenue,Electoral Reform Services,06506
Rushmoor Borough Council,Community,2540,Temporary Traffic Order Advertisements,05/11/2015,0000196657,371.40,Revenue,Hampshire Media Ltd,12446
Rushmoor Borough Council,Community,2508,Cherrywood Brochure,12/11/2015,0000196659,540.00,Revenue,Scw Deliveries,13091
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,05/11/2015,0000196660,286.32,Revenue,Adt Fire And Security Plc,03782
Rushmoor Borough Council,Community,2517,Tree Survey Works,05/11/2015,0000196663,1330.00,Revenue,Sapling Arboriculture Limited,09448
Rushmoor Borough Council,Community,2549,Materials,05/11/2015,0000196664,350.93,Revenue,Farnborough Tool Hire,05971
Rushmoor Borough Council,Community,2549,Materials,05/11/2015,0000196669,319.65,Revenue,Farnborough Tool Hire,05971
Rushmoor Borough Council,Democratic Services,1304,Hire of Transport,12/11/2015,0000196673,286.00,Revenue,Exclusive Cars (Guildford) Ltd,00353
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,05/11/2015,0000196675,4200.00,Revenue,Auron Media Limited,12877
Rushmoor Borough Council,Information Technology,7500,Server Virtualisation Project,05/11/2015,0000196676,2250.00,Capital,Energon Global Ltd,13837
Rushmoor Borough Council,Information Technology,7500,Server Virtualisation Project,05/11/2015,0000196677,2250.00,Capital,Energon Global Ltd,13837
Rushmoor Borough Council,Community,6522,Contract Costs,12/11/2015,0000196678,3987.75,Capital,Clive Richardson Limited,13407
Rushmoor Borough Council,Personnel & Payroll,3601,Occupational Health,12/11/2015,0000196685,783.70,Revenue,Corporate Medical Services,10281
Rushmoor Borough Council,Strategy and Communiations,1411,Web Support/Development,12/11/2015,0000196688,890.00,Revenue,Socitm Ltd,02638
Rushmoor Borough Council,Director of Resources,3106,Contractor,12/11/2015,0000196689,2500.00,Revenue,Calcott Solutions Limited,10534
Rushmoor Borough Council,Holding Accounts,9404,Survey Work,12/11/2015,0000196690,700.00,Holding Accounts,Hays,02287
Rushmoor Borough Council,Community,2518,Refreshment Purchases,12/11/2015,0000196692,280.82,Revenue,Consort Frozen Foods Ltd,00260
Rushmoor Borough Council,Information Technology,3304,Partnership Support,12/11/2015,0000196695,4000.00,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Information Technology,3300,Consultancy,12/11/2015,0000196696,1790.00,Revenue,Silversands Limited,13847
Rushmoor Borough Council,Legal,1206,Shutters Service,12/11/2015,0000196697,1152.00,Revenue,Dorzone Ltd,13829
Rushmoor Borough Council,Information Technology,7500,Server Virtualisation Project,12/11/2015,0000196699,1800.00,Capital,Energon Global Ltd,13837
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,12/11/2015,0000196702,366.00,Revenue,Brand Pest Control,03284
Rushmoor Borough Council,Community,2517,Tree Maintenance,12/11/2015,0000196703,2717.12,Revenue,Lotus Landscapes Limited,12000
Rushmoor Borough Council,Democratic Services,1312,Contract Staff,12/11/2015,0000196706,696.52,Revenue,Hays,02287
Rushmoor Borough Council,Director of Resources,3105,External Audit Fee,12/11/2015,0000196709,12460.00,Revenue,Ernst And Young Llp,01838
Rushmoor Borough Council,Customer Services,3811,External Audit Fee,12/11/2015,0000196709,2163.00,Revenue,Ernst And Young Llp,01838
Rushmoor Borough Council,Environmental Health and Housing,2204,Kennel/Feed Stray Dogs,12/11/2015,0000196710,794.00,Revenue,Bowenhurst Kennels,00167
Rushmoor Borough Council,Democratic Services,1323,Postages,12/11/2015,0000196711,1068.60,Revenue,Royal Mail,00821
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,12/11/2015,0000196714,1163.94,Revenue,Bellstan Ltd,04489
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,12/11/2015,0000196718,400.00,Revenue,Project 114 Ltd,13693
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,12/11/2015,0000196719,560.00,Revenue,Project 114 Ltd,13693
Rushmoor Borough Council,Community,2517,Playground Apparatus,12/11/2015,0000196721,610.36,Revenue,Proludic Ltd,07094
Rushmoor Borough Council,Strategy and Communiations,1413,Consultancy,12/11/2015,0000196722,2000.00,Revenue,Kada Research Limited,13763
Rushmoor Borough Council,Environmental Health and Housing,2246,Equipment Maintenance,12/11/2015,0000196727,2017.20,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Environmental Health and Housing,2247,Equipment Maintenance,12/11/2015,0000196727,1404.71,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Control Accounts,9362,Local Enterprise Partnership,12/11/2015,0000196729,637.50,Control Accounts,Cyan Solutions Ltd,13258
Rushmoor Borough Council,Holding Accounts,9404,Action Learning Work,12/11/2015,0000196730,2799.40,Holding Accounts,Office For Public Management,03192
Rushmoor Borough Council,Holding Accounts,9404,Personnel Support Work,19/11/2015,0000196731,4060.70,Holding Accounts,South East Employers,00906
Rushmoor Borough Council,Financial Services,3401,Temporary Staff,12/11/2015,0000196732,1620.00,Revenue,Hays,02287
Rushmoor Borough Council,Democratic Services,1312,Contract Staff,12/11/2015,0000196733,540.00,Revenue,Hays,02287
Rushmoor Borough Council,Democratic Services,1312,Contract Staff,12/11/2015,0000196734,540.00,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1202,Temporary Staff,12/11/2015,0000196735,1284.29,Revenue,Hays,02287
Rushmoor Borough Council,Democratic Services,1322,Office Security,26/11/2015,0000196738,402.00,Revenue,First Choice Facilities Plc,11559
Rushmoor Borough Council,Community,2537,Farnborough Leisure Centre Parking Rebates,12/11/2015,0000196739,7353.17,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2537,Farnborough Leisure Centre Parking Rebates,12/11/2015,0000196740,8061.25,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2537,Electricity,12/11/2015,0000196743,1635.34,Revenue,Edf Energy,09831
Rushmoor Borough Council,Democratic Services,1322,Electricity,12/11/2015,0000196744,6862.43,Revenue,Edf Energy,09831
Rushmoor Borough Council,Legal,1208,Site Clearance,12/11/2015,0000196745,700.00,Revenue,Rubbish Takeaway,13889
Rushmoor Borough Council,Community,2518,Refreshment Purchases,12/11/2015,0000196746,427.12,Revenue,Bentons,12526
Rushmoor Borough Council,Community,2507,General Repairs and Maintenance,12/11/2015,0000196749,260.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Democratic Services,1325,Paper,12/11/2015,0000196754,375.36,Revenue,Antalis Ltd,00037
Rushmoor Borough Council,Democratic Services,1325,Photocopiers,19/11/2015,0000196755,835.95,Revenue,Misco Computer Products,00628
Rushmoor Borough Council,Director of Community and Environment Services,2102,Consultancy,26/11/2015,0000196757,9200.00,Revenue,Montagu Evans,12493
Rushmoor Borough Council,Community,2517,Tree Maintenance,12/11/2015,0000196760,360.00,Revenue,Alderwood Tree Services,01218
