"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","26005673","Senior Professional - 1","62500","84000","DE&S Corporate Services","<5","Operational Delivery Profession","South West"
"Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","26005545","Professional I - 1","52500","69000","DE&S Corporate Services","<5","Operational Delivery Profession","South West"
"Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","26005545","Professional I - 2","55500","72000","DE&S Finance & Accounting","<5","Government Finance Profession","South West"
"Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","26005545","Professional I - 1","52500","69000","DE&S Information Management & IT","<5","Government Knowledge and Information Management Profession","South West"
"Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","26005545","Professional I - 1","52500","69000","DE&S Project controls","<5","Project Delivery Profession","North West"
"Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","26005545","Professional I - 1","52500","69000","DE&S Project controls","10.28","Project Delivery Profession","South West"
"Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","26005545","Professional II - 1","39500","51000","DE&S Corporate Services","<5","Operational Delivery Profession","South West"
"Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","26005545","Professional II - 2","43400","56400","DE&S Finance & Accounting","7.81","Government Finance Profession","South West"
"Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","26005545","Professional II - 1","39500","51000","DE&S Information Management & IT","<5","Government Knowledge and Information Management Profession","South West"
"Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","26005545","Professional II - 1","39500","51000","DE&S Project controls","10.28","Project Delivery Profession","South West"
"Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","26005545","Senior Professional - 2","72000","93600","DE&S Finance & Accounting","<5","Government Finance Profession","South West"
"Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","26005545","Senior Professional - 1","62500","84000","DE&S Project controls","<5","Project Delivery Profession","South West"
"Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","26005673","Professional I - 2","55500","72000","DE&S Commercial","<5","Procurement Profession","Scotland"
"Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","26005673","Professional I - 2","55500","72000","DE&S Commercial","5","Procurement Profession","South West"
"Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","26005673","Professional I - 1","52500","69000","DE&S Corporate Services","7.61","Operational Delivery Profession","South West"
