"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Defence Equipment & Support","00212421","OF1","27273","36234","Military","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment & Support","00212421","OF2","42009","49958","Military","144.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment & Support","00212421","OF3","52917","63375","Military","243.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment & Support","00212421","OF4","74268","85997","Military","163.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment & Support","00212421","OF5","89977","98910","Military","59.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment & Support","00212421","OR1","20000","31382","Military","3.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment & Support","00212421","OR2","20000","31382","Military","4.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment & Support","00212421","OR3","26791","31382","Military","15.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment & Support","00212421","OR4","31245","37132","Military","53.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment & Support","00212421","OR6","35151","43495","Military","75.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment & Support","00212421","OR7","39567","50270","Military","252.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment & Support","00212421","OR8","43035","50270","Military","45.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment & Support","00212421","OR9","49842","53198","Military","105.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment & Support","00212421","TUPE General","30000","70000","Business Management","4.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Equipment & Support","00212421","TUPE General","30000","70000","DE&S Project Engineer","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Equipment & Support","00212421","TUPE General","30000","70000","AeroEng(Aero/Struct/Mech)","3.00","Science and Engineering"
