"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"26005367","N/D","SCS1","Head of Acquisition Finance","Responsible for developing, operating and maintaining appropriate financial management and control to support efficient reporting, costing and management of resources allocated to the acquisition teams","Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","030 679 71082","SDA-CorpOps-PolSec@mod.gov.uk","26005985","0","1","N/A","N/A","","Government Science and Engineering Profession","South West","nan","1"
"26005408","N/D","SCS1","Dreadnought Alliance Managing Director","Managing Director responsible for the Dreadnought Alliance","Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","030 679 71082","SDA-CorpOps-PolSec@mod.gov.uk","26005544","0","1","N/A","N/A","","Government Science and Engineering Profession","South West","nan","1"
"26005542","N/D","SCS1","Dreadnought Chief Engineer","Delivers a range of engineering services, supporting the governance of its engineering activities and products","Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","030 679 71082","SDA-CorpOps-PolSec@mod.gov.uk","26005408","0","1","N/A","N/A","","Government Science and Engineering Profession","South West","nan","1"
"26005543","N/D","SCS1","Chief Engineer","Delivers a range of engineering services, supporting the governance of its engineering activities and products","Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","030 679 71082","SDA-CorpOps-PolSec@mod.gov.uk","26005673","0","1","N/A","N/A","","Government Science and Engineering Profession","South West","nan","1"
"26005544","Booth, Ian (Ian), Mr","SCS3","Chief Executive Officer","Chief Executive and Accounting Officer of the SDA","Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","030 679 71082","SDA-CorpOps-PolSec@mod.gov.uk","XX","107815000","1","285000","289999","","Operational Delivery Profession","South West","nan","1"
"26005545","Martin, Bruce (Bruce), Mr","SCS2","Chief Financial Officer","CFO and Finance Functional Manager Head. Responsible for SDA Finance and Risk","Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","030 679 71082","SDA-CorpOps-PolSec@mod.gov.uk","26005544","0","1","180000","184999","","Government Finance Profession","South West","nan","1"
"26005586","N/D","SCS1","Head of Commercial","Head of Commercial responsible for overseeing the negotiation and management of SDA contracts, coordinating management of Tier-1 Prime Contractors, MOD and Government as part of the Governments Commercial Function; and setting the commercial vision and strategic plan of the SDA.","Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","030 679 71082","SDA-CorpOps-PolSec@mod.gov.uk","26005551","0","1","N/A","N/A","","Procurement Profession","South West","nan","1"
"26005672","N/D","SCS1","Human Resources Director","Director responsible for Human Resources matters","Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","030 679 71082","SDA-CorpOps-PolSec@mod.gov.uk","30005420","0","1","N/A","N/A","","Human Resources Profession","South West","nan","1"
"26005673","Beckett, Keith (Keith), Rear Admiral","SCS2","Technical Director/Deputy Chief Executive Officer","Responsible for strengthening the organisations' focus on all aspects of engineering, technology, safety and quality, strategy and change. Is also the Deputy CEO and Chief Strategic Systems Executive and UK Project Officer under the Polaris Sales Agreement between the UK and the United States.","Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","030 679 71082","SDA-CorpOps-PolSec@mod.gov.uk","26005544","0","1","185000","189999","","Government Science and Engineering Profession","South West","nan","1"
"26005980","N/D","SCS1","Dreadnought Alliance Finance Director","Responsible for Dreadnought Alliance finance matters","Ministry of Defence","Ministry of Defence","Submarine Delivery Agency","030 679 71082","SDA-CorpOps-PolSec@mod.gov.uk","26005408","0","1","N/A","N/A","","Government Finance Profession","South West","nan","1"
