Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Support Costs,MIRO.COM,Information and Communications Technology,Information Communication Technology  ,24.11.2020,16.12.2020,GPC11200000001,108.66
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,19.11.2020,16.12.2020,GPC11200000002,9.36
Stockport MBC,Corporate and Support Services,Central Support Costs,GITHUB,Information and Communications Technology,Information Communication Technology  ,14.11.2020,16.12.2020,GPC11200000003,78.55
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.CONTENTFUL.COM,Information and Communications Technology,Information Communication Technology  ,09.11.2020,16.12.2020,GPC11200000004,774.65
Stockport MBC,Corporate and Support Services,Central Support Costs,SCREENCONNECT SOFTWARE,Information and Communications Technology,Information Communication Technology  ,06.11.2020,16.12.2020,GPC11200000005,"1,237.46"
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,05.11.2020,16.12.2020,GPC11200000006,159.42
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,05.11.2020,16.12.2020,GPC11200000007,19.19
Stockport MBC,Corporate and Support Services,Central Support Costs,AWS EMEA,Information and Communications Technology,Information Communication Technology  ,03.11.2020,16.12.2020,GPC11200000008,"1,074.93"
Stockport MBC,Services to People,Childrens & Educational Services,MACMILLAN PUBLISHERS I,Furniture and Equipment,Furniture & Soft Furnishings  ,04.11.2020,16.12.2020,GPC11200000009,250.00
Stockport MBC,Corporate and Support Services,Central Services to the public,WWW.JOHNLEWIS.COM,COVID 19,COVID 19,18.11.2020,16.12.2020,GPC11200000010,398.00
Stockport MBC,Corporate and Support Services,Central Services to the public,AMZNMKTPLACE,COVID 19,COVID 19,18.11.2020,16.12.2020,GPC11200000011,41.98
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  2KZR9YEMG2,Office Expenses,Facilities & Management Services  ,30.11.2020,16.12.2020,GPC11200000012,581.22
Stockport MBC,Corporate and Support Services,Central Support Costs,CANVA  02887-0541469,Publicity and Promotion,Facilities & Management Services  ,26.11.2020,16.12.2020,GPC11200000013,92.27
Stockport MBC,Corporate and Support Services,Central Support Costs,LINKEDIN,Office Expenses,Facilities & Management Services  ,28.11.2020,16.12.2020,GPC11200000014,280.00
Stockport MBC,Corporate and Support Services,Central Support Costs,APPLE.COM/BILL,Information and Communications Technology,Information Communication Technology  ,26.11.2020,16.12.2020,GPC11200000015,5.83
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,MISCLASSIFIED? CHECK BEFORE PUBLICATION,UNCLASSIFIED  ,09.11.2020,16.12.2020,GPC11200000016,10.00
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 5128,Catering Supplies,Catering Food & Beverages ,01.12.2020,16.12.2020,GPC11200000017,5.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,01.12.2020,16.12.2020,GPC11200000018,10.56
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,30.11.2020,16.12.2020,GPC11200000019,34.97
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,26.11.2020,16.12.2020,GPC11200000020,11.44
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,13.11.2020,16.12.2020,GPC11200000021,3.12
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,12.11.2020,16.12.2020,GPC11200000022,6.50
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,11.11.2020,16.12.2020,GPC11200000023,12.15
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,09.11.2020,16.12.2020,GPC11200000024,0.79
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,09.11.2020,16.12.2020,GPC11200000025,25.63
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.11.2020,16.12.2020,GPC11200000026,8.44
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,03.11.2020,16.12.2020,GPC11200000027,6.05
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,02.11.2020,16.12.2020,GPC11200000028,15.88
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,02.11.2020,16.12.2020,GPC11200000029,0.94
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,20.11.2020,16.12.2020,GPC11200000030,29.64
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,Environmental Services Technical Equipment ,17.11.2020,16.12.2020,GPC11200000031,239.98
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE AMAZON.CO,Cleaning,Cleaning & Janitorial  ,08.11.2020,16.12.2020,GPC11200000032,70.80
Stockport MBC,Services to Place,Cultural & Related Services,ALDI 40 773,Furniture and Equipment,Furniture & Soft Furnishings  ,27.11.2020,16.12.2020,GPC11200000033,17.96
Stockport MBC,Services to Place,Cultural & Related Services,MARKS&SPENCER PLC SF,Furniture and Equipment,Furniture & Soft Furnishings  ,23.11.2020,16.12.2020,GPC11200000034,-24.20
Stockport MBC,Services to Place,Cultural & Related Services,MARKS&SPENCER PLC,Furniture and Equipment,Furniture & Soft Furnishings  ,22.11.2020,16.12.2020,GPC11200000035,24.20
Stockport MBC,Services to Place,Cultural & Related Services,PAINTMASTER 2000 LIMIT,Repairs and Maintenance,"Works - Construction, Repair & Maintenance  ",16.11.2020,16.12.2020,GPC11200000036,48.00
Stockport MBC,Services to Place,Cultural & Related Services,PAINTMASTER 2000 LIMIT,Repairs and Maintenance,"Works - Construction, Repair & Maintenance  ",06.11.2020,16.12.2020,GPC11200000037,89.10
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADS8179771860,Office Expenses,Facilities & Management Services  ,25.11.2020,16.12.2020,GPC11200000038,500.00
Stockport MBC,Services to People,Childrens & Educational Services,ZOOM.US 888-799-9666,Information and Communications Technology,Information Communication Technology  ,19.11.2020,16.12.2020,GPC11200000039,119.90
Stockport MBC,Services to People,Childrens & Educational Services,CVAA UK LTD,Staff Training,Human Resources  ,16.11.2020,16.12.2020,GPC11200000040,90.00
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADS8179771860,Office Expenses,Facilities & Management Services  ,13.11.2020,16.12.2020,GPC11200000041,500.00
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADS8179771860,Office Expenses,Facilities & Management Services  ,02.11.2020,16.12.2020,GPC11200000042,500.00
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON PRIME M76OC1874,Furniture and Equipment,Furniture & Soft Furnishings  ,13.11.2020,16.12.2020,GPC11200000043,7.99
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,01.12.2020,16.12.2020,GPC11200000044,13.59
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,01.12.2020,16.12.2020,GPC11200000045,19.77
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,30.11.2020,16.12.2020,GPC11200000046,5.59
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,30.11.2020,16.12.2020,GPC11200000047,19.49
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,26.11.2020,16.12.2020,GPC11200000048,8.73
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,24.11.2020,16.12.2020,GPC11200000049,5.31
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,19.11.2020,16.12.2020,GPC11200000050,61.11
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,17.11.2020,16.12.2020,GPC11200000051,3.39
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,12.11.2020,16.12.2020,GPC11200000052,14.97
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,11.11.2020,16.12.2020,GPC11200000053,16.29
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,10.11.2020,16.12.2020,GPC11200000054,4.60
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,10.11.2020,16.12.2020,GPC11200000055,4.34
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,04.11.2020,16.12.2020,GPC11200000056,25.96
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,02.11.2020,16.12.2020,GPC11200000057,2.90
Stockport MBC,Corporate and Support Services,Central Support Costs,AMZNMKTPLACE,Office Expenses,Stationery    ,01.12.2020,16.12.2020,GPC11200000058,31.00
Stockport MBC,Corporate and Support Services,Central Support Costs,DISCLOSURE.CO.UK,Staff Training,Human Resources  ,30.11.2020,16.12.2020,GPC11200000059,52.00
Stockport MBC,Corporate and Support Services,Central Services to the public,AMZNMKTPLACE,Office Expenses,Stationery    ,26.11.2020,16.12.2020,GPC11200000060,63.60
Stockport MBC,Corporate and Support Services,Central Support Costs,ROYAL MAIL ONLINE SHOP,Office Expenses,Stationery    ,03.11.2020,16.12.2020,GPC11200000061,33.30
Stockport MBC,Services to People,Adult Social Care,TESCO STORES 5815,Catering Supplies,Catering Food & Beverages ,30.11.2020,16.12.2020,GPC11200000062,6.00
Stockport MBC,Services to People,Adult Social Care,TESCO STORE 2672,Catering Supplies,Catering Food & Beverages ,20.11.2020,16.12.2020,GPC11200000063,20.00
Stockport MBC,Services to People,Adult Social Care,ALDI 84 773,Catering Supplies,Catering Food & Beverages ,03.11.2020,16.12.2020,GPC11200000064,30.72
Stockport MBC,Services to People,Adult Social Care,ASDA SUPERSTORE 04145,Catering Supplies,Catering Food & Beverages ,02.11.2020,16.12.2020,GPC11200000065,58.80
Stockport MBC,Services to People,Adult Social Care,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,30.11.2020,16.12.2020,GPC11200000066,61.01
Stockport MBC,Services to People,Adult Social Care,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,30.11.2020,16.12.2020,GPC11200000067,-0.29
Stockport MBC,Services to People,Adult Social Care,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,26.11.2020,16.12.2020,GPC11200000068,-0.25
Stockport MBC,Services to People,Adult Social Care,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,26.11.2020,16.12.2020,GPC11200000069,55.46
Stockport MBC,Services to People,Adult Social Care,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,13.11.2020,16.12.2020,GPC11200000070,-4.00
Stockport MBC,Services to People,Adult Social Care,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,13.11.2020,16.12.2020,GPC11200000071,-0.15
Stockport MBC,Services to People,Adult Social Care,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,13.11.2020,16.12.2020,GPC11200000072,59.20
Stockport MBC,Services to People,Adult Social Care,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,08.11.2020,16.12.2020,GPC11200000073,59.61
Stockport MBC,Services to People,Adult Social Care,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,08.11.2020,16.12.2020,GPC11200000074,-0.66
Stockport MBC,Services to People,Childrens & Educational Services,LEASOWE CASTLE HOTEL,Office Expenses,Stationery    ,30.11.2020,16.12.2020,GPC11200000075,392.00
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Office Expenses,Stationery    ,20.11.2020,16.12.2020,GPC11200000076,12.78
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON PRIME M779F0R54,Office Expenses,Stationery    ,18.11.2020,16.12.2020,GPC11200000077,7.99
Stockport MBC,Services to Place,Childrens & Educational Services,B & Q 1279,Repairs and Maintenance,"Works - Construction, Repair & Maintenance  ",25.11.2020,16.12.2020,GPC11200000078,17.33
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,29.11.2020,16.12.2020,GPC11200000079,14.48
Stockport MBC,Services to People,Childrens & Educational Services,WWW.LOCKANDKEY.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,26.11.2020,16.12.2020,GPC11200000080,56.20
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK M76B42KQ4,Furniture and Equipment,Environmental Services Technical Equipment ,16.11.2020,16.12.2020,GPC11200000081,22.49
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK M77GO5K94,Furniture and Equipment,Environmental Services Technical Equipment ,16.11.2020,16.12.2020,GPC11200000082,22.54
Stockport MBC,Services to People,Childrens & Educational Services,AMZ AMAZON.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,15.11.2020,16.12.2020,GPC11200000083,-13.74
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK M70US1VP4,Catering Supplies,Catering Food & Beverages ,11.11.2020,16.12.2020,GPC11200000084,16.49
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON STORE,Catering Supplies,Catering Food & Beverages ,02.11.2020,16.12.2020,GPC11200000085,52.00
Stockport MBC,Services to People,Childrens & Educational Services,POST OFFICE COUNTER,Office Expenses,Mail Services   ,01.12.2020,16.12.2020,GPC11200000086,46.02
Stockport MBC,Services to People,Childrens & Educational Services,WWW.ABNFINEST.CO.UK,Fees and Charges,Education Examinational Fees ,11.11.2020,16.12.2020,GPC11200000087,29.55
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 82 773,Library Equipment,Education Library Books ,11.11.2020,16.12.2020,GPC11200000088,41.86
Stockport MBC,Services to People,Childrens & Educational Services,PAYPAL  WLCOLLERLTD,Furniture and Equipment,Furniture & Soft Furnishings  ,06.11.2020,16.12.2020,GPC11200000089,6.29
Stockport MBC,Services to People,Childrens & Educational Services,LOCO,Office Expenses,Mail Services   ,04.11.2020,16.12.2020,GPC11200000090,39.00
Stockport MBC,Services to People,Childrens & Educational Services,LYRECO UK LTD,Furniture and Equipment,Furniture & Soft Furnishings  ,02.11.2020,16.12.2020,GPC11200000091,1.50
Stockport MBC,Services to People,Childrens & Educational Services,HOBBYCRAFT,Furniture and Equipment,Furniture & Soft Furnishings  ,02.11.2020,16.12.2020,GPC11200000092,5.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,06.11.2020,16.12.2020,GPC11200000093,48.62
Stockport MBC,Services to People,Childrens & Educational Services,NSPCC,Staff Training,Human Resources  ,03.11.2020,16.12.2020,GPC11200000094,35.00
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON PRIME MY6DM6VV4,Furniture and Equipment,Environmental Services Technical Equipment ,29.11.2020,16.12.2020,GPC11200000095,7.99
Stockport MBC,Services to People,Childrens & Educational Services,ZOOM.US 888-799-9666,Information and Communications Technology,Information Communication Technology  ,26.11.2020,16.12.2020,GPC11200000096,14.39
Stockport MBC,Services to People,Childrens & Educational Services,THETRAINLINE.COM,Care Payments,Social Community Care Supplies & Services  ,27.11.2020,16.12.2020,GPC11200000097,41.80
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,27.11.2020,16.12.2020,GPC11200000098,185.18
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,26.11.2020,16.12.2020,GPC11200000099,41.72
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS LTD,Furniture and Equipment,Environmental Services Technical Equipment ,26.11.2020,16.12.2020,GPC11200000100,116.95
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS LTD,Furniture and Equipment,Environmental Services Technical Equipment ,25.11.2020,16.12.2020,GPC11200000101,132.95
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS LTD,Furniture and Equipment,Environmental Services Technical Equipment ,25.11.2020,16.12.2020,GPC11200000102,149.99
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS LTD,Furniture and Equipment,Environmental Services Technical Equipment ,25.11.2020,16.12.2020,GPC11200000103,-149.99
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44024080,Care Payments,Social Community Care Supplies & Services  ,26.11.2020,16.12.2020,GPC11200000104,66.67
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT MBC DOM,Care Payments,Social Community Care Supplies & Services  ,26.11.2020,16.12.2020,GPC11200000105,"1,291.55"
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK MY7LF8TO4,Care Payments,Social Community Care Supplies & Services  ,25.11.2020,16.12.2020,GPC11200000106,24.88
Stockport MBC,Services to People,Childrens & Educational Services,BOOKDEPOSITORY.COM,Library Equipment,Education Library Books ,25.11.2020,16.12.2020,GPC11200000107,29.26
Stockport MBC,Services to People,Childrens & Educational Services,HOLIDAY INNS,Care Payments,Social Community Care Supplies & Services  ,25.11.2020,16.12.2020,GPC11200000108,61.90
Stockport MBC,Services to People,Childrens & Educational Services,HOLIDAY INNS,Care Payments,Social Community Care Supplies & Services  ,24.11.2020,16.12.2020,GPC11200000109,61.90
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT MBC DOM,Care Payments,Social Community Care Supplies & Services  ,17.11.2020,16.12.2020,GPC11200000110,198.13
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT M B C,Care Payments,Social Community Care Supplies & Services  ,11.11.2020,16.12.2020,GPC11200000111,160.00
Stockport MBC,Services to People,Childrens & Educational Services,WWW.CORAM.ORG.UK,Fees and Charges,Human Resources Training & Conferences ,12.11.2020,16.12.2020,GPC11200000112,105.00
