"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"9155","N/D","OF-6","Defence Support Force Development People Head","Responsible for the Defence Support Concepts, Strategic Force Development, Sustainable Support and delivery for the Defence Support People role (as Joint TRA and on behalf of Head of Profession (Logs)).","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","9102","0","1","N/A","N/A","","Military","South West","nan","1"
"9105","N/D","OF-6","Defence Support Strategic Plans Ops Head","Responsible for the provision of strategic military logistics advice to the Defence Crisis Management Organisation for contingent and current operations and logistics input to MOD directives and policies.","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","2118839","0","1","N/A","N/A","","Military","London","nan","1"
"18628","N/D","OF-6","Defence Support DSCOM Head","Responsible for supporting major areas of the MoD including Operations, Standing Commitments, Force Generation, Exercises, Defence Engagement and routine movement.","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","252190","0","1","N/A","N/A","","Military","South West","nan","1"
"221170","N/D","OF-6","Head Support Transformation","Deputy to Director Defence Support Transformation and responsible for the portfolio organisation managing and supporting delivery of the enterprise-wide programmes and cohering/aligning all transformation activity within the Support environment.","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","242222","0","1","N/A","N/A","","Military","London","nan","1"
"24359","N/D","OF-6","Defence Support SCTX Head","Hosts transformation programmes and projects from Proof of Concept (PofC), to full concept/assessment to the delivery into service.  The aim being to transform Defence Logistics and deliver operational and financial benefits right across Defence.","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","242222","0","1","N/A","N/A","","Military","South West","nan","1"
"252194","N/D","SCS1","BMfS Programme Director","BMFS will deliver new efficient and effective business practices and systems to enable more efficient and effective support to Defence Capability.","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","242222","0","1","N/A","N/A","","Project Delivery Profession","South West","nan","1"
"148710","N/D","SCS1","Defence Support Waterguard Head SCS","Heads the Waterguard Team which enables the Department to be tax efficient and compliant with HMRC regulations, European Law, International Traffic in Arms Regulations and Defence Trade and Cooperation Treaty requirements.","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","242222","0","1","N/A","N/A","","Project Delivery Profession","South West","nan","1"
"242222","Hill, Richard (Richard), Air Vice Marshal","OF-7","Defence Support Director Support Transformation","Responsible for delivery of Support Transformation, an initiative that aims to ensure that the Defence Support Network is capable of outloading and sustaining the Joint Force within Defence's agreed risk appetite, for delivering business efficiencies across the Support environment and for balancing transformation priorities across the whole Support enterprise (equipment support, engineering support and logistics support).","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","252189","0","1","140000","144999","","Military","London","nan","1"
"252190","Hutchings, Simon (Simon), Major General","OF-7","Director Joint Support","Responsible for planning and delivering performance excellence, assurance, compliance, and shared services (including a new CIO/CTO function) across Support.  Joint Support, through Defence Supply Chain and Operational Movements (DSCOM), also controls and coordinates the Strategic Base and Strategic Air Transportation.","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","252189","0","1","120000","124999","","Military","South West","nan","1"
"9102","N/D","OF-6","Defence Support ACDS SpOps","Provides coherent, timely and expert logistics advice and direction in support of Departmental Plans and current and contingent operations and brings coherence and consistency to the development of logistics policy in order to maximise the freedom of action of operational commanders and assure the End-to-End Logistics Enterprise.","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","252189","0","1","N/A","N/A","","Military","London","nan","1"
"252197","N/D","SCS1","Head PAC","Responsible for the maintenance of Support policy and assuring compliance with Support Solutions compliance pan-Defence.","Ministry of Defence","Ministry of Defence","Strategic Command","030 6770 0691","UKStratCom-Secretariat@mod.gov.uk","252190","0","1","N/A","N/A","","Project Delivery Profession","South West","nan","1"
