Entity,GL Date,Merchant name,Amount,Description,,,,
CCW,30/05/2014,ECLIPSE NETWORKING LIM 0148260282,804.54,Monthly Broadband Charges for Network Connections - May-June 14,,,,
CEFAS,05/06/2014,FARNELL INTERNET,1758.32,"Electronic components for the new data logger, this records data at sea",,,,
CEFAS,07/06/2014,ATLANTICA HOTEL,504.65,"Accommodation for one person for seven nights, attending North West Atlantic Fisheries Organisation (NAFO) meeting paid for by the European Commission (EC) in Halifax, Canada",,,,
CEFAS,26/06/2014,G W CONTAINERS & EQ,692.50,"60 60-litre containers for the frozen storage of elasmobranch samples - a collective name for sharks, skates and rays",,,,
CEFAS,01/06/2014,WESTIN CANAL PLACE,1311.14,"Accommodation for one person for 13 nights attending the London Convention/Protocol Scientific Group meeting and technical conference attendance in New Orleans, USA ",,,,
CEFAS,01/06/2014,WESTIN CANAL PLACE,756.20,"Accommodation for one person for seven nights, attending the meeting of the Scientific Groups of the London Convention and Protocol in New Orleans, USA",,,,
CEFAS,10/06/2014,HOLIDAY INNS,874.50,"Accommodation for four people for one night, including room hire and refreshments for 37 people attending a meeting of virus experts, as part of a delivery objective of Cefas' role as the European Union reference laboratory for microbiology of bivalve molluscs - 10 June 2014",,,,
CEFAS,17/06/2014,COAST HOTEL COMPANY,898.68,"Accommodation for one person for six nights to visit Oman Ministry of Agriculture and Fisheries Wealth, Sultan Quaboos University and Sohar University, for Business development pre-tender discussions in Muscat Oman",,,,
CEFAS,11/06/2014,HOTEL BLUE CORUNA,631.66,Accommodation for one person for eight nights attending the Annual Science Conference in An Coruna ,,,,
CEFAS,05/06/2014,SHERRENS WEYMOUTH,1630.90,"Specially designed fish tank liners, printed at the right size for a national centre for the replacement, refinement and reduction of animals in research (NC3Rs)",,,,
CEFAS,09/06/2014,WWW.DIRECTOFFICESUP,549.35,Replacement comb binding machine for the Lowestoft laboratory,,,,
CEFAS,04/06/2014,EASYJET   000EMS2,757.96,Return air fare for two people from Gatwick to Copenhagen attending the European Union-funded Sustainable Aquaculture workshop,,,,
CEFAS,04/06/2014,EBK EBOOKERS,634.37,"Return air fare for one person from Norwich to Copenhagen, attending the European Union funded Sustainable Aquaculture workshop",,,,
CEFAS,13/06/2014,COPENHAGEN STRAND,668.73,Accommodation for two people for two nights in Copenhagen to host a Baltic Seas regional workshop,,,,
CEFAS,05/06/2014,THE HEIGHTEC GROUP,647.50,Training for seven people attending Working at Height course ,,,,
DEFRA,13/06/2014,HAVAS PEOPLE    LONDON  ,1675.20,Conference attendance for five people attending Government Information Assurance 14 - Conference to examine how the UK can be world leaders in Cyber Security,,,,
DEFRA,30/06/2014,APPLE ONLINE STORE GBP 0845-600-1683,1564.00,Apple Macbook for editing internal communications videos,,,,
DEFRA,13/06/2014,THE KNOWLEDGE ACADEMY WINDSOR  ,957.81,Training course for one person attending Business Analysis Practice training,,,,
