"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department of Health & Social Care","NHS Blood and Transplant","Blood Supply BD Directorate","41556243","Review/Non Body Band 2","20270","21318","Operations Support Officer","19.00","Operational Delivery Profession","Unknown"
"Department of Health & Social Care","NHS Blood and Transplant","Blood Supply BD Directorate","41556243","Review/Non Body Band 3","21730","23177","Operations Support Officer","1258.00","Operational Delivery Profession","Unknown"
"Department of Health & Social Care","NHS Blood and Transplant","Blood Supply BD Directorate","41556243","Review/Non Body Band 4","23949","26282","Operations Support Officer","240.00","Operational Delivery Profession","Unknown"
"Department of Health & Social Care","NHS Blood and Transplant","Blood Supply BD Directorate","41556243","Review/Non Body Band 5","27055","32934","Operational Officer","30.00","Operational Delivery Profession","Unknown"
"Department of Health & Social Care","NHS Blood and Transplant","Blood Supply BD Directorate","41556243","Review/Non Body Band 6","33706","40588","Operational Officer","257.00","Operational Delivery Profession","Unknown"
"Department of Health & Social Care","NHS Blood and Transplant","Blood Supply BD Directorate","41556243","Review/Non Body Band 7","41659","47672","Operational Manager","105.00","Operational Delivery Profession","Unknown"
"Department of Health & Social Care","NHS Blood and Transplant","Blood Supply BD Directorate","41556243","Review/Non Body Band 8 - Range A","48526","54619","Senior Operational Manager","23.00","Operational Delivery Profession","Unknown"
"Department of Health & Social Care","NHS Blood and Transplant","Blood Supply BD Directorate","41556243","Review/Non Body Band 8 - Range B","56164","65262","Senior Operational Manager","2.00","Operational Delivery Profession","Unknown"
"Department of Health & Social Care","NHS Blood and Transplant","Blood Supply BD Directorate","41556243","Review/Non Body Band 8 - Range C","67064","77274","Senior Operational Manager","9.00","Operational Delivery Profession","Unknown"
"Department of Health & Social Care","NHS Blood and Transplant","Blood Supply M&L Directorate","41556243","Review/Non Body Band 2","20270","21318","Operations Support Officer","56.00","Operational Delivery Profession","Unknown"
"Department of Health & Social Care","NHS Blood and Transplant","Blood Supply M&L Directorate","41556243","Review/Non Body Band 3","21730","23177","Operations Support Officer","549.00","Operational Delivery Profession","Unknown"
"Department of Health & Social Care","NHS Blood and Transplant","Blood Supply M&L Directorate","41556243","Review/Non Body Band 4","23949","26282","Operations Support Officer","326.00","Operational Delivery Profession","Unknown"
"Department of Health & Social Care","NHS Blood and Transplant","Blood Supply M&L Directorate","41556243","Review/Non Body Band 5","27055","32934","Operational Officer","128.00","Operational Delivery Profession","Unknown"
"Department of Health & Social Care","NHS Blood and Transplant","Blood Supply M&L Directorate","41556243","Review/Non Body Band 6","33706","40588","Operational Officer","91.00","Operational Delivery Profession","Unknown"
"Department of Health & Social Care","NHS Blood and Transplant","Blood Supply M&L Directorate","41556243","Review/Non Body Band 7","41659","47672","Operational Manager","104.00","Operational Delivery Profession","Unknown"
